rxn_id	name	compartment	bounds	equation_cpd	gpr	subsystem	why
rxn01256_c0	Chorismate pyruvatemutase_c0	c0	(0.0, 999999.0)	cpd00216_c0 --> cpd00219_c0	gene_1620		safe addition: ATP yield preserved at 30/2
rxn00832_c0	IMP 1,2-hydrolase (decyclizing)_c0	c0	(-999999.0, 999999.0)	cpd00001_c0 + cpd00114_c0 <=> cpd02884_c0	gene_3819		safe addition: ATP yield preserved at 30/2
rxn00737_m0	L-threonine ammonia-lyase (2-oxobutanoate-forming)_m0	m0	(0.0, 999999.0)	cpd00161_m0 --> cpd00013_m0 + cpd00094_m0	gene_11775		safe addition: ATP yield preserved at 30/2
rxn02175_m0	ATP:pantetheine-4'-phosphate adenylyltransferase_m0	m0	(0.0, 999999.0)	cpd00002_m0 + cpd00067_m0 + cpd00834_m0 --> cpd00012_m0 + cpd00655_m0			safe addition: ATP yield preserved at 30/2
rxn13307_c0	GTP/GDP translocase, mitochondrial (electroneutral)_m0	c0	(0.0, 999999.0)	cpd00031_m0 + cpd00038_c0 + cpd00067_c0 --> cpd00031_c0 + cpd00038_m0 + cpd00067_m0	gene_10368		safe addition: ATP yield preserved at 30/2
GLCtv_c0	glucose transport via diffusion (extracellular to periplasm)_v0	c0	(-999999.0, 999999.0)	cpd00027_c0 <=> cpd00027_v0			safe addition: ATP yield preserved at 30/2
rxn01740_c0	Shikimate:NADP+ 3-oxidoreductase_c0	c0	(0.0, 999999.0)	cpd00005_c0 + cpd00067_c0 + cpd01716_c0 --> cpd00006_c0 + cpd00383_c0	gene_7443		safe addition: ATP yield preserved at 30/2
rxn01671_c0	ATP:N-ribosylnicotinamide 5'-phosphotransferase_c0	c0	(0.0, 999999.0)	cpd00002_c0 + cpd02016_c0 --> cpd00008_c0 + cpd00067_c0 + cpd00355_c0	gene_5936		safe addition: ATP yield preserved at 30/2
rxn00236_c0	GDP phosphohydrolase_c0	c0	(0.0, 999999.0)	cpd00001_c0 + cpd00031_c0 --> cpd00009_c0 + cpd00067_c0 + cpd00126_c0	gene_12109		safe addition: ATP yield preserved at 30/2
rxn00002_c0	urea-1-carboxylate amidohydrolase_c0	c0	(0.0, 999999.0)	cpd00001_c0 + 3 cpd00067_c0 + cpd00742_c0 --> 2 cpd00011_c0 + 2 cpd00013_c0	gene_9951		safe addition: ATP yield preserved at 30/2
rxn09541_c0	phosphatidylinositol-3-phosphate 4-kinase, yeast-specific_c0	c0	(0.0, 999999.0)	cpd00002_c0 + 0.01 cpd15287_c0 --> cpd00008_c0 + cpd00067_c0 + 0.01 cpd15284_c0			safe addition: ATP yield preserved at 30/2
rxn09771_c0	Transport of glycerone phosphate, mitochondrial_m0	c0	(0.0, 999999.0)	cpd00095_m0 --> cpd00095_c0			safe addition: ATP yield preserved at 30/2
rxn09730_c0	Mitochondrial 2-oxodicarboxylate carrier 1_m0	c0	(-999999.0, 999999.0)	cpd00024_m0 + cpd03287_c0 <=> cpd00024_c0 + cpd03287_m0	gene_1165		safe addition: ATP yield preserved at 30/2
rxn00860_c0	S-adenosyl-L-methionine:L-histidine N-methyltransferase_c0	c0	(0.0, 999999.0)	cpd00017_c0 + cpd00119_c0 --> cpd00019_c0 + cpd00067_c0 + cpd00848_c0	gene_1974		safe addition: ATP yield preserved at 30/2
rxn09036_c0	Octanoate transport via diffusion (extracellular to periplasm)_x0	c0	(0.0, 999999.0)	cpd03846_c0 --> cpd03846_x0			safe addition: ATP yield preserved at 30/2
ASPt2r_c0	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_c0	c0	(-999999.0, 999999.0)	cpd00041_e0 + cpd00067_e0 <=> cpd00041_c0 + cpd00067_c0	gene_6605 or gene_5741 or gene_12204		safe addition: ATP yield preserved at 30/2
rxn09540_c0	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase, yeast-specific_c0	c0	(0.0, 999999.0)	cpd00001_c0 + 0.01 cpd12582_c0 --> cpd00067_c0 + cpd00916_c0 + 0.01 cpd15192_c0	gene_1734		safe addition: ATP yield preserved at 30/2
rxn09564_c0	5',5'''-P-1,P-4-tetraphosphate phosphorylase_c0	c0	(0.0, 999999.0)	cpd00031_c0 + cpd00038_c0 + cpd00067_c0 --> cpd00009_c0 + cpd00925_c0	gene_641		safe addition: ATP yield preserved at 30/2
