rxn_id	status	reason	direction	subsystem	name	equation	gpr	ec
rxn00024_c0	added		>	Melanin biosynthesis/tyrosine metabolism	1,2-Benzenediol:oxygen oxidoreductase	cpd00007 + (2) cpd00069 => (2) cpd00291	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	1.10.3.1; 1.14.18.1
rxn00036_c0	added		>	Melanin biosynthesis/tyrosine metabolism	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	cpd00007 + (2) cpd00291 => (2) cpd00001 + (2) cpd00612	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	1.14.18.1
rxn11972_c0	added		>	Melanin biosynthesis/tyrosine metabolism	R02962	cpd00612 => cpd03330	SPONT	
rxn02609_c0	added		<	Melanin biosynthesis/tyrosine metabolism	R03672	cpd00067 + cpd00291 + cpd01169 <=> cpd00612 + cpd03330	SPONT	
rxn02611_c0	added		>	Melanin biosynthesis/tyrosine metabolism	R03674	cpd00067 + cpd01169 => cpd00011 + cpd03308	SPONT	
rxn03337_c0	added		>	Melanin biosynthesis/tyrosine metabolism	5,6-dihydroxyindole:oxygen oxidoreductase	cpd00007 + (2) cpd03308 => (2) cpd00001 + (2) cpd03309	CH63R_00879 or CH63R_00885 or CH63R_01093 or CH63R_01806 or CH63R_03193 or CH63R_03403 or CH63R_05148 or CH63R_05546 or CH63R_05602 or CH63R_07020 or CH63R_07299 or CH63R_07609 or CH63R_12386 or CH63R_13047 or CH63R_13626 or CH63R_13766 or CH63R_14094 or CH63R_14356 or CH63R_14563	1.14.18.1
rxn06809_c0	added		>	Melanin biosynthesis/tyrosine metabolism	rxn06809	cpd00007 + cpd03309 <=> cpd00001 + cpd12744	SPONT	
rxn00555_c0	already_present		<=>	chitin synthesis/ amino sugar metabolism	L-glutamine:D-fructose-6-phosphate isomerase (deaminating)	cpd00053 + cpd00072 <=> cpd00023 + cpd00288	CH63R_00636	2.6.1.16
rxn01483_c0	already_present		>	chitin synthesis/ amino sugar metabolism	acetyl-CoA:D-glucosamine-6-phosphate N-acetyltransferase	cpd00022 + cpd00288 => cpd00010 + cpd00067 + cpd00293	CH63R_10018	2.3.1.4
rxn01505_c0	already_present		<=>	chitin synthesis/ amino sugar metabolism	N-Acetyl-D-glucosamine 1-phosphate 1,6-phosphomutase	cpd00293 <=> cpd02611	CH63R_11755	5.4.2.3
rxn00293_c0	added		>	chitin synthesis/ amino sugar metabolism	UTP:N-acetyl-alpha-D-glucosamine-1-phosphate uridylyltransferase	cpd00062 + cpd02611 <=> cpd00012 + cpd00037	CH63R_05805	2.7.7.23
