rxn_id	name	compartment	direction	lower_bound	upper_bound	equation_cpd	equation_name	ec_number	gpr	subsystem	n_metabolites	flux
rxn03136_c0	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole AMP-lyase	c0	<=>	-1000.0	1000.0	cpd02921_c0 <=> cpd00106_c0 + cpd02851_c0	 <=> Fumarate_c0 + AICAR_c0				3	60.13994129720322
rxn03147_c0	 1-(5-Phosphoribosyl)-5-amino-4-carboxyimidazole:L-aspartate ligase (ADP-forming)	c0	=>	0.0	1000.0	cpd00002_c0 + cpd00041_c0 + cpd02893_c0 --> cpd00008_c0 + cpd00009_c0 + 2.0 cpd00067_c0 + cpd02921_c0	ATP_c0 + L-Aspartate_c0 + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole_c0 --> ADP_c0 + Phosphate_c0 + 2.0 H+_c0 + 				7	60.139941297203215
rxn35572_c0	Adenylosuccinate lyase_c0	c0	<=>	-999999.0	999999.0	cpd19032_c0 <=> cpd00106_c0 + cpd02851_c0	1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole_c0 <=> Fumarate_c0 + AICAR_c0		gene_370		3	-60.10993376670927
rxn35571_c0	Phosphoribosylaminoimidazole-succinocarboxamide synthase_c0	c0	<=>	-999999.0	999999.0	cpd00002_c0 + cpd00041_c0 + cpd02893_c0 <=> cpd00008_c0 + cpd00009_c0 + cpd00067_c0 + cpd19032_c0	ATP_c0 + L-Aspartate_c0 + 5'-Phosphoribosyl-4-carboxy-5-aminoimidazole_c0 <=> ADP_c0 + Phosphate_c0 + H+_c0 + 1-(5'-Phosphoribosyl)-5-amino-4-(N-succinocarboxamide)-imidazole_c0		gene_919		7	-60.109933766709254
rxn08437_c0	fatty-acyl-ACP hydrolase_c0	c0	<=>	-999999.0	999999.0	cpd00001_c0 + cpd15239_c0 <=> cpd00067_c0 + cpd11493_c0 + cpd15237_c0	H2O_c0 + Hexadecenoyl-ACP_c0 <=> H+_c0 + ACP_c0 + hexadecenoate_c0		gene_12865 or gene_313		5	-31.04955400710025
rxn08017_c0	acyl-[acyl-carrier-protein] synthetase (n-C16:1)	c0	<=>	-1000.0	1000.0	cpd00002_c0 + cpd11493_c0 + cpd15237_c0 <=> cpd00012_c0 + cpd00018_c0 + 2.0 cpd00067_c0 + cpd15239_c0	ATP_c0 + ACP_c0 + hexadecenoate_c0 <=> PPi_c0 + AMP_c0 + 2.0 H+_c0 + Hexadecenoyl-ACP_c0				7	-31.04955400710025
rxn00097_c0	ATP:AMP phosphotransferase_c0	c0	<=>	-1000.0	1000.0	cpd00002_c0 + cpd00018_c0 <=> 2 cpd00008_c0	ATP_c0 + AMP_c0 <=> 2 ADP_c0		gene_8746		3	-24.856535316667493
rxn00117_c0	ATP:UDP phosphotransferase_c0	c0	<=>	-999999.0	999999.0	cpd00002_c0 + cpd00014_c0 <=> cpd00008_c0 + cpd00062_c0	ATP_c0 + UDP_c0 <=> ADP_c0 + UTP_c0		gene_12313		4	23.698487263417338
rxn00213_c0	UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0	c0	<=>	-1000.0	1000.0	cpd00062_c0 + cpd00067_c0 + cpd00089_c0 <=> cpd00012_c0 + cpd00026_c0	UTP_c0 + H+_c0 + Glucose-1-phosphate_c0 <=> PPi_c0 + UDP-glucose_c0		gene_11318 or gene_743		5	23.676994455534945
rxn13300_c0	glycogen synthase (UDPGlc)_c0	c0	=>	0.0	1000.0	cpd00026_c0 --> cpd00014_c0 + cpd00067_c0 + cpd00155_c0	UDP-glucose_c0 --> UDP_c0 + H+_c0 + Glycogen_c0		gene_10234 or gene_8962 or gene_8289		4	23.411893602612786
