step	rxn_id	action	detail
A_excel	rxn00735_c0	added_equation	
A_excel	rxn00737_c0	skipped_id_match	already_in_fsp237
A_excel	rxn08043_m0	added_equation	
A_excel	rxn08764_m0	added_equation	
A_excel	rxn03437_m0	added_equation	
A_excel	rxn01575_m0	skipped_id_match	already_in_fsp237
A_excel	rxn00003_m0	skipped_id_match	already_in_fsp237
A_excel	rxn02186_m0	added_equation	
A_excel	rxn00898_m0	added_equation	
A_excel	rxn00903_m0	skipped_id_match	already_in_fsp237
A_excel	rxn00903_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00902_c0	skipped_stoich_match	existing=rxn27497_c0
A_excel	rxn12193_c0	added_equation	
A_excel	rxn03062_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01208_c0	skipped_stoich_match	existing=rxn30417_c0
A_excel	rxn00806_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00806_m0	skipped_id_match	already_in_fsp237
A_excel	rxn01332_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02212_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02213_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01740_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01739_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01255_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01256_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01000_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00493_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01269_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00527_c0	added_equation	
A_excel	rxn00527_m0	added_equation	
A_excel	rxn00527_x0	added_equation	
A_excel	rxn00727_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00791_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02508_c0	added_imm904	
A_excel	rxn30066_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00478_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01437_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01438_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01930_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01927_c0	added_imm904	
A_excel	rxn02989_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00192_m0	skipped_id_match	already_in_fsp237
A_excel	rxn01917_m0	skipped_id_match	already_in_fsp237
A_excel	rxn02465_m0	added_equation	
A_excel	rxn01637_m0	skipped_id_match	already_in_fsp237
A_excel	rxn30081_m0	skipped_id_match	already_in_fsp237
A_excel	rxn30043_c0	skipped_id_match	already_in_fsp237
A_excel	rxn29990_c0	skipped_id_match	already_in_fsp237
A_excel	rxn30091_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02374_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02374_m0	skipped_id_match	already_in_fsp237
A_excel	rxn09487_m0	skipped_id_match	already_in_fsp237
A_excel	rxn00184_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00179_c0	skipped_id_match	already_in_fsp237
A_excel	rxn09412_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00789_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02834_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02835_c0	skipped_id_match	already_in_fsp237
A_excel	rxn03175_c0	added_imm904	
A_excel	rxn03135_c0	skipped_stoich_match	existing=rxn19830_c0
A_excel	rxn02473_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02160_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00859_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02466_m0	added_equation	
A_excel	rxn03034_m0	added_equation	
A_excel	rxn01420_m0	skipped_id_match	already_in_fsp237
A_excel	rxn01423_c0	skipped_id_match	already_in_fsp237
A_excel	rxn09638_c0	added_equation	
A_excel	rxn01663_c0	added_equation	
A_excel	rxn00510_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00361_c0	skipped_id_match	already_in_fsp237
A_excel	rxn05239_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00137_c0	skipped_id_match	already_in_fsp237
A_excel	rxn05035_c0	added_equation	
A_excel	rxn00953_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00742_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01816_c0	added_equation	
A_excel	rxn02302_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00950_c0	added_imm904	
A_excel	rxn01302_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01303_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00952_c0	skipped_id_match	already_in_fsp237
A_excel	rxn03052_c0	skipped_id_match	already_in_fsp237
A_excel	rxn08703_c0	added_equation	
A_excel	rxn00649_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00379_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01101_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02914_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00420_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00692_c0	added_equation	
A_excel	rxn00692_m0	added_equation	
A_excel	rxn00541_m0	skipped_stoich_match	existing=rxn00541_c0
A_excel	rxn00337_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01643_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01301_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01300_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01069_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00272_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00191_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00069_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00187_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00414_m0	skipped_stoich_match	existing=rxn00414_c0
A_excel	rxn00414_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00260_m0	skipped_id_match	already_in_fsp237
A_excel	rxn00260_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00416_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00416_m0	skipped_stoich_match	existing=rxn00416_c0
A_excel	rxn11084_c0	added_equation	
A_excel	rxn05107_c0	added_equation	
A_excel	rxn05091_c0	added_equation	
A_excel	rxn05092_c0	added_equation	
A_excel	rxn01208_m0	skipped_stoich_match	existing=rxn30417_m0
A_excel	rxn01575_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02748_c0	skipped_id_match	already_in_fsp237
A_excel	rxn13209_c0	added_imm904	
A_excel	rxn02811_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02789_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01003_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01840_c0	added_imm904	
A_excel	rxn01843_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02476_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00522_c0	added_equation	
A_excel	rxn32483_c0	skipped_stoich_match	existing=rxn01827_c0
A_excel	rxn01825_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02276_c0	skipped_id_match	already_in_fsp237
A_excel	rxn30035_c0	skipped_id_match	already_in_fsp237
A_excel	rxn00483_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01450_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01937_m0	added_imm904	
A_excel	rxn01938_c0	skipped_id_match	already_in_fsp237
A_excel	rxn01938_m0	skipped_id_match	already_in_fsp237
A_excel	rxn02219_c0	skipped_id_match	already_in_fsp237
A_excel	rxn02222_c0	skipped_id_match	already_in_fsp237
A_excel	rxn15507_c0	added_equation	
A_excel	rxn15507_m0	added_equation	
A_excel	rxn29991_c0	skipped_id_match	already_in_fsp237
