removed_rxn	kept_rxn	removed_name	kept_name	removed_eq	kept_eq	removed_lb	removed_ub	kept_lb	kept_ub	removed_genes	kept_genes	merged_gpr_from_removed	widened_bounds_to
CERH124_copy2_c0	rxn09609_c0	Ceramide-1 hydroxylase (24C)_c0	Ceramide-1 hydroxylase (24C)_c0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15220_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15224_c0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15220_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15224_c0	0.0	999999.0	0.0	999999.0	gene_31	gene_11213	False	
rxn09694_c0	rxn00062_c0	H+-exporting ATPase_c0	ATP phosphohydrolase_c0	cpd00001_c0 + cpd00002_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_e0	cpd00001_c0 + cpd00002_c0 --> cpd00008_c0 + cpd00009_c0 + cpd00067_c0	0.0	999999.0	0.0	1000.0	gene_7453	gene_7453;gene_2594;gene_11393;gene_4311;gene_431;gene_7872;gene_8303;gene_8795;gene_12109;gene_1068;gene_11280;gene_1858;gene_700;gene_7306;gene_7653;gene_6595;gene_7247;gene_2294;gene_12188;gene_1801;gene_8601;gene_5783;gene_4354;gene_11586;gene_5993;gene_3910;gene_705;gene_2924;gene_12956;gene_12449;gene_174;gene_4003;gene_6576;gene_10107;gene_1521;gene_489;gene_4217;gene_7404;gene_10515;gene_2566;gene_9996;gene_5658;gene_12696;gene_5630;gene_2026;gene_4468;gene_2601;gene_11548;gene_785;gene_304;gene_6632;gene_12901;gene_10811;gene_7206;gene_12309;gene_2283;gene_5772;gene_5561;gene_980;gene_1035;gene_4798	False	[0.0,999999.0]
GCC2cm_copy2_m0	rxn01241_m0	Dihydrolipoamide:NAD+ oxidoreductase_m0	Dihydrolipoamide:NAD+ oxidoreductase_m0	cpd00003_m0 + cpd00449_m0 --> cpd00004_m0 + cpd00067_m0 + cpd00213_m0	cpd00003_m0 + cpd00449_m0 <=> cpd00004_m0 + cpd00067_m0 + cpd00213_m0	0.0	999999.0	-1000.0	1000.0	gene_7657;gene_1343;gene_3442	gene_7657;gene_8838;gene_42;gene_2255;gene_885;gene_1343;gene_3442	False	[-1000.0,999999.0]
rxn09882_c0	rxn09882_m0	RXN-5581.c.metaexp.NADP_NADPH_c0	RXN-5581.c.metaexp.NADP_NADPH_m0	cpd00001_c0 + cpd00006_c0 + cpd00486_c0 <=> cpd00005_c0 + 2 cpd00067_c0 + cpd00703_c0	cpd00001_c0 + cpd00006_c0 + cpd00486_c0 <=> cpd00005_c0 + 2 cpd00067_c0 + cpd00703_c0	-1000.0	1000.0	-1000.0	1000.0	gene_10727;gene_5820;gene_3583	gene_10727;gene_5820;gene_3583	False	
L_LACD2cm_c0	rxn00145_m0	L Lactate dehydrogenase  cytosolicmitochondrial	(S)-Lactate:ferricytochrome-c 2-oxidoreductase	2 cpd00109_m0 + cpd00159_c0 --> cpd00020_c0 + 2 cpd00110_m0	2 cpd00109_m0 + cpd00159_c0 --> cpd00020_c0 + 2 cpd00067_c0 + 2 cpd00110_m0	0.0	999999.0	0.0	1000.0	gene_3210;gene_11615	gene_9783;gene_3210;gene_11615;gene_5176	False	[0.0,999999.0]
rxn13392_c0	rxn05687_c0	putrescine transport in via proton antiport, irreversible_c0	Transport of putrescine, extracellular_c0	cpd00067_c0 + cpd00118_e0 --> cpd00067_e0 + cpd00118_c0	cpd00067_e0 + cpd00118_e0 <=> cpd00067_c0 + cpd00118_c0	0.0	999999.0	-1000.0	1000.0	gene_12888;gene_10460		True	[-1000.0,999999.0]
ALCD2x_copy2_c0	rxn00543_c0	ethanol:NAD+ oxidoreductase_c0	ethanol:NAD+ oxidoreductase_c0	cpd00003_c0 + cpd00363_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00071_c0	cpd00003_c0 + cpd00363_c0 <=> cpd00004_c0 + cpd00067_c0 + cpd00071_c0	-999999.0	999999.0	-1000.0	1000.0	gene_11790	gene_8488;gene_12477;gene_10551;gene_11790	False	[-999999.0,999999.0]
rxn09121_c0	rxn05312_c0	phosphate transport cytosol/mito	Inorganic phosphate transporter_m0	cpd00009_c0 --> cpd00009_m0	cpd00009_c0 + cpd00067_c0 --> cpd00009_m0 + cpd00067_m0	0.0	1e-10	0.0	999999.0		gene_4577	False	
rxn08643_m0	rxn08643_c0	CustomReaction_m0	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)_m0	cpd00080_c0 --> cpd00080_m0	cpd00080_c0 --> cpd00080_m0	0.0	1000.0	0.0	999999.0			False	
CERH126_copy2_c0	rxn09608_c0	Ceramide-1 hydroxylase (26C)_c0	Ceramide-1 hydroxylase (26C)_c0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15221_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15225_c0	cpd00005_c0 + cpd00007_c0 + cpd00067_c0 + cpd15221_c0 --> cpd00001_c0 + cpd00006_c0 + cpd15225_c0	0.0	999999.0	0.0	999999.0	gene_31	gene_11213	False	
