rxn_id	change_type	old_dir	new_dir	old_lb	old_ub	new_lb	new_ub	applied	biomass_after
rxn00903_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn03062_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01740_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02508_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01437_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01917_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01637_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn30081_m0	permissive	=>	<=>	0.0	1000.0	-1000.0	1000.0	True	
rxn30043_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn30091_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn09487_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00184_c0	permissive	<=	<=>	-1000.0	0.0	-1000.0	1000.0	True	
rxn00179_c0	permissive	=>	<=>	0.0	1000.0	-1000.0	1000.0	True	
rxn09412_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02835_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02160_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00859_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn05239_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00137_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00953_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02302_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01302_c0	permissive	<=	<=>	-999999.0	0.0	-999999.0	1000.0	True	
rxn00952_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn03052_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00649_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00379_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01101_c0	permissive	=>	<=>	0.0	1000.0	-1000.0	1000.0	True	
rxn02914_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00420_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00337_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01643_c0	permissive	<=	<=>	-999999.0	0.0	-999999.0	1000.0	True	
rxn01301_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01069_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00272_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00069_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn27926_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00834_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn05231_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00927_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn05233_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01018_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01360_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn13251_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00410_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn30430_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02155_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02155_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00105_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00690_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn31870_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00686_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn30439_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn03108_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00122_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn10505_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn03974_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00912_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01790_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01790_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02175_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02175_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn03224_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02304_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00224_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00966_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn09457_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn08767_x0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn19986_x0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn19982_x0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn19988_x0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn09428_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn09434_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00178_m0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01783_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn02134_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn00141_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn09491_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn01479_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
rxn13342_c0	permissive	=>	<=>	0.0	999999.0	-1000.0	999999.0	True	
