rxn_id	compartment	equation_cpd_ids	equation_names	reaction_name	source	log_action
rxn00735_c0	c0	cpd00003_c0 + cpd03593_c0 --> cpd00004_c0 + cpd00011_c0 + cpd00094_c0	NAD_c0 + cpd03593_c0 --> NADH_c0 + CO2_c0 + 2-Oxobutyrate_c0	(2R,3S)-3-methylmalate:NAD+ oxidoreductase	excel_added_to_fsp237	added_equation
rxn08043_m0	m0	cpd00020_m0 + cpd00067_m0 + cpd00094_m0 --> cpd00011_m0 + cpd00498_m0	Pyruvate_m0 + H+_m0 + 2-Oxobutyrate_m0 --> CO2_m0 + cpd00498_m0	pyruvate:2-oxobutanoate acetaldehydetransferase (decarboxylating)	excel_added_to_fsp237	added_equation
rxn08764_m0	m0	cpd00005_m0 + cpd00067_m0 + cpd00498_m0 <=> cpd00006_m0 + cpd02535_m0	NADPH_m0 + H+_m0 + cpd00498_m0 <=> NADP_m0 + cpd02535_m0	ketol-acid reductoisomerase (2-Acetolactate)	excel_added_to_fsp237	added_equation
rxn03437_m0	m0	cpd02535_m0 --> cpd00001_m0 + cpd00508_m0	cpd02535_m0 --> H2O_m0 + 3MOP_m0	(R)-2,3-Dihydroxy-3-methylpentanoate hydro-lyase	excel_added_to_fsp237	added_equation
rxn02186_m0	m0	cpd00005_m0 + cpd00067_m0 + cpd00668_m0 <=> cpd00006_m0 + cpd02498_m0	NADPH_m0 + H+_m0 + ALCTT_m0 <=> NADP_m0 + cpd02498_m0	2,3-Dihydroxy-3-methylbutanoate:NADP+ oxidoreductase (isomerizing)	excel_added_to_fsp237	added_equation
rxn00898_m0	m0	cpd02498_m0 --> cpd00001_m0 + cpd00123_m0	cpd02498_m0 --> H2O_m0 + 3-Methyl-2-oxobutanoate_m0	2,3-Dihydroxy-3-methylbutanoate hydro-lyase	excel_added_to_fsp237	added_equation
rxn12193_c0	c0	cpd01646_c0 <=> cpd02693_c0	2-Isopropylmalate_c0 <=> 3-Isopropylmalate_c0	3-isopropylmalate dehydratase	excel_added_to_fsp237	added_equation
rxn00527_c0	c0	cpd00024_c0 + cpd00069_c0 <=> cpd00023_c0 + cpd00868_c0	2-Oxoglutarate_c0 + L-Tyrosine_c0 <=> L-Glutamate_c0 + p-hydroxyphenylpyruvate_c0	tyrosine transaminase, irreversible (mitochondrial)	excel_added_to_fsp237	added_equation
rxn00527_m0	m0	cpd00024_m0 + cpd00069_m0 <=> cpd00023_m0 + cpd00868_m0	2-Oxoglutarate_m0 + L-Tyrosine_m0 <=> L-Glutamate_m0 + p-hydroxyphenylpyruvate_m0	tyrosine transaminase, irreversible (mitochondrial)	excel_added_to_fsp237	added_equation
rxn00527_x0	x0	cpd00024_x0 + cpd00069_x0 <=> cpd00023_x0 + cpd00868_x0	2-Oxoglutarate_x0 + L-Tyrosine_x0 <=> L-Glutamate_x0 + p-hydroxyphenylpyruvate_x0	tyrosine transaminase, irreversible (mitochondrial)	excel_added_to_fsp237	added_equation
