	flux
rxn01256_c0	0.05331065615298789
rxn00832_c0	-0.04276593932815122
rxn00737_m0	0.0
rxn02175_m0	0.0
rxn13307_c0	0.4086114865235822
GLCtv_c0	0.0
rxn01740_c0	0.06333604002928098
rxn01671_c0	4.515938683014646e-05
rxn00236_c0	0.0
rxn00002_c0	0.0
rxn09541_c0	0.0
rxn09771_c0	0.0
rxn09730_c0	0.0
rxn00860_c0	0.0
rxn09036_c0	0.0
ASPt2r_c0	0.0
rxn09540_c0	0.0
rxn09564_c0	0.0
rxn30381_c0	0.0
rxn06437_c0	0.0
rxn20661_c0	9.031877366312476e-05
rxn18921_x0	0.0
rxn00170_m0	0.2734494417409533
FACOAL240p_x0	0.0
rxn01521_c0	0.0
rxn05645_c0	0.0
rxn05561_c0	0.0
rxn03423_c0	0.0
CITtap_c0	0.0
rxn30330_m0	0.0
rxn03446_c0	0.0
rxn09657_c0	0.0
rxn20474_x0	0.0
rxn00438_c0	4.515938683014645e-05
rxn00239_c0	0.0034095337056765343
rxn00364_c0	0.7954600193196146
rxn05736_x0	0.0
rxn10505_c0	6.773908024521967e-05
rxn00175_c0	6.03968413374403
rxn09670_c0	0.0
rxn05466_c0	1.582926827170323
rxn13096_c0	0.0
rxn05611_c0	0.0
rxn00939_c0	0.0
rxn00236_g0	0.0
rxn01343_c0	0.0
rxn09177_c0	0.0
rxn09331_c0	0.0
PYRt2p_c0	0.0
rxn01145_c0	0.0
rxn13326_c0	0.0
rxn09417_m0	0.0
rxn03956_c0	0.0
PSERDv_SC_v0	0.0
rxn09851_x0	0.0
rxn00248_m0	0.0
rxn28356_m0	0.0
rxn30043_c0	0.03628556731802268
rxn09820_c0	0.0
rxn02826_c0	0.0
rxn00908_m0	0.9657754210790247
rxn09760_c0	0.0
rxn08633_c0	0.0
rxn03091_c0	0.0
rxn13406_c0	0.0
rxn13222_c0	0.0
rxn05580_c0	0.0
rxn08376_c0	0.0
rxn30037_c0	6.773908024587973e-05
rxn00953_c0	0.0
rxn30392_c0	7.685059941559445
rxn05303_c0	0.0
rxn09273_c0	0.0
rxn01268_c0	0.0
rxn12916_c0	0.0003838547880562447
rxn09755_c0	0.0
rxn05289_c0	0.021157172729924272
rxn01137_c0	0.0
rxn09445_x0	0.0
rxn02304_m0	2.2579693415073226e-05
rxn02134_c0	0.26535655701394056
AGAT_SC_c0	0.013547816049043883
NMNt2m_c0	0.0
rxn05239_c0	0.018447609520115486
