rxn_id	name	old_gpr	new_gpr	issue
rxn09540_c0	1-phosphatidylinositol-4,5-bisphosphate phosphodiesterase, yeast-specific_c0	gene_1734	gene_1734 or gene_10704 or gene_12864 or gene_2078	weak BLAST matches used: ['CH63R_13158']
rxn00364_c0	ATP:CMP phosphotransferase_c0		gene_10931	unmapped CH63R dropped: ['CH63R_13783'] | weak BLAST matches used: ['CH63R_07368']
rxn02826_c0	N-Acetylputrescine:oxygen oxidoreductase(deaminating)(flavin-containing)_c0		gene_9890 or gene_12033	weak BLAST matches used: ['CH63R_11521']
rxn09462_x0	fatty acid oxidation (octanoyl-CoA), peroxisomal_x0	gene_2331 or gene_1935 or gene_1810	gene_2331 or gene_1935 or gene_1810 or gene_7999 or gene_128 or gene_2093 or gene_6597 or gene_7220 or gene_5400 or gene_4956	weak BLAST matches used: ['CH63R_05264']
rxn05273_g0	phosphatidylserine decarboxylase, yeast-specific, Golgi_g0	gene_9526	gene_9526 or gene_3762	unmapped CH63R dropped: ['CH63R_02221'] | weak BLAST matches used: ['CH63R_02323']
rxn00416_c0	L-aspartate:L-glutamine amido-ligase (AMP-forming)_c0	gene_5682 or gene_7143 or gene_5682	gene_5682 or gene_7143 or gene_521 or gene_11394	weak BLAST matches used: ['CH63R_08654']
rxn00342_e0	L-Asparagine amidohydrolase_e0	gene_9918 or gene_9918 or gene_9918 or gene_9918	gene_9918 or gene_8769	weak BLAST matches used: ['CH63R_06540', 'CH63R_07617']
rxn00806_c0	L-Leucine:2-oxoglutarate aminotransferase_c0	gene_622	gene_622 or gene_12086 or gene_4156 or gene_3566	unmapped CH63R dropped: ['CH63R_08074'] | weak BLAST matches used: ['CH63R_09767']
rxn01182_m0	4-Coumarate:CoA ligase (AMP-forming)_m0		gene_12998	weak BLAST matches used: ['CH63R_06356']
rxn09441_c0	fatty acyl-CoA synthase (n-C10:0CoA)_c0	gene_10612 or gene_12865 or gene_313 or gene_10589	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn09470_x0	Fatty acid oxidation_x0	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434 or gene_7999 or gene_2093 or gene_6597 or gene_7220 or gene_5400 or gene_4956	weak BLAST matches used: ['CH63R_05264']
rxn02358_m0	trans-4-Hydroxy-L-proline:NADP+ 5-oxidoreductase_m0	gene_2608	gene_2608 or gene_9941 or gene_5611	weak BLAST matches used: ['CH63R_10528']
rxn09464_x0	Fatty acid oxidation_x0	gene_2331 or gene_1935 or gene_128 or gene_1810	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_434 or gene_5400 or gene_4395	unmapped CH63R dropped: ['CH63R_0576'] | weak BLAST matches used: ['CH63R_05264']
rxn09467_x0	Fatty acid oxidation_x0	gene_2331 or gene_1935 or gene_128 or gene_1810	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_434 or gene_5400 or gene_4395	unmapped CH63R dropped: ['CH63R_0576'] | weak BLAST matches used: ['CH63R_05264']
rxn00929_m0	L-Proline:NAD+ 5-oxidoreductase_m0	gene_11192	gene_11192 or gene_9941 or gene_5611	weak BLAST matches used: ['CH63R_10528']
rxn09435_c0	fatty-acyl-CoA synthase (n-C14:0CoA)_c0	gene_10612 or gene_12865 or gene_313 or gene_10589	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn09421_c0	fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction_c0	gene_10612 or gene_12865 or gene_313 or gene_10589	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn02275_c0	4-Guanidinobutanamide amidohydrolase_c0	gene_6335 or gene_9121	gene_6335 or gene_9121 or gene_187 or gene_2440 or gene_1738 or gene_4671 or gene_9547 or gene_6227 or gene_3244	weak BLAST matches used: ['CH63R_13458']
rxn01575_c0	L-Isoleucine:2-oxoglutarate aminotransferase_c0	gene_622	gene_622 or gene_12086 or gene_4156 or gene_3566	unmapped CH63R dropped: ['CH63R_08074'] | weak BLAST matches used: ['CH63R_09767']
rxn09472_x0	fatty acid oxidation_x0	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434 or gene_7999 or gene_2093 or gene_6597 or gene_7220 or gene_5400 or gene_4956	weak BLAST matches used: ['CH63R_05264']
rxn02356_m0	trans-4-Hydroxy-L-proline:NAD+ 5-oxidoreductase_m0	gene_2608	gene_2608 or gene_9941 or gene_5611	weak BLAST matches used: ['CH63R_10528']
rxn00260_x0	L-Aspartate:2-oxoglutarate aminotransferase_x0	gene_8831	gene_8831 or gene_11255	weak BLAST matches used: ['CH63R_01328', 'CH63R_05001']
rxn13341_c0	cytochrome P450 lanosterol 14-alpha-demethylase (NAD)_c0	gene_12185 or gene_10554 or gene_4061	gene_12185 or gene_10554 or gene_4061 or gene_7797 or gene_2828	weak BLAST matches used: ['CH63R_08040']
rxn01843_c0	2-phenylacetamide amidohydrolase_c0	gene_6335	gene_6335 or gene_187 or gene_2440 or gene_1738 or gene_4671 or gene_9547 or gene_6227 or gene_3244	weak BLAST matches used: ['CH63R_13458']
rxn09438_c0	fatty-acyl-CoA synthase (n-C12:0CoA)_c0	gene_10612 or gene_12865 or gene_313 or gene_10589	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn01575_m0	L-Isoleucine:2-oxoglutarate aminotransferase_m0	gene_622	gene_622 or gene_12086 or gene_4156 or gene_3566	unmapped CH63R dropped: ['CH63R_08074'] | weak BLAST matches used: ['CH63R_09767']
rxn09621_c0	C-4 sterol methyl oxidase (4-methylzymosterol)_c0	gene_12719	gene_12719 or gene_1482	weak BLAST matches used: ['CH63R_03833']
rxn05349_m0	acetyl-CoA:[acyl-carrier-protein] S-acetyltransferase_m0	gene_11955 or gene_11385 or gene_10177	gene_11955 or gene_11385 or gene_10177 or gene_12063 or gene_313 or gene_12865	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn00493_c0	L-Phenylalanine:2-oxoglutarate aminotransferase_c0	gene_12910	gene_12910 or gene_8831 or gene_11623 or gene_11255	weak BLAST matches used: ['CH63R_01328', 'CH63R_05001']
rxn09466_x0	Fatty acid oxidation_x0	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434	gene_2331 or gene_1935 or gene_128 or gene_1810 or gene_2434 or gene_434 or gene_5400 or gene_4395	unmapped CH63R dropped: ['CH63R_0576'] | weak BLAST matches used: ['CH63R_05264']
rxn00931_c0	L-Proline:NADP+ 5-oxidoreductase_c0	gene_9941	gene_9941 or gene_5611	weak BLAST matches used: ['CH63R_10528']
rxn09427_c0	fatty-acyl-CoA synthase (n-C18:0CoA)_c0	gene_10612 or gene_12865 or gene_313 or gene_10589	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063	weak BLAST matches used: ['CH63R_09523', 'CH63R_09765', 'CH63R_09768']
rxn02222_c0	Indole-3-acetamide amidohydrolase_c0	gene_6335	gene_6335 or gene_187 or gene_2440 or gene_1738 or gene_4671 or gene_9547 or gene_6227 or gene_3244	weak BLAST matches used: ['CH63R_13458']
rxn02219_c0	3-Indoleacetonitrile aminohydrolase_c0	gene_4909 or gene_2245 or gene_10825	gene_4909 or gene_2245 or gene_10825 or gene_3110 or gene_2001 or gene_11061	weak BLAST matches used: ['CH63R_03921', 'CH63R_08297', 'CH63R_10939', 'CH63R_12493']
