rxn_id	name	old_gpr	new_gpr	kept_gene_count	mapped_from_ch63r	unmapped_ch63r_removed	foreign_tokens_removed	curated_ch63r_from_excel	foreign_tokens_in_gpr	weak_matches_used
rxn00248_m0	(S)-malate:NAD+ oxidoreductase	(gene_10386 and gene_10386) or (gene_2140 and gene_10386 and gene_1284 and gene_4455 and gene_10386)	gene_10386 or gene_2140 or gene_1284 or gene_4455	7	0	0	0			
rxn00506_m0		gene_12607 and gene_7676 and gene_3513 and gene_6404 and gene_10955 and gene_5820 and gene_12607 and gene_9629 and gene_9702 and gene_12737 and gene_11813 and gene_3583 and gene_727	gene_12607 or gene_7676 or gene_3513 or gene_6404 or gene_10955 or gene_5820 or gene_9629 or gene_9702 or gene_12737 or gene_11813 or gene_3583 or gene_727	13	0	0	0			
rxn08067_c0	adentylate kinase (ITP)_c0	gene_8746 and gene_2710	gene_8746 or gene_2710	2	0	0	0			
rxn00062_c0		gene_3910 or (gene_4354 and gene_2396) or (gene_4661 and gene_5993 and gene_980 and gene_11716 and gene_2283 and gene_5772 and gene_1868 and gene_8021 and gene_7306 and gene_11953 and gene_8988 and gene_10811 and gene_7206 and gene_5561 and gene_9705 and gene_4468 and gene_4172 and gene_11586 and gene_5186 and gene_489 and gene_1035 and gene_2984 and gene_2929 and gene_22 and gene_11923 and gene_302 and gene_489 and gene_8303 and gene_12758 and gene_9725 and gene_7453 and gene_11631 and gene_8601 and gene_7364 and gene_4311 and gene_4544 and gene_5993 and gene_6513 and gene_11280 and gene_11393 and gene_1798 and gene_5658 and gene_9791 and gene_1035 and gene_1801 and gene_4661 and gene_11248 and gene_10107 and gene_5658 and gene_2283 and gene_4099 and gene_1068 and gene_5630 and gene_8678 and gene_8963 and gene_174 and gene_240 and gene_5561 and gene_8926 and gene_6595 and gene_2238 and gene_2283 and gene_6576 and gene_8263 and gene_5157 and gene_4257 and gene_2924 and gene_4798 and gene_7547 and gene_7306 and gene_2396 and gene_2594 and gene_10644 and gene_1521 and gene_11495 and gene_304 and gene_5783 and gene_12109 and gene_12188 and gene_785 and gene_11658 and gene_9829 and gene_3910 and gene_12696 and gene_8102 and gene_2396 and gene_2566 and gene_9149 and gene_9888 and gene_1509 and gene_12989 and gene_12901 and gene_273 and gene_10515 and gene_11749 and gene_700 and gene_11548 and gene_12854 and gene_9241 and gene_10391 and gene_5252 and gene_2294 and gene_12956 and gene_1521 and gene_11046 and gene_5677 and gene_2297 and gene_7206 and gene_9975 and gene_2601 and gene_73 and gene_1858 and gene_12956 and gene_11393 and gene_9996 and gene_7404 and gene_12309 and gene_2265 and gene_6598 and gene_3440 and gene_4217 and gene_10935 and gene_10064 and gene_7872 and gene_4354 and gene_7303 and gene_10924 and gene_412 and gene_10617 and gene_5630 and gene_2297 and gene_5996 and gene_10064 and gene_3036 and gene_4003 and gene_2294 and gene_6632 and gene_8303 and gene_705 and gene_10391 and gene_12577 and gene_4003 and gene_5332 and gene_12696 and gene_8263 and gene_2026 and gene_7800 and gene_431 and gene_7247 and gene_8795 and gene_8201 and gene_7653 and gene_700)	gene_3910 or gene_4354 or gene_2396 or gene_4661 or gene_5993 or gene_980 or gene_11716 or gene_2283 or gene_5772 or gene_1868 or gene_8021 or gene_7306 or gene_11953 or gene_8988 or gene_10811 or gene_7206 or gene_5561 or gene_9705 or gene_4468 or gene_4172 or gene_11586 or gene_5186 or gene_489 or gene_1035 or gene_2984 or gene_2929 or gene_22 or gene_11923 or gene_302 or gene_8303 or gene_12758 or gene_9725 or gene_7453 or gene_11631 or gene_8601 or gene_7364 or gene_4311 or gene_4544 or gene_6513 or gene_11280 or gene_11393 or gene_1798 or gene_5658 or gene_9791 or gene_1801 or gene_11248 or gene_10107 or gene_4099 or gene_1068 or gene_5630 or gene_8678 or gene_8963 or gene_174 or gene_240 or gene_8926 or gene_6595 or gene_2238 or gene_6576 or gene_8263 or gene_5157 or gene_4257 or gene_2924 or gene_4798 or gene_7547 or gene_2594 or gene_10644 or gene_1521 or gene_11495 or gene_304 or gene_5783 or gene_12109 or gene_12188 or gene_785 or gene_11658 or gene_9829 or gene_12696 or gene_8102 or gene_2566 or gene_9149 or gene_9888 or gene_1509 or gene_12989 or gene_12901 or gene_273 or gene_10515 or gene_11749 or gene_700 or gene_11548 or gene_12854 or gene_9241 or gene_10391 or gene_5252 or gene_2294 or gene_12956 or gene_11046 or gene_5677 or gene_2297 or gene_9975 or gene_2601 or gene_73 or gene_1858 or gene_9996 or gene_7404 or gene_12309 or gene_2265 or gene_6598 or gene_3440 or gene_4217 or gene_10935 or gene_10064 or gene_7872 or gene_7303 or gene_10924 or gene_412 or gene_10617 or gene_5996 or gene_3036 or gene_4003 or gene_6632 or gene_705 or gene_12577 or gene_5332 or gene_2026 or gene_7800 or gene_431 or gene_7247 or gene_8795 or gene_8201 or gene_7653	156	1	0	0	CH63R_07703		
rxn00154_m0		(gene_7709 and gene_7709) or (gene_2933 and gene_1362 and gene_5732 and gene_1088 and gene_7709 and gene_7709 and gene_3311 and gene_3311 and gene_7709)	gene_7709 or gene_2933 or gene_1362 or gene_5732 or gene_1088 or gene_3311	11	0	0	0			
rxn00260_m0	L-Aspartate:2-oxoglutarate aminotransferase	gene_10110 and gene_378 and gene_11255 and gene_8831	gene_10110 or gene_378 or gene_11255 or gene_8831	4	2	0	0	CH63R_04917;CH63R_07908		
rxn00507_c0		(gene_7676 and gene_3513 and gene_3583 and gene_12607 and gene_12607 and gene_5820) or (gene_3513 and gene_7676 and gene_11813 and gene_12607 and gene_12607 and gene_5820 and gene_12607 and gene_3583 and gene_3583 and gene_10727 and gene_3513 and gene_5820)	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727	18	0	0	0			
rxn00247_c0		(gene_6589 and gene_10907) or (gene_2480 and gene_6589 and gene_10907 and gene_10907 and gene_9217 and gene_6589)	gene_6589 or gene_10907 or gene_2480 or gene_9217	8	0	0	0			
rxn00505_m0	Isocitrate:NAD+ oxidoreductase (decarboxylating)	gene_11629 or (gene_11776 and gene_11629 and gene_8372 and gene_11629)	gene_11629 or gene_11776 or gene_8372	5	0	0	0			
rxn00459_c0	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	(gene_5039 or gene_7580) and (gene_5039 or gene_7580)	gene_5039 or gene_7580	4	0	0	0			
rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)	(gene_11358 and gene_11358) or (gene_11358 and gene_11358 and gene_11358)	gene_11358	5	0	0	0			
rxn00187_c0		gene_9169 or (gene_3137 and gene_4403 and gene_4403 and gene_9169)	gene_9169 or gene_3137 or gene_4403	5	1	0	0	CH63R_06956		
rxn00006_c0		(gene_5065 and gene_1038 and gene_9660 and gene_9660) or (gene_3404 and gene_12385 and gene_5065 and gene_9660 and gene_6939 and gene_1038 and gene_1038 and gene_9660 and gene_8541 and gene_9660 and gene_3404 and gene_11200)	gene_5065 or gene_1038 or gene_9660 or gene_3404 or gene_12385 or gene_6939 or gene_8541 or gene_11200	16	2	0	0	CH63R_03370;CH63R_13864		
rxn00168_c0		gene_8168 and gene_11837 and gene_12109 and gene_7361	gene_8168 or gene_11837 or gene_12109 or gene_7361	4	0	0	0			
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	gene_11328 and gene_11328	gene_11328	2	0	0	0			
rxn01333_c0	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0	(gene_2227 and gene_90 and gene_5138 and gene_11682) or (gene_90 and gene_90 and gene_11682 and gene_1776 and gene_11682 and gene_5138 and gene_2227 and gene_5138 and gene_2227)	gene_2227 or gene_90 or gene_5138 or gene_11682 or gene_1776	13	0	0	0			
rxn30674_m0	Fumarase_m0	(gene_4086 and gene_9437) or (gene_4086 and gene_9437 and gene_4086)	gene_4086 or gene_9437	5	0	0	0			
rxn00545_c0		gene_4384 or (gene_4384 and gene_7620 and gene_3381 and gene_4384 and gene_1776)	gene_4384 or gene_7620 or gene_3381 or gene_1776	6	0	0	0			
rxn00191_m0	L-Alanine:2-oxoglutarate aminotransferase_m0	gene_3840 or (gene_3840 and gene_3840)	gene_3840	3	0	0	0			
rxn00134_c0		gene_10947 and gene_4315	gene_10947 or gene_4315	2	1	0	0	CH63R_02356		
rxn00191_c0	L-Alanine:2-oxoglutarate aminotransferase_c0	gene_3840 or (gene_3840 and gene_3840)	gene_3840	3	1	0	0	CH63R_08094		
rxn00161_m0		gene_6725 or (gene_4455 and gene_2140 and gene_8151 and gene_8151 and gene_6725)	gene_6725 or gene_4455 or gene_2140 or gene_8151	6	0	0	0			
rxn01115_c0		gene_12740 or (gene_12740 and gene_342 and gene_4358)	gene_12740 or gene_342 or gene_4358	4	0	0	0			
rxn00192_m0		(gene_3939 and gene_3939) or (gene_3939 and gene_3939 and gene_395 and gene_3939 and gene_12310)	gene_3939 or gene_395 or gene_12310	7	2	0	0	CH63R_04276;CH63R_04529		
rxn00237_c0	ATP:GDP phosphotransferase_c0	gene_11925 and gene_12313 and gene_11925	gene_11925 or gene_12313	3	1	0	0	CH63R_03869		
rxn01116_c0	D-Ribulose-5-phosphate 3-epimerase_c0	gene_1379 and gene_377	gene_1379 or gene_377	2	0	0	0			
rxn00559_c0	D-mannose-6-phosphate aldose-ketose-isomerase_c0	(gene_5224 and gene_8063) or (gene_12263 and gene_5676 and gene_9101 and gene_5224 and gene_10978 and gene_10142 and gene_5224 and gene_8063 and gene_8063)	gene_5224 or gene_8063 or gene_12263 or gene_5676 or gene_9101 or gene_10978 or gene_10142	11	0	0	0			
rxn00285_m0	Succinate:CoA ligase (ADP-forming)_m0	gene_11823 and gene_11965 and gene_11823 and gene_12874	gene_11823 or gene_11965 or gene_12874	4	0	0	0			
rxn00786_c0	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0	gene_12807 and gene_6755	gene_12807 or gene_6755	2	0	0	0			
rxn00248_c0	S)-malate:NAD+ oxidoreductase	(gene_10386 and gene_10386) or (gene_1284 and gene_10386 and gene_10386)	gene_10386 or gene_1284	5	0	0	0			
