condition	budget	biomass	frac_of_baseline
PDA	100000.0	2.5e-05	0.0001
PDA	300000.0	7.6e-05	0.0004
PDA	1000000.0	0.000254	0.0013
PDA	3000000.0	0.000761	0.004
PDA	10000000.0	0.002536	0.0132
PDA	30000000.0	0.007608	0.0397
PDA	100000000.0	0.025359	0.1324
PDA	300000000.0	0.076078	0.3973
PDA	1000000000.0	0.191472	1.0
PDA	3000000000.0	0.191472	1.0
PDA	10000000000.0	0.191472	1.0
half	100000.0	2.1e-05	0.0002
half	300000.0	6.3e-05	0.0007
half	1000000.0	0.000211	0.0022
half	3000000.0	0.000634	0.0066
half	10000000.0	0.002112	0.0221
half	30000000.0	0.006337	0.0662
half	100000000.0	0.021122	0.2206
half	300000000.0	0.063366	0.6619
half	1000000000.0	0.095736	1.0
half	3000000000.0	0.095736	1.0
half	10000000000.0	0.095736	1.0
onetenth	100000.0	4.5e-05	0.0024
onetenth	300000.0	0.000136	0.0071
onetenth	1000000.0	0.000452	0.0236
onetenth	3000000.0	0.001357	0.0709
onetenth	10000000.0	0.004522	0.2362
onetenth	30000000.0	0.013567	0.7086
onetenth	100000000.0	0.019147	1.0
onetenth	300000000.0	0.019147	1.0
onetenth	1000000000.0	0.019147	1.0
onetenth	3000000000.0	0.019147	1.0
onetenth	10000000000.0	0.019147	1.0
