condition	rxn_id	name	subsystem	ec	kcat	mw_kDa	flux	ceiling	utilization	saturated
PDA	rxn09552_c0	diacylglycerol cholinephosphotransferase, yeast-specific_c0		2.7.8.1	0.065	47.82	0.33676	0.44602	0.755	False
PDA	PINOS_SC_c0	Phosphatidylinositol synthase  yeast specific		2.7.8.11	0.065	35.16	0.34059	0.49463	0.6886	False
PDA	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0			10.0	58.08	5.02656	8.41659	0.5972	False
PDA	rxn09524_c0	NADH dehydrogenase, cytosolic/mitochondrial_m0		3.1.26.5	1.3	29.48	7.3213	13.32095	0.5496	False
PDA	rxn30674_m0	Fumarase_m0		4.2.1.2	0.098	29.38	0.96038	1.88034	0.5107	False
PDA	rxn03084_c0	5'-Phosphoribosylformylglycinamide:L-glutamine amido-ligase (ADP-forming)_c0		6.3.5.3	0.05	147.78	0.02648	0.05912	0.448	False
PDA	rxn00216_c0			2.7.1.1	1.67	41.2	5.02656	14.61183	0.344	False
PDA	GAT1_SC_c0	Glycerol 3 phosphate acyltransferase  glycerol 3 phosphate   yeast specific		2.3.1.15	0.068	121.58	0.01149	0.05056	0.2272	False
PDA	rxn23551_r0	3-oxo-arachidonyl-CoA-synthase		2.3.1.199	1.0	37.3	0.22502	1.22109	0.1843	False
PDA	rxn23554_r0	3-oxo-behenoyl-CoA-synthase		2.3.1.199	1.0	37.3	0.22502	1.22109	0.1843	False
PDA	rxn23559_r0	3-oxo-lignoceronyl-CoA-synthase		2.3.1.199	1.0	37.3	0.22502	1.22109	0.1843	False
PDA	rxn23557_r0	3-oxo-cerotoyl-CoA-synthase		2.3.1.199	1.0	37.3	0.20995	1.22109	0.1719	False
PDA	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0			10.0	50.66	23.58972	138.77086	0.17	False
PDA	rxn00533_c0	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0		6.4.1.2	16.0	254.28	4.44161	30.28616	0.1467	False
PDA	rxn00751_c0	ATP:choline phosphotransferase_c0		2.7.1.32	2.55	89.09	0.33676	3.2337	0.1041	False
PDA	rxn01643_c0	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0		1.2.1.11	0.12	38.76	-0.07307	0.74755	0.0978	False
PDA	rxn00948_c0	Palmitoyl-CoA:L-serine C-palmitoyltransferase (decarboxylating)_c0		2.3.1.50	1.14	56.85	0.22502	2.34569	0.0959	False
PDA	rxn02134_c0	Sphinganine:NADP+ 3-oxidoreductase_c0		1.1.1.102	1.07	35.94	0.22502	2.71749	0.0828	False
PDA	rxn02914_c0	3-Phosphoserine:2-oxoglutarate aminotransferase_c0		2.6.1.52	1.824	45.93	0.33669	5.54417	0.0607	False
PDA	rxn02938_c0	1-(5-phospho-D-ribosyl)-5-amino-4-imidazolecarboxylate carboxy-lyase_c0		6.3.4.18	0.25	66.54	0.02509	0.55135	0.0455	False
PDA	rxn39089_c0	phosphatidylserine synthase, yeast-specific, mitochondrial_c0		2.7.8.8	0.065	100.56	0.00574	0.1305	0.044	False
PDA	rxn00704_c0	alpha-D-Glucose 1-phosphate 1,6-phosphomutase_c0		5.4.2.2	0.74	90.62	-0.28878	6.65268	0.0434	False
PDA	rxn30674_c0	(S)-malate hydro-lyase (fumarate-forming)_c0		4.2.1.2	0.098	29.38	-0.06397	1.88034	0.034	False
PDA	rxn00299_c0	GTP 7,8-8,9-dihydrolase_c0		3.5.4.16	0.025	34.93	0.00306	0.09963	0.0307	False
PDA	rxn19046_r0	trans-arachidon-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.22502	9.44446	0.0238	False
PDA	rxn19044_r0	trans-docosan-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.22502	9.44446	0.0238	False
PDA	rxn19045_r0	trans-lignocero-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.22502	9.44446	0.0238	False
PDA	rxn09511_r0	Dolichyl-phosphate-mannose--protein mannosyltransferase 1_r0		2.4.1.109	2.9	83.91	0.15469	6.8143	0.0227	False
PDA	rxn19047_r0	trans-cerot-2-enoyl-CoA reductase		1.3.1.93	1.3	34.5	-0.20995	9.44446	0.0222	False
PDA	rxn23534_r0	3-oxoarachidoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.22502	11.50105	0.0196	False
PDA	rxn23531_r0	3-oxo-behenoyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.22502	11.50105	0.0196	False
PDA	rxn23535_r0	3-oxo-lignoceronyl-CoA-reductase		1.1.1.62	4.08	37.45	-0.22502	11.50105	0.0196	False
PDA	rxn23536_r0	3-hydroxy-lignoceroyl-CoA dehydratase		1.1.1.62	4.08	37.45	-0.20995	11.50105	0.0183	False
PDA	rxn30365_c0	CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial_c0		2.7.7.41	8.92	85.45	0.34634	19.93426	0.0174	False
PDA	rxn08173_m0	F(1)-ATPase		7.1.2.1	3.0	8.0	22.65181	1673.39955	0.0135	False
PDA	rxn02504_m0	2-amino-4-hydroxy-6-(D-erythro-1,2,3-trihydroxypropyl)-7,8-dihydropteridine glycolaldehyde-lyase_m0		2.7.6.3	0.17	51.54	0.00306	0.2469	0.0124	False
