ec	kcat	tier	n	n_fungal	n_any
1.1.1.1	3500.0	brenda_fungal	592	21	592
1.1.1.10	119.0	brenda_fungal	98	7	98
1.1.1.100	117.5	brenda_fungal	30	6	30
1.1.1.101	100.0	brenda_any	1	0	1
1.1.1.102	1.07	brenda_fungal	1	1	1
1.1.1.103	49.28	brenda_any	37	0	37
1.1.1.105	0.0272	brenda_any	2	0	2
1.1.1.107	186.7	brenda_any	8	0	8
1.1.1.108	4.0	brenda_any	36	0	36
1.1.1.11	806.12	brenda_any	12	0	12
1.1.1.118	95.46	brenda_any	3	0	3
1.1.1.119	10.1	brenda_any	25	0	25
1.1.1.12	2208.0	brenda_fungal	41	31	41
1.1.1.120	66.722	brenda_any	2	0	2
1.1.1.121	152.5	brenda_any	25	0	25
1.1.1.123	29.3	brenda_any	1	0	1
1.1.1.127	0.0237	brenda_any	2	0	2
1.1.1.133	28.6	brenda_any	2	0	2
1.1.1.136	15.5	brenda_any	4	0	4
1.1.1.14	473.5	brenda_any	16	0	16
1.1.1.140	5.096	brenda_any	2	0	2
1.1.1.141	192.0	brenda_any	25	0	25
1.1.1.144	84.0	brenda_any	1	0	1
1.1.1.145	6.08	brenda_any	139	0	139
1.1.1.146	0.31	brenda_any	10	0	10
1.1.1.149	0.895	brenda_any	77	0	77
1.1.1.153	1.2425	brenda_any	24	0	24
1.1.1.154	47.082	brenda_any	20	0	20
1.1.1.157	11650.0	brenda_any	4	0	4
1.1.1.159	86.33	brenda_any	24	0	24
1.1.1.16	13.91	brenda_any	1	0	1
1.1.1.168	59.0	brenda_fungal	3	3	3
1.1.1.169	25.0	brenda_any	14	0	14
1.1.1.17	132.0	brenda_fungal	22	5	22
1.1.1.173	2860.0	brenda_fungal	2	2	2
1.1.1.175	31.0	brenda_any	11	0	11
1.1.1.176	110.34	brenda_any	16	0	16
1.1.1.179	21.8	brenda_fungal	23	2	23
1.1.1.18	65.5	brenda_any	6	0	6
1.1.1.183	5.4	brenda_any	6	0	6
1.1.1.184	870.0	brenda_fungal	209	41	209
1.1.1.188	0.708	brenda_any	7	0	7
1.1.1.19	18.5	brenda_fungal	11	11	11
1.1.1.192	3903.02	brenda_any	3	0	3
1.1.1.194	25.8	brenda_any	1	0	1
1.1.1.195	43.0	brenda_any	144	0	144
1.1.1.198	75.0	brenda_any	31	0	31
1.1.1.2	11920.0	brenda_fungal	140	23	140
1.1.1.200	0.5566	brenda_any	4	0	4
1.1.1.201	23.84	brenda_any	17	0	17
1.1.1.202	148.696	brenda_any	15	0	15
1.1.1.203	18.5	brenda_fungal	113	11	113
1.1.1.205	3.06	brenda_fungal	86	10	86
1.1.1.206	24.628	brenda_any	24	0	24
1.1.1.207	127.05	brenda_any	16	0	16
1.1.1.208	339.44	brenda_any	10	0	10
1.1.1.209	0.692	brenda_any	58	0	58
1.1.1.21	163.0	brenda_fungal	133	9	133
1.1.1.213	5.582	brenda_any	62	0	62
1.1.1.214	59.0	brenda_fungal	3	3	3
1.1.1.215	21.4	brenda_fungal	3	2	3
1.1.1.218	0.4054	brenda_any	3	0	3
1.1.1.219	58.4	brenda_fungal	6	3	6
1.1.1.22	21.171	brenda_any	48	0	48
1.1.1.227	15.8	brenda_any	9	0	9
1.1.1.23	9.34	brenda_any	11	0	11
1.1.1.236	98.7	brenda_any	5	0	5
1.1.1.237	111.4	brenda_any	13	0	13
1.1.1.239	0.3868	brenda_any	115	0	115
1.1.1.24	263.63	brenda_any	14	0	14
1.1.1.240	904.3	brenda_any	2	0	2
1.1.1.244	5.07	brenda_any	30	0	30
1.1.1.247	0.0621	brenda_any	8	0	8
1.1.1.248	9.07	brenda_any	18	0	18
1.1.1.25	1.5	brenda_fungal	174	1	174
1.1.1.250	179.4	brenda_any	6	0	6
1.1.1.252	14.0	brenda_fungal	3	3	3
1.1.1.26	69.4	brenda_any	19	0	19
1.1.1.261	10.4	brenda_any	32	0	32
1.1.1.262	1.4	brenda_any	1	0	1
1.1.1.263	383.4	brenda_any	17	0	17
1.1.1.264	7.2	brenda_fungal	4	4	4
1.1.1.265	313.14	brenda_fungal	28	28	28
1.1.1.266	43.5	brenda_any	1	0	1
1.1.1.267	25.4	brenda_any	34	0	34
1.1.1.268	26.8	brenda_any	41	0	41
1.1.1.269	25.0	brenda_any	21	0	21
1.1.1.27	350.0	brenda_fungal	95	8	95
1.1.1.270	0.729	brenda_any	32	0	32
1.1.1.271	1.3	brenda_any	5	0	5
1.1.1.274	33.065	brenda_any	20	0	20
1.1.1.276	43.8	brenda_fungal	4	2	4
1.1.1.28	528.06	brenda_any	170	0	170
1.1.1.282	58.94	brenda_any	75	0	75
1.1.1.283	4.0	brenda_fungal	17	4	17
1.1.1.284	88.3	brenda_fungal	52	5	52
1.1.1.286	58.04	brenda_any	33	0	33
1.1.1.287	255.0	brenda_any	13	0	13
1.1.1.289	782.0	brenda_fungal	2	2	2
1.1.1.29	252.5	brenda_any	12	0	12
1.1.1.290	1.4	brenda_any	5	0	5
1.1.1.292	383.4	brenda_any	17	0	17
1.1.1.295	0.304	brenda_any	4	0	4
1.1.1.298	115.0	brenda_any	5	0	5
1.1.1.299	169.5	brenda_any	10	0	10
1.1.1.3	39.78	brenda_any	25	0	25
1.1.1.30	405.4	brenda_any	79	0	79
1.1.1.300	0.291	brenda_any	12	0	12
1.1.1.304	1242.8	brenda_any	7	0	7
1.1.1.305	0.3165	brenda_any	2	0	2
1.1.1.307	3600.0	brenda_fungal	95	29	95
1.1.1.309	0.41	brenda_any	1	0	1
1.1.1.31	47.355	brenda_any	26	0	26
1.1.1.311	2.0	brenda_any	4	0	4
1.1.1.313	0.15	brenda_any	2	0	2
1.1.1.317	7.4354	brenda_any	2	0	2
1.1.1.318	5.874	brenda_any	12	0	12
1.1.1.319	1.16	brenda_any	6	0	6
1.1.1.320	0.14	brenda_fungal	3	1	3
1.1.1.325	5.0	brenda_any	2	0	2
1.1.1.326	3.98	brenda_any	8	0	8
1.1.1.332	0.76	brenda_fungal	4	4	4
1.1.1.335	0.0043	brenda_any	6	0	6
1.1.1.336	0.4	brenda_any	1	0	1
1.1.1.337	12300.0	brenda_any	88	0	88
1.1.1.34	0.023	brenda_any	1	0	1
1.1.1.340	0.65	brenda_any	1	0	1
1.1.1.343	29.88	brenda_any	19	0	19
1.1.1.345	968.0	brenda_any	11	0	11
1.1.1.346	18.3	brenda_any	8	0	8
1.1.1.347	2996.0	brenda_any	1	0	1
1.1.1.35	1313.6	brenda_any	49	0	49
1.1.1.350	47.088	brenda_any	20	0	20
1.1.1.351	325.0	brenda_any	1	0	1
1.1.1.354	2996.0	brenda_any	1	0	1
1.1.1.357	0.866	brenda_any	107	0	107
1.1.1.358	59.0	brenda_fungal	5	5	5
1.1.1.359	74.9	brenda_any	29	0	29
1.1.1.36	53.0	brenda_fungal	19	8	19
1.1.1.361	5.8	brenda_any	8	0	8
1.1.1.363	1119.3	brenda_any	102	0	102
1.1.1.365	7.11	brenda_fungal	11	8	11
1.1.1.366	7.2	brenda_fungal	2	2	2
1.1.1.368	7.0	brenda_any	1	0	1
1.1.1.369	1.0	brenda_any	1	0	1
1.1.1.37	8320.0	brenda_any	91	0	91
1.1.1.370	49.7	brenda_any	5	0	5
1.1.1.373	440.0	brenda_any	16	0	16
1.1.1.374	0.981	brenda_any	2	0	2
1.1.1.376	104.97	brenda_any	64	0	64
1.1.1.377	23.065	brenda_any	6	0	6
1.1.1.378	154.13	brenda_any	30	0	30
1.1.1.379	30.157	brenda_any	2	0	2
1.1.1.38	56.38	brenda_any	25	0	25
1.1.1.380	1.8	brenda_any	1	0	1
1.1.1.381	52.8	brenda_fungal	15	7	15
1.1.1.382	0.397	brenda_any	4	0	4
1.1.1.383	3.6	brenda_any	45	0	45
1.1.1.387	10.64	brenda_any	9	0	9
1.1.1.388	4.878	brenda_any	2	0	2
1.1.1.39	678.8	brenda_any	15	0	15
