ec3	kcat_median	n
1.1.1	6.3	7126
1.1.2	40.0	126
1.1.3	7.0	1289
1.1.5	225.0	191
1.1.9	17.3	8
1.1.98	2.65	28
1.1.99	16.95	772
1.10.3	28.1	597
1.10.5	11.0	9
1.11.1	25.8	1261
1.11.2	34.5	176
1.12.1	171.0	21
1.12.2	45.0	19
1.12.5	7.05	1
1.12.7	293.5	4
1.12.98	1218.5	12
1.12.99	34.15	8
1.13.11	3.6	998
1.13.12	1.4	175
1.13.99	80.95	8
1.14.11	0.3	336
1.14.12	1.0	60
1.14.13	1.2	825
1.14.14	0.2875	468
1.14.15	0.5	207
1.14.16	0.952	111
1.14.17	4.6	61
1.14.18	12.7	303
1.14.19	0.0262	88
1.14.20	0.054	181
1.14.99	0.25	77
1.15.1	22300.0	6
1.16.1	5.925	30
1.16.3	0.935	56
1.17.1	1.905	398
1.17.2	17.1	9
1.17.3	3.835	24
1.17.4	0.0385	22
1.17.5	12.0	3
1.17.7	3.11	3
1.17.9	20.0	5
1.17.98	1421.0	2
1.17.99	0.28	14
1.18.1	31.0	357
1.18.6	200.15	2
1.19.1	3.25	36
1.19.6	400.0	1
1.2.1	3.755	1220
1.2.3	1.66	222
1.2.4	0.82	97
1.2.5	93.3	7
1.2.7	8.05	112
1.2.98	1510.85	6
1.2.99	3.3	53
1.20.1	2.93	93
1.20.2	19.5	2
1.20.4	0.75	39
1.20.9	7213.5	2
1.20.99	0.095	12
1.21.1	0.0985	34
1.21.3	0.48	47
1.21.4	6.725	6
1.21.99	0.7505	4
1.23.1	0.56	13
1.3.1	1.3	785
1.3.2	48.75	72
1.3.3	0.3	199
1.3.5	12.75	198
1.3.7	0.013	9
1.3.8	4.9	211
1.3.98	6.8	19
1.3.99	47.5	73
1.4.1	19.0	747
1.4.2	4.4	3
1.4.3	3.2	1211
1.4.4	0.033	11
1.4.5	14.7	7
1.4.7	70.335	2
1.4.9	15.0	69
1.4.99	9.2	35
1.5.1	10.35	785
1.5.3	2.85	320
1.5.5	20.0	59
1.5.7	0.295	2
1.5.8	3.55	35
1.5.98	275.0	3
1.5.99	7.61	40
1.6.1	117.5	17
1.6.2	83.0	349
1.6.3	22.085	16
1.6.5	25.2	227
1.6.99	3.72	22
1.7.1	25.2	133
1.7.2	27.235	180
1.7.3	6.64	55
1.7.5	93.0	8
1.7.7	98.7	24
1.7.99	3.8	1
1.8.1	13.8	478
1.8.2	86.2	67
1.8.3	7.635	266
1.8.4	0.157	169
1.8.5	37.0	241
1.8.7	2.7	13
1.8.98	0.0135	6
1.9.6	5.91	5
1.97.1	2.799	8
2.1.1	0.028	1065
2.1.2	3.53	193
2.1.3	120.0	65
2.1.4	875.0	2
2.1.5	7.9	1
