condition	capacity	rxn_id	name	subsystem	flux	ceiling	expr_norm
PDA	1000.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		1.98451	1.98451	0.002
PDA	300.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.59535	0.59535	0.002
PDA	100.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.19845	0.19845	0.002
PDA	30.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.05954	0.05954	0.002
PDA	30.0	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.85623	0.85623	0.0285
PDA	30.0	rxn09779_c0	Tricarboxylate transport protein_c0		-0.06119	0.06119	0.002
PDA	30.0	rxn00342_e0	L-Asparagine amidohydrolase_e0		0.05688	0.05688	0.0019
PDA	10.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.01985	0.01985	0.002
PDA	10.0	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.28541	0.28541	0.0285
PDA	10.0	rxn09779_c0	Tricarboxylate transport protein_c0		-0.0204	0.0204	0.002
PDA	10.0	rxn00342_e0	L-Asparagine amidohydrolase_e0		0.01896	0.01896	0.0019
PDA	10.0	rxn00342_c0	L-Asparagine amidohydrolase_c0		0.01896	0.01896	0.0019
PDA	3.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.00595	0.00595	0.002
PDA	3.0	rxn30381_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0		-0.03978	0.03978	0.0133
PDA	3.0	rxn09780_c0	ADP/ATP transporter, mitochondrial_c0		0.08562	0.08562	0.0285
PDA	3.0	rxn09779_c0	Tricarboxylate transport protein_c0		-0.00612	0.00612	0.002
PDA	3.0	rxn00342_c0	L-Asparagine amidohydrolase_c0		0.00569	0.00569	0.0019
PDA	1.0	rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		0.00198	0.00198	0.002
PDA	1.0	rxn00547_c0			0.01463	0.01463	0.0146
PDA	1.0	rxn30381_c0	sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0		-0.01326	0.01326	0.0133
