condition	capacity	biomass	frac_of_baseline
PDA	1000.0	0.080575	0.4208
PDA	300.0	0.029209	0.1526
PDA	100.0	0.013812	0.0721
PDA	30.0	0.006227	0.0325
PDA	10.0	0.002359	0.0123
PDA	3.0	0.001005	0.0053
PDA	1.0	0.000368	0.0019
PDA	0.3	0.00011	0.0006
PDA	0.1	3.7e-05	0.0002
half	1000.0	0.095736	1.0
half	300.0	0.044452	0.4643
half	100.0	0.017314	0.1808
half	30.0	0.007342	0.0767
half	10.0	0.002706	0.0283
half	3.0	0.000961	0.01
half	1.0	0.000397	0.0041
half	0.3	0.000119	0.0012
half	0.1	4e-05	0.0004
onetenth	1000.0	0.019147	1.0
onetenth	300.0	0.019147	1.0
onetenth	100.0	0.019147	1.0
onetenth	30.0	0.011333	0.5919
onetenth	10.0	0.004297	0.2244
onetenth	3.0	0.001448	0.0756
onetenth	1.0	0.000483	0.0252
onetenth	0.3	0.000145	0.0076
onetenth	0.1	4.8e-05	0.0025
