rxn_id	name	subsystem	gpr	expr_linear	eflux_scale	flux_baseline	flux_eflux	dflux
rxn00248_m0	(S)-malate:NAD+ oxidoreductase		gene_10386 or gene_2140 or gene_1284 or gene_4455	3931475865.696056	0.2590551553001141	0.5121782757517902	0.5121782757539438	2.1536106231678787e-12
rxn00506_m0			gene_12607 or gene_7676 or gene_3513 or gene_6404 or gene_10955 or gene_5820 or gene_9629 or gene_9702 or gene_12737 or gene_11813 or gene_3583 or gene_727	3644303815.236486	0.2401326430754371	0.0	0.0	0.0
rxn08067_c0	adentylate kinase (ITP)_c0		gene_8746 or gene_2710	602563742.2029029	0.039704489903298536	0.0	0.0	0.0
rxn00062_c0			gene_3910 or gene_4354 or gene_2396 or gene_4661 or gene_5993 or gene_980 or gene_11716 or gene_2283 or gene_5772 or gene_1868 or gene_8021 or gene_7306 or gene_11953 or gene_8988 or gene_10811 or gene_7206 or gene_5561 or gene_9705 or gene_4468 or gene_4172 or gene_11586 or gene_5186 or gene_489 or gene_1035 or gene_2984 or gene_2929 or gene_22 or gene_11923 or gene_302 or gene_8303 or gene_12758 or gene_9725 or gene_7453 or gene_11631 or gene_8601 or gene_7364 or gene_4311 or gene_4544 or gene_6513 or gene_11280 or gene_11393 or gene_1798 or gene_5658 or gene_9791 or gene_1801 or gene_11248 or gene_10107 or gene_4099 or gene_1068 or gene_5630 or gene_8678 or gene_8963 or gene_174 or gene_240 or gene_8926 or gene_6595 or gene_2238 or gene_6576 or gene_8263 or gene_5157 or gene_4257 or gene_2924 or gene_4798 or gene_7547 or gene_2594 or gene_10644 or gene_1521 or gene_11495 or gene_304 or gene_5783 or gene_12109 or gene_12188 or gene_785 or gene_11658 or gene_9829 or gene_12696 or gene_8102 or gene_2566 or gene_9149 or gene_9888 or gene_1509 or gene_12989 or gene_12901 or gene_273 or gene_10515 or gene_11749 or gene_700 or gene_11548 or gene_12854 or gene_9241 or gene_10391 or gene_5252 or gene_2294 or gene_12956 or gene_11046 or gene_5677 or gene_2297 or gene_9975 or gene_2601 or gene_73 or gene_1858 or gene_9996 or gene_7404 or gene_12309 or gene_2265 or gene_6598 or gene_3440 or gene_4217 or gene_10935 or gene_10064 or gene_7872 or gene_7303 or gene_10924 or gene_412 or gene_10617 or gene_5996 or gene_3036 or gene_4003 or gene_6632 or gene_705 or gene_12577 or gene_5332 or gene_2026 or gene_7800 or gene_431 or gene_7247 or gene_8795 or gene_8201 or gene_7653	2378911310.6537113	0.15675264457397006	0.0	0.0	0.0
rxn00154_m0			gene_7709 or gene_2933 or gene_1362 or gene_5732 or gene_1088 or gene_3311	503627290.9325849	0.0331853101793918	0.5915268762306176	0.5915268762301352	-4.823919041996305e-13
rxn00515_c0	ATP:IDP phosphotransferase_c0		gene_12313	2453246329.3976145	0.1616507720158714	0.0	0.0	0.0
rxn00260_m0	L-Aspartate:2-oxoglutarate aminotransferase		gene_10110 or gene_378 or gene_11255 or gene_8831	528296566.4038644	0.034810832809230495	0.01824387009029953	0.018243870090299572	4.163336342344337e-17
rxn00507_c0			gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727	4101791832.409384	0.2702777166776335	2.4630543190671474	2.4630543190671506	3.1086244689504383e-15
rxn00247_c0			gene_6589 or gene_10907 or gene_2480 or gene_9217	1448924532.6828218	0.09547340048743726	0.0	0.0	0.0
rxn00505_m0	Isocitrate:NAD+ oxidoreductase (decarboxylating)		gene_11629 or gene_11776 or gene_8372	357644690.01701456	0.023566137470925445	0.4444307929632065	0.4444307929627345	-4.71955807768154e-13
rxn00459_c0	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0		gene_5039 or gene_7580	2348369457.195572	0.1547401625287952	3.3380444595857757	3.3380444595852965	-4.791722574282176e-13
rxn00198_m0	Isocitrate:NADP+ oxidoreductase (decarboxylating)		gene_11358	108486841.7129045	0.007148479753666154	0.06793318512311727	0.06793318512311738	1.1102230246251565e-16
rxn00187_c0			gene_9169 or gene_3137 or gene_4403	301471681.77249414	0.01986475206972511	0.05155437683213762	0.051554376832159056	2.143424326916943e-14
rxn00006_c0			gene_5065 or gene_1038 or gene_9660 or gene_3404 or gene_12385 or gene_6939 or gene_8541 or gene_11200	2089071329.2216258	0.1376543354485807	0.0	0.0	0.0
rxn00168_c0			gene_8168 or gene_11837 or gene_12109 or gene_7361	588777280.7804655	0.038796064155097676	2.4630543190671474	2.4630543190671506	3.1086244689504383e-15
rxn00781_c0	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0		gene_11328	6591594224.392421	0.43433726259769134	3.5063879515134424	3.506387951512985	-4.574118861455645e-13
rxn08617_c0	glucose transport via diffusion (extracellular to periplasm)_c0		gene_13019 or gene_331 or gene_6660	55953944.354435764	0.0036869507125477357	2.5132802	2.5132802	0.0
rxn01333_c0	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0		gene_2227 or gene_90 or gene_5138 or gene_11682 or gene_1776	1678429397.3669453	0.1105960720728448	0.0	0.0	0.0
rxn30674_m0	Fumarase_m0		gene_4086 or gene_9437	262677360.5229777	0.017308493489138172	0.4801914309301439	0.4801914309322762	2.1322943410950757e-12
rxn00545_c0			gene_4384 or gene_7620 or gene_3381 or gene_1776	1678429397.3669453	0.1105960720728448	1.0572157012076415	1.057215701206761	-8.806289031326742e-13
rxn00191_m0	L-Alanine:2-oxoglutarate aminotransferase_m0		gene_3840	305578471.04818517	0.020135359080919523	0.0	0.0	0.0
rxn00134_c0			gene_10947 or gene_4315	410585198.615328	0.027054525075251995	0.0029869709359594053	0.0029869709359594053	0.0
rxn00191_c0	L-Alanine:2-oxoglutarate aminotransferase_c0		gene_3840	305578471.04818517	0.020135359080919523	-0.04396590553721643	-0.04396590553982064	-2.6042085154998063e-12
rxn00161_m0			gene_6725 or gene_4455 or gene_2140 or gene_8151	514698198.3955051	0.03391480102458416	0.0	0.0	0.0
rxn01115_c0			gene_12740 or gene_342 or gene_4358	1326840465.512271	0.08742896423475859	1.4256585080899287	1.4256585080912432	1.3145040611561853e-12
rxn00192_m0			gene_3939 or gene_395 or gene_12310	400973823.2117083	0.026421206588024916	0.0	0.0	0.0
rxn00237_c0	ATP:GDP phosphotransferase_c0		gene_11925 or gene_12313	2453246329.3976145	0.1616507720158714	0.16975303500222327	0.16975303500223415	1.0880185641326534e-14
rxn01116_c0	D-Ribulose-5-phosphate 3-epimerase_c0		gene_1379 or gene_377	229637794.919685	0.015131430703864293	0.923218735756466	0.9232187357573352	8.691936059790351e-13
rxn00559_c0	D-mannose-6-phosphate aldose-ketose-isomerase_c0		gene_5224 or gene_8063 or gene_12263 or gene_5676 or gene_9101 or gene_10978 or gene_10142	792126912.216122	0.052195299493518955	-0.15787864649008387	-0.1578786464900841	-2.220446049250313e-16
rxn00285_m0	Succinate:CoA ligase (ADP-forming)_m0		gene_11823 or gene_11965 or gene_12874	401500793.5130761	0.026455930029786454	-0.4780801228851918	-0.4780801228847199	4.719002966169228e-13
rxn00786_c0	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0		gene_12807 or gene_6755	925866787.5211195	0.061007767215693315	1.0572157012076415	1.057215701206761	-8.806289031326742e-13
rxn00248_c0	S)-malate:NAD+ oxidoreductase		gene_10386 or gene_1284	3931475865.696056	0.2590551553001141	0.0	0.0	0.0
rxn00704_c0	alpha-D-Glucose 1-phosphate 1,6-phosphomutase_c0		gene_895	507855172.4729828	0.03346389627439873	-0.14438940915429294	-0.14438940915429313	-1.942890293094024e-16
rxn01053_c0			gene_12607 or gene_3601 or gene_5820 or gene_7676 or gene_3513 or gene_11959 or gene_900 or gene_3583 or gene_2524 or gene_8794	3644303815.236486	0.2401326430754371	0.0	0.0	0.0
rxn00547_c0			gene_3281 or gene_9152	187848093.80460194	0.012377798764578176	0.01786784	0.01786784	0.0
rxn01100_c0	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0		gene_8456 or gene_9532	3507397809.1660514	0.23111155077431075	-3.5063879515134424	-3.506387951512985	4.574118861455645e-13
rxn00558_c0	D-glucose-6-phosphate aldose-ketose-isomerase_c0		gene_83 or gene_8161	639114111.5568233	0.042112888665675266	0.0	0.0	0.0
rxn09882_c0	RXN-5581.c.metaexp.NADP_c0		gene_12607 or gene_3583 or gene_3513 or gene_5820 or gene_7676 or gene_10727	4101791832.409384	0.2702777166776335	0.0	0.0	0.0
rxn00250_c0			gene_10796 or gene_12451 or gene_10336 or gene_2859 or gene_10986 or gene_9951	763889074.7679465	0.050334635047043615	0.09972106514770557	0.0997210651477062	6.38378239159465e-16
