gene	ko_id	uniprot_chig_id	logFC_half_vs_PDA	adjP_half_vs_PDA	logFC_onetenth_vs_PDA	adjP_onetenth_vs_PDA	logFC_onetenth_vs_half	adjP_onetenth_vs_half	sig_half_vs_PDA	sig_onetenth_vs_PDA	sig_onetenth_vs_half
gene_8063	K01809	tr|A0A1B7YL05|A0A1B7YL05_COLHI	0.4053	0.4376	-0.9594	0.0171	-1.3647	0.0024	False	False	True
gene_3178	K01483	tr|A0A1B7Y6X3|A0A1B7Y6X3_COLHI	-0.0891	0.8223	0.3946	0.1236	0.4838	0.063	False	False	False
gene_10191	K04567	tr|H1V8F6|H1V8F6_COLHI	-0.0947	0.7956	-0.0171	0.9471	0.0776	0.7634	False	False	False
gene_5065	K03782	tr|A0A1B7YCI5|A0A1B7YCI5_COLHI	-1.5296	0.105	-2.0138	0.0094	-0.4842	0.487	False	True	False
gene_2036	K00147	tr|H1VBJ7|H1VBJ7_COLHI	-0.1325	0.8556	-0.9987	0.0347	-0.8663	0.0606	False	False	False
gene_9091	K00759	tr|H1VKV4|H1VKV4_COLHI	-0.2076	0.6836	-0.6038	0.087	-0.3962	0.2501	False	False	False
gene_5732		tr|A0A1B7YPL3|A0A1B7YPL3_COLHI	0.6995	0.1858	-0.7294	0.0675	-1.4289	0.0026	False	False	True
gene_8865	K07748	tr|H1VMR2|H1VMR2_COLHI	-0.503	0.4058	0.31	0.4873	0.813	0.0649	False	False	False
gene_9051	K13303	tr|H1VJR0|H1VJR0_COLHI	-0.3939	0.6691	-0.4267	0.5099	-0.0328	0.9633	False	False	False
gene_8838	K00605	tr|H1UVZ2|H1UVZ2_COLHI	0.9954	0.216	0.2689	0.6663	-0.7265	0.215	False	False	False
gene_7353	K17267	tr|H1V304|H1V304_COLHI	-0.1928	0.5223	0.2315	0.2748	0.4243	0.0505	False	False	False
gene_2414	K09522	tr|H1UY34|H1UY34_COLHI	0.1606	0.6833	-0.2773	0.3078	-0.4379	0.1052	False	False	False
gene_598	K11788	tr|A0A1B7YP86|A0A1B7YP86_COLHI	0.3417	0.1827	-0.1235	0.5265	-0.4652	0.022	False	False	False
gene_5400	K07513	tr|H1UWX2|H1UWX2_COLHI	0.1021	0.8434	0.7615	0.0278	0.6594	0.0502	False	False	False
gene_1935	K07513	tr|H1UXQ2|H1UXQ2_COLHI	-0.5372	0.3854	-2.1863	0.0006	-1.6491	0.0022	False	True	True
gene_7247	K13525	tr|A0A1B7YNM2|A0A1B7YNM2_COLHI	-0.0877	0.7869	-0.196	0.3637	-0.1083	0.6222	False	False	False
gene_159	K00766	tr|H1V3Q6|H1V3Q6_COLHI	-0.2518	0.7899	-1.1393	0.0695	-0.8875	0.149	False	False	False
gene_3281		tr|H1V7W0|H1V7W0_COLHI	0.953	0.4161	0.9812	0.2819	0.0282	0.9791	False	False	False
gene_10589	K11262	tr|A0A1B7YRM9|A0A1B7YRM9_COLHI	1.0896	0.1575	-1.4577	0.019	-2.5473	0.0008	False	True	True
gene_4744	K15109	tr|H1VSD3|H1VSD3_COLHI	0.3962	0.6637	2.6821	0.0014	2.2859	0.0025	False	True	True
gene_3336	K19572	tr|H1V4C9|H1V4C9_COLHI	-0.3847	0.2808	-0.845	0.006	-0.4603	0.0827	False	False	False
gene_9170	K00866	tr|A0A1B7Y8T4|A0A1B7Y8T4_COLHI	0.1956	0.5223	0.3315	0.1233	0.1359	0.5344	False	False	False
gene_5274	K00972	tr|H1VKB7|H1VKB7_COLHI	-0.3305	0.4191	-0.5819	0.0518	-0.2514	0.3879	False	False	False
gene_11046	K14833	tr|A0A1B7YDF6|A0A1B7YDF6_COLHI	0.8928	0.1423	1.6635	0.0043	0.7708	0.1078	False	True	False
gene_8118	K00852	tr|H1UVR2|H1UVR2_COLHI	0.1919	0.6302	-0.0447	0.8889	-0.2366	0.3935	False	False	False
gene_3110	K10675	tr|H1UVV2|H1UVV2_COLHI	-0.6991	0.7983	-5.3449	0.0089	-4.6458	0.0172	False	True	True
gene_4566	K08681	tr|A0A1B7YWX8|A0A1B7YWX8_COLHI	-0.6261	0.5777	-0.4698	0.5573	0.1563	0.8572	False	False	False
gene_6315	K01874	tr|H1V614|H1V614_COLHI	-0.437	0.1206	-0.1389	0.5158	0.2981	0.1511	False	False	False
gene_8021	K12492	tr|A0A1B7YKJ0|A0A1B7YKJ0_COLHI	0.064	0.8489	-0.2561	0.2269	-0.3202	0.1287	False	False	False
