metabolite_id	name	compartment	k_reactions	z_reporter	p_one_sided
cpd00007_e0	O2	e0	5	-6.407	0.0
cpd00011_c0	CO2	c0	40	-5.437	0.0
cpd11493_c0	ACP_c0	c0	10	-5.419	0.0
cpd00071_c0	Acetaldehyde	c0	8	-4.999	0.0
cpd03309_e0		e0	3	-4.963	0.0
cpd15240_c0	hexacosanoate_c0	c0	5	4.443	0.0
cpd00002_x0	ATP_x0	x0	17	4.411	0.0
cpd00001_e0	H2O	e0	11	-4.4	0.0
cpd03847_c0	Myristic acid_c0	c0	9	3.858	0.0001
cpd15237_c0	hexadecenoate_c0	c0	9	3.858	0.0001
cpd01080_c0	ocdca_c0	c0	8	3.738	0.0001
cpd00001_c0	H2O	c0	170	-3.676	0.0001
cpd00020_c0	Pyruvate	c0	12	-3.507	0.0002
cpd00954_m0	6-hydroxymethyl dihydropterin_m0	m0	3	3.483	0.0002
cpd01499_c0	2-Methylbutanal_c0	c0	3	-3.356	0.0004
cpd00143_c0	Phenylpyruvate_c0	c0	3	-3.285	0.0005
cpd00123_c0	3-Methyl-2-oxobutanoate_c0	c0	3	-3.27	0.0005
cpd16874_c0	2-methylpropanal_c0	c0	3	-3.26	0.0006
cpd00007_c0	O2	c0	29	-3.249	0.0006
cpd00008_x0	ADP_x0	x0	8	3.15	0.0008
cpd00837_c0	S-Adenosylmethioninamine_c0	c0	3	3.116	0.0009
cpd00018_m0	AMP	m0	10	3.031	0.0012
cpd00070_c0	Malonyl-CoA_c0	c0	11	-2.991	0.0014
cpd00009_x0	Phosphate_x0	x0	7	2.975	0.0015
cpd00486_c0	Indoleacetaldehyde	c0	3	-2.947	0.0016
cpd00018_x0	AMP_x0	x0	10	2.918	0.0018
cpd00012_x0	PPi_x0	x0	8	2.912	0.0018
cpd00214_c0	Palmitate_c0	c0	9	2.899	0.0019
cpd15269_c0	octadecenoate_c0	c0	9	2.899	0.0019
cpd00137_m0	Citrate	m0	5	2.896	0.0019
cpd00137_c0	Citrate	c0	5	2.896	0.0019
cpd00006_r0	NADP_r0	r0	9	2.831	0.0023
cpd00005_r0	NADPH_r0	r0	9	2.831	0.0023
cpd00067_r0	H+_r0	r0	19	2.826	0.0024
cpd00018_c0	AMP	c0	48	2.815	0.0024
cpd00067_e0	H+	e0	10	2.601	0.0046
cpd00042_c0	GSH	c0	8	-2.458	0.007
cpd00332_c0	Mevalonic acid_c0	c0	4	2.397	0.0083
cpd00219_c0	Prephenate_c0	c0	3	-2.382	0.0086
cpd00002_c0	ATP	c0	134	2.362	0.0091
cpd00001_r0	H2O_r0	r0	6	2.155	0.0156
cpd00026_c0	UDP-glucose	c0	9	-2.094	0.0181
cpd00067_x0	H+_x0	x0	33	2.092	0.0182
cpd00070_r0	Malonyl-CoA_r0	r0	4	2.006	0.0224
cpd00011_r0	CO2_r0	r0	4	2.006	0.0224
cpd00027_c0	D-Glucose	c0	8	2.004	0.0225
cpd00041_c0	L-Aspartate	c0	12	1.994	0.0231
cpd11624_c0	Lecithin_c0	c0	4	1.981	0.0238
cpd15272_c0	Octadecynoyl-CoA_c0	c0	8	1.959	0.0251
cpd00464_c0	alpha-Tolualdehyde_c0	c0	3	-1.955	0.0253
cpd00046_c0	CMP_c0	c0	8	1.955	0.0253
cpd00146_c0	Carbamoylphosphate_c0	c0	3	1.948	0.0257
cpd00858_c0	L-Glutamate5-semialdehyde_c0	c0	3	-1.947	0.0257
cpd19016_c0	Ornithine_c0	c0	3	-1.928	0.0269
cpd00260_m0	Isocitrate	m0	4	1.887	0.0296
cpd00132_c0	L-Asparagine_c0	c0	4	1.85	0.0322
cpd00012_m0	PPi	m0	16	1.765	0.0388
cpd00812_c0	5-phosphomevalonate_c0	c0	5	1.75	0.0401
cpd00009_c0	Phosphate	c0	68	1.712	0.0435
cpd00260_c0	Isocitrate	c0	4	1.691	0.0454
cpd15192_c0	1,2-Diacylglycerol, yeast-specific_c0	c0	6	1.626	0.052
cpd00006_c0	NADP	c0	59	-1.572	0.058
cpd00005_c0	NADPH	c0	59	-1.572	0.058
cpd00002_m0	ATP	m0	25	1.499	0.067
cpd00031_c0	GDP	c0	11	1.471	0.0707
cpd00285_c0	Phosphoethanolamine_c0	c0	4	-1.459	0.0723
cpd00065_c0	L-Tryptophan_c0	c0	4	-1.45	0.0735
cpd00001_x0	H2O_x0	x0	33	1.439	0.0751
cpd00050_c0	FMN_c0	c0	4	1.429	0.0765
cpd29705_x0	tetracosanoyl-CoA  (n-C24:0CoA)_x0	x0	4	-1.416	0.0784
cpd00793_c0	Thiamine phosphate_c0	c0	3	-1.372	0.085
cpd11295_c0	2,3-diketo5-methylthio-1-phosphopentane_c0	c0	3	-1.372	0.0851
cpd00067_c0	H+	c0	297	-1.361	0.0867
cpd00012_c0	PPi	c0	72	1.338	0.0905
cpd15295_x0	Tetradecenoyl-CoA_x0	x0	4	1.333	0.0913
cpd15238_x0	Hexadecenoyl-CoA_x0	x0	4	1.333	0.0913
cpd01188_c0	Lanosterol_c0	c0	3	1.332	0.0914
cpd00198_c0	D-Xylulose5-phosphate	c0	4	-1.331	0.0916
cpd11421_c0	trdrd	c0	11	-1.321	0.0932
cpd11420_c0	trdox	c0	11	-1.321	0.0932
cpd02097_c0	L-Glutamyl 5-phosphate_c0	c0	3	-1.318	0.0937
cpd00047_c0	Formate_c0	c0	12	-1.286	0.0992
cpd00868_c0	p-hydroxyphenylpyruvate_c0	c0	3	-1.273	0.1016
cpd00113_c0	Isopentenyldiphosphate_c0	c0	5	-1.258	0.1042
cpd00053_c0	L-Glutamine	c0	15	1.245	0.1066
cpd00347_m0	5-10-Methenyltetrahydrofolate_m0	m0	4	-1.227	0.1099
cpd00089_c0	Glucose-1-phosphate	c0	4	-1.222	0.1108
cpd00022_c0	Acetyl-CoA	c0	12	-1.211	0.1129
cpd00038_c0	GTP	c0	13	1.202	0.1147
cpd00054_c0	L-Serine_c0	c0	9	1.199	0.1152
cpd00242_c0	H2CO3	c0	4	-1.192	0.1166
cpd00096_c0	CDP_c0	c0	4	1.189	0.1173
cpd15207_x0	3-Oxohexacosyl-CoA_x0	x0	3	-1.188	0.1174
cpd02894_c0	4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0	c0	3	-1.188	0.1174
cpd00081_c0	Sulfite_c0	c0	3	-1.176	0.1198
cpd01695_x0	Myristoyl-CoA_x0	x0	5	1.17	0.1209
cpd00006_x0	NADP_x0	x0	7	1.161	0.1229
cpd00005_x0	NADPH_x0	x0	7	1.161	0.1229
cpd00032_c0	Oxaloacetate	c0	4	-1.157	0.1237
cpd00738_c0	phosphoserine_c0	c0	3	1.155	0.124
cpd11255_c0		c0	3	-1.146	0.126
cpd00008_c0	ADP	c0	92	1.145	0.1261
cpd00705_c0	L-2-Aminoadipate_c0	c0	4	1.139	0.1273
cpd00036_c0	Succinate	c0	7	1.131	0.129
cpd15274_c0	Octadecenoyl-CoA_c0	c0	9	1.117	0.1319
cpd15238_c0	Hexadecenoyl-CoA_c0	c0	9	1.117	0.1319
cpd00982_m0	FADH2	m0	4	1.107	0.1342
cpd00015_m0	FAD	m0	5	1.095	0.1367
cpd00079_c0	D-glucose-6-phosphate	c0	7	-1.091	0.1377
cpd00215_c0	Pyridoxal_c0	c0	4	1.089	0.138
cpd00003_c0	NAD	c0	41	-1.087	0.1386
cpd00087_c0	Tetrahydrofolate_c0	c0	6	1.081	0.1398
cpd00029_c0	Acetate	c0	8	-1.064	0.1437
cpd00869_c0	4-methylthio 2-oxobutyrate_c0	c0	3	-1.064	0.1438
cpd00424_c0	Cystathionine_c0	c0	4	1.059	0.1447
cpd00171_c0	D-Ribulose5-phosphate	c0	5	-1.054	0.1459
cpd15291_m0	Ubiquinol-6	m0	8	1.046	0.1477
cpd15290_m0	Ubiquinone-6	m0	8	1.046	0.1477
cpd00201_m0	10-Formyltetrahydrofolate_m0	m0	3	-1.043	0.1484
cpd00227_c0	L-Homoserine_c0	c0	3	1.029	0.1517
cpd00041_m0	L-Aspartate	m0	3	1.022	0.1535
