rxn_id	seed_base	pathway_bucket	kegg_reaction	kegg_pathway_id	kegg_pathway_name	ec_number
rxn00248_m0	rxn00248	TCA cycle	R00342	rn00020;rn00620;rn00630;rn00680;rn00710;rn00720;rn01110;rn01200	Citrate cycle (TCA cycle;Pyruvate metabolism;Glyoxylate and dicarboxylate metabolism;Methane metabolism;Carbon fixation in photosynthetic organisms;Carbon fixation pathways in prokaryotes;Biosynthesis of secondary metabolites;Carbon metabolism	1.1.1.299|1.1.1.37
rxn00506_m0	rxn00506	Other / unassigned	R00710	rn00010;rn00620;rn01110	Glycolysis / Gluconeogenesis;Pyruvate metabolism;Biosynthesis of secondary metabolites	1.2.1.3|1.2.1.5
rxn08067_c0	rxn08067	Other / unassigned				
rxn00062_c0	rxn00062	GAM / maintenance	R00086;R10531	rn00230	Purine metabolism	3.6.1.15|3.6.1.3|3.6.1.5|3.6.1.8|3.6.3.1|3.6.3.10|3.6.3.11|3.6.3.12|3.6.3.14|3.6.3.15|3.6.3.16|3.6.3.17|3.6.3.18|3.6.3.19|3.6.3.2|3.6.3.20|3.6.3.21|3.6.3.22|3.6.3.23|3.6.3.24|3.6.3.25|3.6.3.26|3.6.3.27|3.6.3.28|3.6.3.29|3.6.3.3|3.6.3.30|3.6.3.31|3.6.3.32|3.6.3.33|3.6.3.34|3.6.3.35|3.6.3.36|3.6.3.37|3.6.3.38|3.6.3.39|3.6.3.4|3.6.3.40|3.6.3.41|3.6.3.42|3.6.3.43|3.6.3.44|3.6.3.46|3.6.3.47|3.6.3.48|3.6.3.49|3.6.3.5|3.6.3.50|3.6.3.51|3.6.3.52|3.6.3.53|3.6.3.54|3.6.3.55|3.6.3.6|3.6.3.7|3.6.3.8|3.6.3.9|3.6.4.1|3.6.4.10|3.6.4.11|3.6.4.12|3.6.4.13|3.6.4.2|3.6.4.3|3.6.4.4|3.6.4.5|3.6.4.6|3.6.4.7|3.6.4.8|3.6.4.9|5.6.1.c|5.6.1.d|5.6.1.f|5.6.1.g|7.3.2.a|7.3.2.f|7.5.2.h|7.5.2.j|7.5.2.l|7.6.2.c|7.6.2.f
rxn00154_m0	rxn00154	Glycolysis / gluconeogenesis	R00209	rn01200	Carbon metabolism	1.2.1.-|1.2.1.M10|1.2.4.1|1.8.1.4|2.3.1.12
rxn00515_c0	rxn00515	Other / unassigned	R00722	rn00230	Purine metabolism	2.7.4.6
rxn00260_m0	rxn00260	TCA cycle	R00355	rn00250;rn00710;rn01110;rn01200;rn01210;rn01230	Alanine, aspartate and glutamate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	2.6.1.1
rxn00507_c0	rxn00507	Other / unassigned	R00711	rn00010;rn00620	Glycolysis / Gluconeogenesis;Pyruvate metabolism	1.2.1.3|1.2.1.4|1.2.1.5
rxn00247_c0	rxn00247	Glycolysis / gluconeogenesis	R00341	rn00010;rn00020;rn00620;rn00710;rn01110;rn01200	Glycolysis / Gluconeogenesis;Citrate cycle (TCA cycle;Pyruvate metabolism;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism	4.1.1.49
rxn00505_m0	rxn00505	TCA cycle	R00709	rn00020;rn01110;rn01200;rn01210;rn01230	Citrate cycle (TCA cycle;Biosynthesis of secondary metabolites;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.286|1.1.1.41
rxn00459_c0	rxn00459	Glycolysis / gluconeogenesis	R00658	rn00010;rn00680;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Methane metabolism;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	4.2.1.11
rxn00198_m0	rxn00198	TCA cycle	R00267	rn00480;rn00720;rn01200;rn01210;rn01230	Glutathione metabolism;Carbon fixation pathways in prokaryotes;Carbon metabolism;2-Oxocarboxylic acid metabolism;Biosynthesis of amino acids	1.1.1.42
rxn00187_c0	rxn00187	Amino-acid metabolism	R00253	rn00250;rn00330;rn00630;rn00910;rn01230	Alanine, aspartate and glutamate metabolism;Arginine and proline metabolism;Glyoxylate and dicarboxylate metabolism;Nitrogen metabolism;Biosynthesis of amino acids	6.3.1.2
rxn00006_c0	rxn00006	Other / unassigned	R00009	rn00630;rn01110	Glyoxylate and dicarboxylate metabolism;Biosynthesis of secondary metabolites	1.11.1.21|1.11.1.6
rxn00168_c0	rxn00168	Glycolysis / gluconeogenesis	R00224			4.1.1.1
rxn00781_c0	rxn00781	Glycolysis / gluconeogenesis	R01061	rn00010;rn00710;rn01110;rn01200;rn01230	Glycolysis / Gluconeogenesis;Carbon fixation in photosynthetic organisms;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	1.2.1.12|1.2.1.59
rxn08617_c0	rxn08617	Transport (inter-compartmental)				
rxn01333_c0	rxn01333	Pentose phosphate pathway	R01827;R08575	rn00030;rn01110;rn01200;rn01230	Pentose phosphate pathway;Biosynthesis of secondary metabolites;Carbon metabolism;Biosynthesis of amino acids	2.2.1.2
rxn30674_m0	rxn30674	TCA cycle				
rxn00545_c0	rxn00545	Glycolysis / gluconeogenesis	R00756	rn00680;rn01200	Methane metabolism;Carbon metabolism	2.7.1.11
