method	condition_id	label	stage	O2	feasible	agreement_score	spearman_expr_vs_flux	hi_expr_recall	flux_precision_hi_med	mcc_active_vs_expr	jaccard_active_vs_expr	n_flux_nonzero	n_gpr	spearman_expr_vs_flux_rn	hi_expr_recall_rn	flux_precision_hi_med_rn	mcc_active_vs_expr_rn	composite
eflux	01_trehalose	Trehalose	pre-infection	aerobic	True	0.574	0.1339	0.3525	0.9776	0.1603	0.3617	464	1045	0.5314685314685315	0.22727272727272727	0.3041958041958042	0.24125874125874125	0.326
eflux	01_trehalose	Trehalose	pre-infection	anaerobic	True	0.5702	0.1243	0.35	0.9829	0.1719	0.3583	465	1045	0.32517482517482516	0.16083916083916083	0.7307692307692307	0.513986013986014	0.4327
eflux	02_glycerol	Glycerol	pre-infection	aerobic	True	0.5769	0.1328	0.36	0.9776	0.1603	0.3617	469	1045	0.5034965034965035	0.44405594405594406	0.3041958041958042	0.24125874125874125	0.3733
eflux	02_glycerol	Glycerol	pre-infection	anaerobic	True	0.4982	0.132	0.305	0.9822	0.145	0.2869	360	1045	0.46153846153846156	0.03146853146853147	0.6888111888111889	0.06993006993006994	0.3129
eflux	03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	True	0.5855	0.1077	0.3575	0.9758	0.1607	0.3758	482	1045	0.07692307692307693	0.3741258741258741	0.1853146853146853	0.25874125874125875	0.2238
eflux	04_oleate	Oleate (C18:1)	pre-infection	aerobic	True	0.5786	0.1125	0.35	0.9781	0.1643	0.3699	482	1045	0.1048951048951049	0.16083916083916083	0.3706293706293706	0.32167832167832167	0.2395
eflux	05_hexacosanoate	Hexacosanoate (C26)	pre-infection	aerobic	True	0.601	0.1171	0.3775	0.9817	0.1801	0.389	497	1045	0.18181818181818182	0.6923076923076923	0.6748251748251748	0.5874125874125874	0.5341
eflux	06_glucose_low	Glucose (LOW, -1)	biotrophic	aerobic	True	0.5766	0.1381	0.3575	0.9804	0.1676	0.3631	463	1045	0.5944055944055944	0.3741258741258741	0.5804195804195804	0.3951048951048951	0.486
eflux	06_glucose_low	Glucose (LOW, -1)	biotrophic	anaerobic	True	0.5631	0.12	0.3425	0.9798	0.1621	0.3517	459	1045	0.21678321678321677	0.1048951048951049	0.5104895104895105	0.3006993006993007	0.2832
eflux	07_sucrose_low	Sucrose (LOW, -0.5)	biotrophic	aerobic	True	0.5806	0.1504	0.3625	0.9806	0.1691	0.3662	467	1045	0.6993006993006993	0.5244755244755245	0.6188811188811189	0.4755244755244755	0.5795
