kegg_pathway_name	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
2-Oxocarboxylic acid metabolism	eflux	01_trehalose	aerobic	pre-infection	1	1	0.0208	1.0
2-Oxocarboxylic acid metabolism	eflux	01_trehalose	anaerobic	pre-infection	1	1	0.0042	1.0
2-Oxocarboxylic acid metabolism	eflux	02_glycerol	aerobic	pre-infection	1	1	0.0059	1.0
2-Oxocarboxylic acid metabolism	eflux	02_glycerol	anaerobic	pre-infection	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	eflux	03_palmitate	aerobic	pre-infection	1	1	0.0326	1.0
2-Oxocarboxylic acid metabolism	eflux	04_oleate	aerobic	pre-infection	1	1	0.0366	1.0
2-Oxocarboxylic acid metabolism	eflux	05_hexacosanoate	aerobic	pre-infection	1	1	0.059	1.0
2-Oxocarboxylic acid metabolism	eflux	06_glucose_low	aerobic	biotrophic	1	1	0.0104	1.0
2-Oxocarboxylic acid metabolism	eflux	06_glucose_low	anaerobic	biotrophic	1	1	0.0021	1.0
2-Oxocarboxylic acid metabolism	eflux	07_sucrose_low	aerobic	biotrophic	1	1	0.0104	1.0
2-Oxocarboxylic acid metabolism	eflux	07_sucrose_low	anaerobic	biotrophic	1	1	0.0021	1.0
2-Oxocarboxylic acid metabolism	eflux	08_glutamate	aerobic	biotrophic	1	1	0.0151	1.0
2-Oxocarboxylic acid metabolism	eflux	08_glutamate	anaerobic	biotrophic	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	eflux	09_glutamine	aerobic	biotrophic	1	1	0.0151	1.0
2-Oxocarboxylic acid metabolism	eflux	09_glutamine	anaerobic	biotrophic	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	eflux	10_gaba	aerobic	biotrophic	1	1	0.0142	1.0
2-Oxocarboxylic acid metabolism	eflux	11_galacturonate	aerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	eflux	11_galacturonate	anaerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	eflux	12_xylose	aerobic	necrotrophic	1	1	0.0417	1.0
2-Oxocarboxylic acid metabolism	eflux	12_xylose	anaerobic	necrotrophic	1	1	0.0043	1.0
2-Oxocarboxylic acid metabolism	eflux	13_arabinose	aerobic	necrotrophic	1	1	0.04	1.0
2-Oxocarboxylic acid metabolism	eflux	14_maltose	aerobic	necrotrophic	1	1	0.1042	1.0
2-Oxocarboxylic acid metabolism	eflux	14_maltose	anaerobic	necrotrophic	1	1	0.0212	1.0
2-Oxocarboxylic acid metabolism	eflux	15_mixed_aa	aerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	eflux	15_mixed_aa	anaerobic	necrotrophic	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	eflux	16_pre_infection_mix	aerobic	cocktail	1	1	0.0198	1.0
2-Oxocarboxylic acid metabolism	eflux	16_pre_infection_mix	anaerobic	cocktail	1	1	0.0014	1.0
2-Oxocarboxylic acid metabolism	eflux	17_biotrophic_mix	aerobic	cocktail	1	1	0.0179	1.0
2-Oxocarboxylic acid metabolism	eflux	17_biotrophic_mix	anaerobic	cocktail	1	1	0.0027	1.0
2-Oxocarboxylic acid metabolism	eflux	18_necrotrophic_mix	aerobic	cocktail	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	eflux	18_necrotrophic_mix	anaerobic	cocktail	1	0	0.0	0.0
2-Oxocarboxylic acid metabolism	gimme	01_trehalose	aerobic	pre-infection	1	1	0.0188	1.0
2-Oxocarboxylic acid metabolism	gimme	01_trehalose	anaerobic	pre-infection	1	1	0.0038	1.0
2-Oxocarboxylic acid metabolism	gimme	02_glycerol	aerobic	pre-infection	1	1	0.0053	1.0
2-Oxocarboxylic acid metabolism	gimme	02_glycerol	anaerobic	pre-infection	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	gimme	03_palmitate	aerobic	pre-infection	1	1	0.0294	1.0
2-Oxocarboxylic acid metabolism	gimme	04_oleate	aerobic	pre-infection	1	1	0.033	1.0
2-Oxocarboxylic acid metabolism	gimme	05_hexacosanoate	aerobic	pre-infection	1	1	0.0531	1.0
2-Oxocarboxylic acid metabolism	gimme	06_glucose_low	aerobic	biotrophic	1	1	0.0094	1.0
2-Oxocarboxylic acid metabolism	gimme	06_glucose_low	anaerobic	biotrophic	1	1	0.0019	1.0
2-Oxocarboxylic acid metabolism	gimme	07_sucrose_low	aerobic	biotrophic	1	1	0.0094	1.0
2-Oxocarboxylic acid metabolism	gimme	07_sucrose_low	anaerobic	biotrophic	1	1	0.0019	1.0
2-Oxocarboxylic acid metabolism	gimme	08_glutamate	aerobic	biotrophic	1	1	0.0136	1.0
2-Oxocarboxylic acid metabolism	gimme	08_glutamate	anaerobic	biotrophic	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	gimme	09_glutamine	aerobic	biotrophic	1	1	0.0136	1.0
2-Oxocarboxylic acid metabolism	gimme	09_glutamine	anaerobic	biotrophic	1	1	0.0001	1.0
2-Oxocarboxylic acid metabolism	gimme	10_gaba	aerobic	biotrophic	1	1	0.0128	1.0
2-Oxocarboxylic acid metabolism	gimme	11_galacturonate	aerobic	necrotrophic	1	1	0.0384	1.0
2-Oxocarboxylic acid metabolism	gimme	11_galacturonate	anaerobic	necrotrophic	1	1	0.0053	1.0
2-Oxocarboxylic acid metabolism	gimme	12_xylose	aerobic	necrotrophic	1	1	0.0375	1.0
2-Oxocarboxylic acid metabolism	gimme	12_xylose	anaerobic	necrotrophic	1	1	0.0038	1.0
2-Oxocarboxylic acid metabolism	gimme	13_arabinose	aerobic	necrotrophic	1	1	0.036	1.0
2-Oxocarboxylic acid metabolism	gimme	14_maltose	aerobic	necrotrophic	1	1	0.0938	1.0
