pathway	method	condition_id	O2	stage	n_rxn	n_active	total_flux	active_rate
Amino-acid metabolism	eflux	01_trehalose	aerobic	pre-infection	162	51	1.3338	0.3148
Amino-acid metabolism	eflux	01_trehalose	anaerobic	pre-infection	162	50	1.6065	0.3086
Amino-acid metabolism	eflux	02_glycerol	aerobic	pre-infection	162	53	0.4609	0.3272
Amino-acid metabolism	eflux	02_glycerol	anaerobic	pre-infection	162	48	1.2756	0.2963
Amino-acid metabolism	eflux	03_palmitate	aerobic	pre-infection	162	51	2.5406	0.3148
Amino-acid metabolism	eflux	04_oleate	aerobic	pre-infection	162	48	3.1042	0.2963
Amino-acid metabolism	eflux	05_hexacosanoate	aerobic	pre-infection	162	49	5.0178	0.3025
Amino-acid metabolism	eflux	06_glucose_low	aerobic	biotrophic	162	51	0.6668	0.3148
Amino-acid metabolism	eflux	06_glucose_low	anaerobic	biotrophic	162	49	0.8023	0.3025
Amino-acid metabolism	eflux	07_sucrose_low	aerobic	biotrophic	162	51	0.6668	0.3148
Amino-acid metabolism	eflux	07_sucrose_low	anaerobic	biotrophic	162	50	0.803	0.3086
Amino-acid metabolism	eflux	08_glutamate	aerobic	biotrophic	162	51	7.8389	0.3148
Amino-acid metabolism	eflux	08_glutamate	anaerobic	biotrophic	162	47	7.4447	0.2901
Amino-acid metabolism	eflux	09_glutamine	aerobic	biotrophic	162	51	8.6046	0.3148
Amino-acid metabolism	eflux	09_glutamine	anaerobic	biotrophic	162	49	11.0248	0.3025
Amino-acid metabolism	eflux	10_gaba	aerobic	biotrophic	162	52	7.0778	0.321
Amino-acid metabolism	eflux	11_galacturonate	aerobic	necrotrophic	162	0	0.0	0.0
Amino-acid metabolism	eflux	11_galacturonate	anaerobic	necrotrophic	162	0	0.0	0.0
Amino-acid metabolism	eflux	12_xylose	aerobic	necrotrophic	162	51	2.6673	0.3148
Amino-acid metabolism	eflux	12_xylose	anaerobic	necrotrophic	162	49	0.7095	0.3025
Amino-acid metabolism	eflux	13_arabinose	aerobic	necrotrophic	162	51	3.4264	0.3148
Amino-acid metabolism	eflux	14_maltose	aerobic	necrotrophic	162	51	6.6682	0.3148
Amino-acid metabolism	eflux	14_maltose	anaerobic	necrotrophic	162	49	8.0228	0.3025
Amino-acid metabolism	eflux	15_mixed_aa	aerobic	necrotrophic	162	64	23.9002	0.3951
Amino-acid metabolism	eflux	15_mixed_aa	anaerobic	necrotrophic	162	54	13.3142	0.3333
Amino-acid metabolism	eflux	16_pre_infection_mix	aerobic	cocktail	162	51	1.702	0.3148
Amino-acid metabolism	eflux	16_pre_infection_mix	anaerobic	cocktail	162	49	0.9685	0.3025
Amino-acid metabolism	eflux	17_biotrophic_mix	aerobic	cocktail	162	56	3.5276	0.3457
Amino-acid metabolism	eflux	17_biotrophic_mix	anaerobic	cocktail	162	51	5.4322	0.3148
Amino-acid metabolism	eflux	18_necrotrophic_mix	aerobic	cocktail	162	63	9.2365	0.3889
Amino-acid metabolism	eflux	18_necrotrophic_mix	anaerobic	cocktail	162	57	6.5919	0.3519
Amino-acid metabolism	gimme	01_trehalose	aerobic	pre-infection	162	48	1.1945	0.2963
Amino-acid metabolism	gimme	01_trehalose	anaerobic	pre-infection	162	50	1.2685	0.3086
Amino-acid metabolism	gimme	02_glycerol	aerobic	pre-infection	162	52	0.4104	0.321
Amino-acid metabolism	gimme	02_glycerol	anaerobic	pre-infection	162	47	1.2466	0.2901
Amino-acid metabolism	gimme	03_palmitate	aerobic	pre-infection	162	51	2.9511	0.3148
Amino-acid metabolism	gimme	04_oleate	aerobic	pre-infection	162	49	3.2547	0.3025
Amino-acid metabolism	gimme	05_hexacosanoate	aerobic	pre-infection	162	50	7.1833	0.3086
Amino-acid metabolism	gimme	06_glucose_low	aerobic	biotrophic	162	51	0.6001	0.3148
Amino-acid metabolism	gimme	06_glucose_low	anaerobic	biotrophic	162	50	0.6303	0.3086
Amino-acid metabolism	gimme	07_sucrose_low	aerobic	biotrophic	162	49	0.6111	0.3025
Amino-acid metabolism	gimme	07_sucrose_low	anaerobic	biotrophic	162	49	0.7152	0.3025
Amino-acid metabolism	gimme	08_glutamate	aerobic	biotrophic	162	51	6.5294	0.3148
Amino-acid metabolism	gimme	08_glutamate	anaerobic	biotrophic	162	49	7.4472	0.3025
Amino-acid metabolism	gimme	09_glutamine	aerobic	biotrophic	162	52	8.7494	0.321
Amino-acid metabolism	gimme	09_glutamine	anaerobic	biotrophic	162	49	11.0262	0.3025
Amino-acid metabolism	gimme	10_gaba	aerobic	biotrophic	162	51	6.6841	0.3148
Amino-acid metabolism	gimme	11_galacturonate	aerobic	necrotrophic	162	50	2.4595	0.3086
Amino-acid metabolism	gimme	11_galacturonate	anaerobic	necrotrophic	162	51	0.9261	0.3148
Amino-acid metabolism	gimme	12_xylose	aerobic	necrotrophic	162	49	2.4023	0.3025
Amino-acid metabolism	gimme	12_xylose	anaerobic	necrotrophic	162	50	0.8153	0.3086
Amino-acid metabolism	gimme	13_arabinose	aerobic	necrotrophic	162	51	3.0852	0.3148
Amino-acid metabolism	gimme	14_maltose	aerobic	necrotrophic	162	51	6.1067	0.3148
Amino-acid metabolism	gimme	14_maltose	anaerobic	necrotrophic	162	50	6.3034	0.3086
Amino-acid metabolism	gimme	15_mixed_aa	aerobic	necrotrophic	162	64	19.9433	0.3951
Amino-acid metabolism	gimme	15_mixed_aa	anaerobic	necrotrophic	162	54	11.3676	0.3333
Amino-acid metabolism	gimme	16_pre_infection_mix	aerobic	cocktail	162	52	1.6115	0.321
Amino-acid metabolism	gimme	16_pre_infection_mix	anaerobic	cocktail	162	48	1.0527	0.2963
Amino-acid metabolism	gimme	17_biotrophic_mix	aerobic	cocktail	162	55	3.532	0.3395
Amino-acid metabolism	gimme	17_biotrophic_mix	anaerobic	cocktail	162	54	6.4139	0.3333
Amino-acid metabolism	gimme	18_necrotrophic_mix	aerobic	cocktail	162	61	8.7754	0.3765
Amino-acid metabolism	gimme	18_necrotrophic_mix	anaerobic	cocktail	162	58	9.4423	0.358
Amino-acid metabolism	imat	01_trehalose	aerobic	pre-infection	162	75	79.7111	0.463
Amino-acid metabolism	imat	01_trehalose	anaerobic	pre-infection	162	75	4001.7972	0.463
Amino-acid metabolism	imat	02_glycerol	aerobic	pre-infection	162	77	2001.0038	0.4753
Amino-acid metabolism	imat	02_glycerol	anaerobic	pre-infection	162	58	2001.2903	0.358
Amino-acid metabolism	imat	03_palmitate	aerobic	pre-infection	162	72	7.288	0.4444
Amino-acid metabolism	imat	04_oleate	aerobic	pre-infection	162	76	2025.3582	0.4691
Amino-acid metabolism	imat	05_hexacosanoate	aerobic	pre-infection	162	72	782.8921	0.4444
Amino-acid metabolism	imat	06_glucose_low	aerobic	biotrophic	162	72	2001.6845	0.4444
Amino-acid metabolism	imat	06_glucose_low	anaerobic	biotrophic	162	77	2000.5492	0.4753
Amino-acid metabolism	imat	07_sucrose_low	aerobic	biotrophic	162	72	0.8789	0.4444
Amino-acid metabolism	imat	07_sucrose_low	anaerobic	biotrophic	162	74	0.7814	0.4568
Amino-acid metabolism	imat	08_glutamate	aerobic	biotrophic	162	75	4.3891	0.463
Amino-acid metabolism	imat	08_glutamate	anaerobic	biotrophic	162	60	8.4097	0.3704
Amino-acid metabolism	imat	09_glutamine	aerobic	biotrophic	162	72	57.5262	0.4444
Amino-acid metabolism	imat	09_glutamine	anaerobic	biotrophic	162	59	11.0435	0.3642
Amino-acid metabolism	imat	10_gaba	aerobic	biotrophic	162	73	7.3466	0.4506
Amino-acid metabolism	imat	11_galacturonate	aerobic	necrotrophic	162	71	3.1685	0.4383
Amino-acid metabolism	imat	11_galacturonate	anaerobic	necrotrophic	162	75	4006.3302	0.463
Amino-acid metabolism	imat	12_xylose	aerobic	necrotrophic	162	72	19.7893	0.4444
Amino-acid metabolism	imat	12_xylose	anaerobic	necrotrophic	162	74	2001.2526	0.4568
Amino-acid metabolism	imat	13_arabinose	aerobic	necrotrophic	162	71	3.8877	0.4383
Amino-acid metabolism	imat	14_maltose	aerobic	necrotrophic	162	74	6.608	0.4568
Amino-acid metabolism	imat	14_maltose	anaerobic	necrotrophic	162	73	0.9275	0.4506
Amino-acid metabolism	imat	15_mixed_aa	aerobic	necrotrophic	162	87	2019.4323	0.537
Amino-acid metabolism	imat	15_mixed_aa	anaerobic	necrotrophic	162	79	2002.9457	0.4877
Amino-acid metabolism	imat	16_pre_infection_mix	aerobic	cocktail	162	70	1.4203	0.4321
Amino-acid metabolism	imat	16_pre_infection_mix	anaerobic	cocktail	162	74	1.2322	0.4568
Amino-acid metabolism	imat	17_biotrophic_mix	aerobic	cocktail	162	77	2.0645	0.4753
Amino-acid metabolism	imat	17_biotrophic_mix	anaerobic	cocktail	162	77	2003.8242	0.4753
Amino-acid metabolism	imat	18_necrotrophic_mix	aerobic	cocktail	162	79	15.8336	0.4877
Amino-acid metabolism	imat	18_necrotrophic_mix	anaerobic	cocktail	162	78	2008.7657	0.4815
Amino-acid metabolism	pfba	01_trehalose	aerobic	pre-infection	162	51	1.3338	0.3148
Amino-acid metabolism	pfba	01_trehalose	anaerobic	pre-infection	162	49	1.605	0.3025
Amino-acid metabolism	pfba	02_glycerol	aerobic	pre-infection	162	53	0.4609	0.3272
Amino-acid metabolism	pfba	02_glycerol	anaerobic	pre-infection	162	48	1.2756	0.2963
Amino-acid metabolism	pfba	03_palmitate	aerobic	pre-infection	162	51	2.5406	0.3148
Amino-acid metabolism	pfba	04_oleate	aerobic	pre-infection	162	48	3.1042	0.2963
Amino-acid metabolism	pfba	05_hexacosanoate	aerobic	pre-infection	162	49	5.0178	0.3025
Amino-acid metabolism	pfba	06_glucose_low	aerobic	biotrophic	162	51	0.6668	0.3148
Amino-acid metabolism	pfba	06_glucose_low	anaerobic	biotrophic	162	50	0.803	0.3086
Amino-acid metabolism	pfba	07_sucrose_low	aerobic	biotrophic	162	51	0.6668	0.3148
Amino-acid metabolism	pfba	07_sucrose_low	anaerobic	biotrophic	162	50	0.803	0.3086
Amino-acid metabolism	pfba	08_glutamate	aerobic	biotrophic	162	51	7.8389	0.3148
Amino-acid metabolism	pfba	08_glutamate	anaerobic	biotrophic	162	0	0.0	0.0
Amino-acid metabolism	pfba	09_glutamine	aerobic	biotrophic	162	52	9.7479	0.321
Amino-acid metabolism	pfba	09_glutamine	anaerobic	biotrophic	162	0	0.0	0.0
Amino-acid metabolism	pfba	10_gaba	aerobic	biotrophic	162	52	7.0778	0.321
Amino-acid metabolism	pfba	11_galacturonate	aerobic	necrotrophic	162	50	3.6632	0.3086
Amino-acid metabolism	pfba	11_galacturonate	anaerobic	necrotrophic	162	50	0.9751	0.3086
Amino-acid metabolism	pfba	12_xylose	aerobic	necrotrophic	162	51	2.6673	0.3148
Amino-acid metabolism	pfba	12_xylose	anaerobic	necrotrophic	162	50	0.711	0.3086
Amino-acid metabolism	pfba	13_arabinose	aerobic	necrotrophic	162	51	3.4264	0.3148
Amino-acid metabolism	pfba	14_maltose	aerobic	necrotrophic	162	51	6.6682	0.3148
Amino-acid metabolism	pfba	14_maltose	anaerobic	necrotrophic	162	50	8.0305	0.3086
Amino-acid metabolism	pfba	15_mixed_aa	aerobic	necrotrophic	162	65	23.9003	0.4012
Amino-acid metabolism	pfba	15_mixed_aa	anaerobic	necrotrophic	162	54	13.3142	0.3333
Amino-acid metabolism	pfba	16_pre_infection_mix	aerobic	cocktail	162	51	1.702	0.3148
Amino-acid metabolism	pfba	16_pre_infection_mix	anaerobic	cocktail	162	50	0.969	0.3086
Amino-acid metabolism	pfba	17_biotrophic_mix	aerobic	cocktail	162	56	3.5276	0.3457
Amino-acid metabolism	pfba	17_biotrophic_mix	anaerobic	cocktail	162	51	5.4322	0.3148
Amino-acid metabolism	pfba	18_necrotrophic_mix	aerobic	cocktail	162	63	9.4304	0.3889
Amino-acid metabolism	pfba	18_necrotrophic_mix	anaerobic	cocktail	162	54	5.7743	0.3333
Biomass	eflux	01_trehalose	aerobic	pre-infection	6	1	0.0728	0.1667
Biomass	eflux	01_trehalose	anaerobic	pre-infection	6	1	0.0148	0.1667
Biomass	eflux	02_glycerol	aerobic	pre-infection	6	1	0.0207	0.1667
Biomass	eflux	02_glycerol	anaerobic	pre-infection	6	1	0.0004	0.1667
Biomass	eflux	03_palmitate	aerobic	pre-infection	6	1	0.114	0.1667
Biomass	eflux	04_oleate	aerobic	pre-infection	6	1	0.128	0.1667
Biomass	eflux	05_hexacosanoate	aerobic	pre-infection	6	1	0.2061	0.1667
Biomass	eflux	06_glucose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	eflux	06_glucose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	eflux	07_sucrose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	eflux	07_sucrose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	eflux	08_glutamate	aerobic	biotrophic	6	1	0.0527	0.1667
Biomass	eflux	08_glutamate	anaerobic	biotrophic	6	1	0.0003	0.1667
Biomass	eflux	09_glutamine	aerobic	biotrophic	6	1	0.0528	0.1667
Biomass	eflux	09_glutamine	anaerobic	biotrophic	6	1	0.0003	0.1667
Biomass	eflux	10_gaba	aerobic	biotrophic	6	1	0.0496	0.1667
Biomass	eflux	11_galacturonate	aerobic	necrotrophic	6	0	0.0	0.0
Biomass	eflux	11_galacturonate	anaerobic	necrotrophic	6	0	0.0	0.0
Biomass	eflux	12_xylose	aerobic	necrotrophic	6	1	0.1457	0.1667
Biomass	eflux	12_xylose	anaerobic	necrotrophic	6	1	0.0149	0.1667
Biomass	eflux	13_arabinose	aerobic	necrotrophic	6	1	0.1396	0.1667
Biomass	eflux	14_maltose	aerobic	necrotrophic	6	1	0.3642	0.1667
Biomass	eflux	14_maltose	anaerobic	necrotrophic	6	1	0.0741	0.1667
Biomass	eflux	15_mixed_aa	aerobic	necrotrophic	6	1	0.1424	0.1667
Biomass	eflux	15_mixed_aa	anaerobic	necrotrophic	6	1	0.0115	0.1667
Biomass	eflux	16_pre_infection_mix	aerobic	cocktail	6	1	0.0693	0.1667
Biomass	eflux	16_pre_infection_mix	anaerobic	cocktail	6	1	0.005	0.1667
Biomass	eflux	17_biotrophic_mix	aerobic	cocktail	6	1	0.0627	0.1667
Biomass	eflux	17_biotrophic_mix	anaerobic	cocktail	6	1	0.0094	0.1667
Biomass	eflux	18_necrotrophic_mix	aerobic	cocktail	6	1	0.4127	0.1667
Biomass	eflux	18_necrotrophic_mix	anaerobic	cocktail	6	1	0.08	0.1667
Biomass	gimme	01_trehalose	aerobic	pre-infection	6	1	0.0656	0.1667
Biomass	gimme	01_trehalose	anaerobic	pre-infection	6	1	0.0133	0.1667
Biomass	gimme	02_glycerol	aerobic	pre-infection	6	1	0.0187	0.1667
Biomass	gimme	02_glycerol	anaerobic	pre-infection	6	1	0.0004	0.1667
Biomass	gimme	03_palmitate	aerobic	pre-infection	6	1	0.1026	0.1667
Biomass	gimme	04_oleate	aerobic	pre-infection	6	1	0.1152	0.1667
Biomass	gimme	05_hexacosanoate	aerobic	pre-infection	6	1	0.1855	0.1667
Biomass	gimme	06_glucose_low	aerobic	biotrophic	6	1	0.0328	0.1667
Biomass	gimme	06_glucose_low	anaerobic	biotrophic	6	1	0.0067	0.1667
Biomass	gimme	07_sucrose_low	aerobic	biotrophic	6	1	0.0328	0.1667
Biomass	gimme	07_sucrose_low	anaerobic	biotrophic	6	1	0.0067	0.1667
Biomass	gimme	08_glutamate	aerobic	biotrophic	6	1	0.0475	0.1667
Biomass	gimme	08_glutamate	anaerobic	biotrophic	6	1	0.0002	0.1667
Biomass	gimme	09_glutamine	aerobic	biotrophic	6	1	0.0475	0.1667
Biomass	gimme	09_glutamine	anaerobic	biotrophic	6	1	0.0002	0.1667
Biomass	gimme	10_gaba	aerobic	biotrophic	6	1	0.0446	0.1667
Biomass	gimme	11_galacturonate	aerobic	necrotrophic	6	1	0.1343	0.1667
Biomass	gimme	11_galacturonate	anaerobic	necrotrophic	6	1	0.0184	0.1667
Biomass	gimme	12_xylose	aerobic	necrotrophic	6	1	0.1311	0.1667
Biomass	gimme	12_xylose	anaerobic	necrotrophic	6	1	0.0134	0.1667
Biomass	gimme	13_arabinose	aerobic	necrotrophic	6	1	0.1256	0.1667
Biomass	gimme	14_maltose	aerobic	necrotrophic	6	1	0.3278	0.1667
Biomass	gimme	14_maltose	anaerobic	necrotrophic	6	1	0.0667	0.1667
Biomass	gimme	15_mixed_aa	aerobic	necrotrophic	6	1	0.1282	0.1667
Biomass	gimme	15_mixed_aa	anaerobic	necrotrophic	6	1	0.0103	0.1667
Biomass	gimme	16_pre_infection_mix	aerobic	cocktail	6	1	0.0624	0.1667
Biomass	gimme	16_pre_infection_mix	anaerobic	cocktail	6	1	0.0045	0.1667
Biomass	gimme	17_biotrophic_mix	aerobic	cocktail	6	1	0.0564	0.1667
Biomass	gimme	17_biotrophic_mix	anaerobic	cocktail	6	1	0.0084	0.1667
Biomass	gimme	18_necrotrophic_mix	aerobic	cocktail	6	1	0.401	0.1667
Biomass	gimme	18_necrotrophic_mix	anaerobic	cocktail	6	1	0.0795	0.1667
Biomass	imat	01_trehalose	aerobic	pre-infection	6	1	0.02	0.1667
Biomass	imat	01_trehalose	anaerobic	pre-infection	6	1	0.0099	0.1667
Biomass	imat	02_glycerol	aerobic	pre-infection	6	1	0.0026	0.1667
Biomass	imat	02_glycerol	anaerobic	pre-infection	6	1	0.0	0.1667
Biomass	imat	03_palmitate	aerobic	pre-infection	6	1	0.0833	0.1667
Biomass	imat	04_oleate	aerobic	pre-infection	6	1	0.02	0.1667
Biomass	imat	05_hexacosanoate	aerobic	pre-infection	6	1	0.0206	0.1667
Biomass	imat	06_glucose_low	aerobic	biotrophic	6	1	0.0333	0.1667
Biomass	imat	06_glucose_low	anaerobic	biotrophic	6	1	0.0026	0.1667
Biomass	imat	07_sucrose_low	aerobic	biotrophic	6	1	0.02	0.1667
Biomass	imat	07_sucrose_low	anaerobic	biotrophic	6	1	0.0026	0.1667
Biomass	imat	08_glutamate	aerobic	biotrophic	6	1	0.0053	0.1667
Biomass	imat	08_glutamate	anaerobic	biotrophic	6	1	0.0	0.1667
Biomass	imat	09_glutamine	aerobic	biotrophic	6	1	0.02	0.1667
Biomass	imat	09_glutamine	anaerobic	biotrophic	6	1	0.0	0.1667
Biomass	imat	10_gaba	aerobic	biotrophic	6	1	0.005	0.1667
Biomass	imat	11_galacturonate	aerobic	necrotrophic	6	1	0.125	0.1667
Biomass	imat	11_galacturonate	anaerobic	necrotrophic	6	1	0.0026	0.1667
Biomass	imat	12_xylose	aerobic	necrotrophic	6	1	0.02	0.1667
Biomass	imat	12_xylose	anaerobic	necrotrophic	6	1	0.0026	0.1667
Biomass	imat	13_arabinose	aerobic	necrotrophic	6	1	0.1224	0.1667
Biomass	imat	14_maltose	aerobic	necrotrophic	6	1	0.2632	0.1667
Biomass	imat	14_maltose	anaerobic	necrotrophic	6	1	0.0074	0.1667
Biomass	imat	15_mixed_aa	aerobic	necrotrophic	6	1	0.122	0.1667
Biomass	imat	15_mixed_aa	anaerobic	necrotrophic	6	1	0.0026	0.1667
Biomass	imat	16_pre_infection_mix	aerobic	cocktail	6	1	0.0617	0.1667
Biomass	imat	16_pre_infection_mix	anaerobic	cocktail	6	1	0.0012	0.1667
Biomass	imat	17_biotrophic_mix	aerobic	cocktail	6	1	0.0063	0.1667
Biomass	imat	17_biotrophic_mix	anaerobic	cocktail	6	1	0.0026	0.1667
Biomass	imat	18_necrotrophic_mix	aerobic	cocktail	6	1	0.1667	0.1667
Biomass	imat	18_necrotrophic_mix	anaerobic	cocktail	6	1	0.02	0.1667
Biomass	pfba	01_trehalose	aerobic	pre-infection	6	1	0.0728	0.1667
Biomass	pfba	01_trehalose	anaerobic	pre-infection	6	1	0.0148	0.1667
Biomass	pfba	02_glycerol	aerobic	pre-infection	6	1	0.0207	0.1667
Biomass	pfba	02_glycerol	anaerobic	pre-infection	6	1	0.0004	0.1667
Biomass	pfba	03_palmitate	aerobic	pre-infection	6	1	0.114	0.1667
Biomass	pfba	04_oleate	aerobic	pre-infection	6	1	0.128	0.1667
Biomass	pfba	05_hexacosanoate	aerobic	pre-infection	6	1	0.2061	0.1667
Biomass	pfba	06_glucose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	pfba	06_glucose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	pfba	07_sucrose_low	aerobic	biotrophic	6	1	0.0364	0.1667
Biomass	pfba	07_sucrose_low	anaerobic	biotrophic	6	1	0.0074	0.1667
Biomass	pfba	08_glutamate	aerobic	biotrophic	6	1	0.0527	0.1667
Biomass	pfba	08_glutamate	anaerobic	biotrophic	6	0	0.0	0.0
Biomass	pfba	09_glutamine	aerobic	biotrophic	6	1	0.0528	0.1667
Biomass	pfba	09_glutamine	anaerobic	biotrophic	6	0	0.0	0.0
Biomass	pfba	10_gaba	aerobic	biotrophic	6	1	0.0496	0.1667
Biomass	pfba	11_galacturonate	aerobic	necrotrophic	6	1	0.1493	0.1667
Biomass	pfba	11_galacturonate	anaerobic	necrotrophic	6	1	0.0204	0.1667
Biomass	pfba	12_xylose	aerobic	necrotrophic	6	1	0.1457	0.1667
Biomass	pfba	12_xylose	anaerobic	necrotrophic	6	1	0.0149	0.1667
Biomass	pfba	13_arabinose	aerobic	necrotrophic	6	1	0.1396	0.1667
Biomass	pfba	14_maltose	aerobic	necrotrophic	6	1	0.3642	0.1667
Biomass	pfba	14_maltose	anaerobic	necrotrophic	6	1	0.0741	0.1667
Biomass	pfba	15_mixed_aa	aerobic	necrotrophic	6	1	0.1424	0.1667
Biomass	pfba	15_mixed_aa	anaerobic	necrotrophic	6	1	0.0115	0.1667
Biomass	pfba	16_pre_infection_mix	aerobic	cocktail	6	1	0.0693	0.1667
Biomass	pfba	16_pre_infection_mix	anaerobic	cocktail	6	1	0.005	0.1667
Biomass	pfba	17_biotrophic_mix	aerobic	cocktail	6	1	0.0627	0.1667
Biomass	pfba	17_biotrophic_mix	anaerobic	cocktail	6	1	0.0094	0.1667
Biomass	pfba	18_necrotrophic_mix	aerobic	cocktail	6	1	0.4455	0.1667
Biomass	pfba	18_necrotrophic_mix	anaerobic	cocktail	6	1	0.0884	0.1667
Cell-wall polysaccharide	eflux	01_trehalose	aerobic	pre-infection	18	8	0.1667	0.4444
Cell-wall polysaccharide	eflux	01_trehalose	anaerobic	pre-infection	18	9	0.0678	0.5
Cell-wall polysaccharide	eflux	02_glycerol	aerobic	pre-infection	18	8	0.0475	0.4444
Cell-wall polysaccharide	eflux	02_glycerol	anaerobic	pre-infection	18	9	0.002	0.5
Cell-wall polysaccharide	eflux	03_palmitate	aerobic	pre-infection	18	8	0.2608	0.4444
Cell-wall polysaccharide	eflux	04_oleate	aerobic	pre-infection	18	8	0.293	0.4444
Cell-wall polysaccharide	eflux	05_hexacosanoate	aerobic	pre-infection	18	8	0.4716	0.4444
Cell-wall polysaccharide	eflux	06_glucose_low	aerobic	biotrophic	18	8	0.0833	0.4444
