pathway	pre-infection	biotrophic	necrotrophic	range
Pentose-sugar catabolism	0.0	0.0	0.2	0.2
Pectin / D-galacturonate (Ashwell)	0.0	0.0	0.1667	0.1667
β-oxidation (peroxisomal)	0.1148	0.0	0.0	0.1148
Exchange	0.0529	0.114	0.087	0.0611
Cell-wall polysaccharide	0.4444	0.4861	0.4333	0.0528
Amino-acid metabolism	0.3111	0.3603	0.3308	0.0492
Glycolysis / gluconeogenesis	0.4276	0.4763	0.4448	0.0487
Pentose phosphate pathway	0.64	0.6062	0.65	0.0438
Storage (glycogen / trehalose)	0.3143	0.2857	0.2857	0.0286
TCA cycle	0.4294	0.4375	0.4118	0.0257
Fatty-acid biosynthesis	0.0158	0.0	0.0	0.0158
Other / unassigned	0.3681	0.3535	0.3556	0.0145
Transport (inter-compartmental)	0.2352	0.2276	0.2227	0.0125
Oxidative phosphorylation / ETC	0.325	0.3281	0.3167	0.0115
Cofactor / vitamin biosynthesis	0.3367	0.329	0.3265	0.0103
Nucleotide metabolism	0.381	0.375	0.3715	0.0095
Lipid / membrane	0.32	0.3143	0.32	0.0057
Compatible solute / mannitol	1.0	1.0	1.0	0.0
Biomass	0.1667	0.1667	0.1667	0.0
GAM / maintenance	0.0	0.0	0.0	0.0
Melanin / DHN	1.0	1.0	1.0	0.0
Sink / demand	1.0	1.0	1.0	0.0
Sulfur / nitrogen assimilation	0.3333	0.3333	0.3333	0.0
