rxn_id	name	subsystem	equation	n_conditions_active	conditions	max_abs_flux	sum_abs_flux	top_candidates	top_candidate_expr
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	76.327149	444.630333		
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	50.869849	329.885536		
rxn05467_c0	CO2 transporter via diffusion_c0		CO2 <=> CO2	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	26.991445	196.328498		
EX_cpd00011_e0	Exchange for CO2		CO2 --> 	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	26.991445	196.328498		
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	26.142834	134.636416		
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	24.142834	133.375197		
EX_cpd00013_e0	Exchange for NH3_e0		NH3_e0 <=> 	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	8.175747	33.517528		
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	7.860456	42.298247		
TRP_coa_c0r0	CoA c0↔r0 transport (diffusion)		CoA <=> CoA_r0	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	2.582897	13.542407		
H2Oter_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_g0		H2O <=> H2O_r0	29	01_trehalose_aerobic;01_trehalose_anaerobic;02_glycerol_aerobic;02_glycerol_anaerobic;03_palmitate_aerobic;04_oleate_aerobic;05_hexacosanoate_aerobic;06_glucose_low_aerobic;06_glucose_low_anaerobic;07_sucrose_low_aerobic;07_sucrose_low_anaerobic;08_glutamate_aerobic;09_glutamine_aerobic;10_gaba_aerobic;11_galacturonate_aerobic;11_galacturonate_anaerobic;12_xylose_aerobic;12_xylose_anaerobic;13_arabinose_aerobic;14_maltose_aerobic;14_maltose_anaerobic;15_mixed_aa_aerobic;15_mixed_aa_anaerobic;16_pre_infection_mix_aerobic;16_pre_infection_mix_anaerobic;17_biotrophic_mix_aerobic;17_biotrophic_mix_anaerobic;18_necrotrophic_mix_aerobic;18_necrotrophic_mix_anaerobic	2.060062	10.801256		
