pathway	n_reactions	n_with_gpr	n_scored	mean_expression	median_expression	hi_n	med_n	lo_n	absent_n	hi_frac	odds_ratio	p_fisher_greater	bh_q
GAM / maintenance	1	1	1	10.845	10.845	1	0	0	0	1.0	inf	0.24661	0.6302
Oxidative phosphorylation / ETC	24	7	7	9.058	10.81	5	2	0	17	0.208	0.801	0.74314	1.0
Glycolysis / gluconeogenesis	58	53	53	7.51	7.377	37	14	2	5	0.638	5.829	0.0	0.0
Pentose phosphate pathway	20	20	20	6.916	6.587	12	8	0	0	0.6	4.693	0.00076	0.0039
TCA cycle	34	30	30	6.671	7.136	21	6	3	4	0.618	5.153	0.0	0.0
Fatty-acid biosynthesis	38	37	37	6.429	7.516	20	17	0	1	0.526	3.52	0.00016	0.0012
Cofactor / vitamin biosynthesis	117	106	106	6.383	5.923	44	56	6	11	0.376	1.945	0.00084	0.0039
Nucleotide metabolism	21	19	19	6.268	5.539	5	14	0	2	0.238	0.954	0.62013	1.0
Other / unassigned	576	461	461	6.107	5.817	157	260	44	115	0.273	1.238	0.04142	0.1191
Cell-wall polysaccharide	18	18	18	6.018	6.456	9	5	4	0	0.5	3.102	0.01716	0.0564
Storage (glycogen / trehalose)	7	6	6	5.977	5.628	2	4	0	1	0.286	1.223	0.54694	1.0
Amino-acid metabolism	162	150	150	5.824	5.626	52	94	4	12	0.321	1.511	0.0148	0.0564
Transport (inter-compartmental)	256	56	56	5.312	5.071	15	34	4	203	0.059	0.159	1.0	1.0
β-oxidation (peroxisomal)	54	35	35	4.932	5.773	13	15	6	20	0.241	0.968	0.59402	1.0
Lipid / membrane	35	33	33	4.834	4.623	7	19	7	2	0.2	0.76	0.7982	1.0
Pentose-sugar catabolism	6	4	4	4.163	3.51	0	4	0	2	0.0	0.0	1.0	1.0
Sulfur / nitrogen assimilation	3	3	3	3.606	4.766	0	2	1	0	0.0	0.0	1.0	1.0
Melanin / DHN	7	3	3	3.412	3.412	0	3	0	4	0.0	0.0	1.0	1.0
Pectin / D-galacturonate (Ashwell)	6	3	3	1.021	1.439	0	0	2	4	0.0	0.0	1.0	1.0
Biomass	6	0	0			0	0	0	6	0.0	0.0	1.0	1.0
Compatible solute / mannitol	2	0	0			0	0	0	2	0.0	0.0	1.0	1.0
Exchange	170	0	0			0	0	0	170	0.0	0.0	1.0	1.0
Sink / demand	1	0	0			0	0	0	1	0.0	0.0	1.0	1.0
