metabolite_id	name	compartment	formula	k_reactions	z_reporter	p_one_sided
cpd11421_c0	trdrd	c0	C10H15N4O4R4S2	11	6.272	0.0
cpd11420_c0	trdox	c0	C10H13N4O4R4S2	11	6.272	0.0
cpd00067_m0	H+	m0	H	93	5.727	0.0
cpd00004_m0	NADH	m0	C21H27N7O14P2	25	5.532	0.0
cpd00003_m0	NAD	m0	C21H26N7O14P2	26	5.365	0.0
cpd00102_c0	Glyceraldehyde3-phosphate	c0	C3H6O6P	8	5.025	0.0
cpd00067_e0	H+	e0	H	53	-4.812	0.0
cpd00070_c0	Malonyl-CoA_c0	c0	C24H33N7O19P3S	11	4.787	0.0
cpd00001_m0	H2O	m0	H2O	46	4.292	0.0
cpd00006_m0	NADP	m0	C21H26N7O17P3	27	4.14	0.0
cpd00005_m0	NADPH	m0	C21H27N7O17P3	27	4.14	0.0
cpd00011_m0	CO2	m0	CO2	30	4.134	0.0
cpd00110_m0	Cytochrome c2+	m0	C42H54FeN8O6S2	6	3.998	0.0
cpd00109_m0	Cytochrome c3+	m0	C42H54FeN8O6S2	6	3.998	0.0
cpd00011_c0	CO2	c0	CO2	46	3.967	0.0
cpd11493_m0	ACP_m0	m0	C11H22N2O7PRS	12	3.958	0.0
cpd00071_c0	Acetaldehyde	c0	C2H4O	8	3.928	0.0
cpd16874_c0	2-methylpropanal_c0	c0	C4H8O	3	3.904	0.0
cpd11492_m0	Malonyl-acyl-carrierprotein-_m0	m0	C14H24N2O10PRS	11	3.789	0.0001
cpd00004_c0	NADH	c0	C21H27N7O14P2	40	3.713	0.0001
cpd15241_c0	Hexacosanoyl-CoA_c0	c0	C47H83N7O17P3S	5	-3.673	0.0001
cpd00003_c0	NAD	c0	C21H26N7O14P2	43	3.656	0.0001
cpd00001_e0	H2O	e0	H2O	18	-3.479	0.0003
cpd00486_c0	Indoleacetaldehyde	c0	C10H9NO	3	3.23	0.0006
cpd00236_c0	D-Erythrose4-phosphate	c0	C4H8O7P	4	3.154	0.0008
cpd15269_e0	octadecenoate_e0	e0	C18H33O2	7	-3.137	0.0009
cpd03847_e0	Myristic acid_e0	e0	C14H27O2	7	-3.137	0.0009
cpd01080_e0	ocdca_e0	e0	C18H35O2	7	-3.137	0.0009
cpd15237_e0	hexadecenoate_e0	e0	C16H29O2	7	-3.137	0.0009
cpd00214_e0	Palmitate_e0	e0	C16H31O2	7	-3.137	0.0009
cpd16887_c0	mannose-1D-myo-Inositol 1-phosphate_c0	c0	C12H21O14P	6	-3.132	0.0009
cpd16886_c0	Mannose-(inositol-P)2_c0	c0	C18H31O22P2	6	-3.132	0.0009
cpd00072_c0	D-fructose-6-phosphate	c0	C6H12O9P	10	3.087	0.001
cpd00095_c0	Glycerone-phosphate	c0	C3H6O6P	8	3.045	0.0012
cpd00305_c0	Thiamin_c0	c0	C12H17N4OS	3	-2.829	0.0023
cpd15240_e0	hexacosanoate_e0	e0	C26H51O2	5	-2.788	0.0027
cpd00867_c0	Inositol 1-phosphate	c0	C6H12O9P	8	-2.765	0.0028
cpd00013_c0	NH3	c0	H4N	37	-2.701	0.0035
cpd00902_e0	sn-glycero-3-Phospho-1-inositol_e0	e0	C9H18O11P	3	-2.686	0.0036
cpd15287_c0	phosphatidyl-1D-myo-3-inositol, yeast-specific_c0	c0	C11H16O16P2R2	4	-2.669	0.0038
cpd00033_m0	Glycine_m0	m0	C2H5NO2	5	2.65	0.004
cpd00007_m0	O2	m0	O2	10	2.626	0.0043
cpd11822_c0	1-Phosphatidyl-myo-inositol_c0	c0	C11H16O13PR2	15	-2.602	0.0046
cpd00282_c0	S-Dihydroorotate_c0	c0	C5H5N2O4	4	-2.592	0.0048
cpd00012_m0	PPi	m0	H2O7P2	28	-2.564	0.0052
cpd00007_e0	O2	e0	O2	5	-2.536	0.0056
cpd00020_c0	Pyruvate	c0	C3H3O3	13	2.494	0.0063
cpd15192_c0	1,2-Diacylglycerol, yeast-specific_c0	c0	C5H6O5R2	25	-2.39	0.0084
cpd00247_c0	Orotate_c0	c0	C5H3N2O4	4	-2.39	0.0084
cpd13384_c0	1-Phosphatidyl-1D-myo-inositol 3,5-bisphosphate_c0	c0	C11H16O19P3R2	3	-2.374	0.0088
cpd00025_m0	H2O2_m0	m0	H2O2	3	2.371	0.0089
cpd00978_c0	dUDP_c0	c0	C9H12N2O11P2	3	2.364	0.009
cpd01170_c0	Ergosterol_c0	c0	C28H44O	3	-2.358	0.0092
cpd00290_c0	D-fructose-1,6-bisphosphate	c0	C6H12O12P2	3	2.351	0.0094
cpd15240_c0	hexacosanoate_c0	c0	C26H51O2	6	-2.294	0.0109
cpd15277_m0	Palmitoyl-ACP_m0	m0	C27H51N2O8PRS	4	2.285	0.0112
cpd00238_c0	Sedoheptulose7-phosphate	c0	C7H14O10P	3	2.26	0.0119
cpd00036_c0	Succinate	c0	C4H4O4	9	-2.25	0.0122
cpd00115_c0	dATP_c0	c0	C10H13N5O12P3	3	2.227	0.013
cpd00295_c0	dGDP_c0	c0	C10H13N5O10P2	3	2.227	0.013
cpd00388_c0	Allantoate_c0	c0	C4H7N4O4	3	-2.217	0.0133
cpd00017_c0	S-Adenosyl-L-methionine_c0	c0	C15H23N6O5S	17	-2.159	0.0154
cpd00032_m0	Oxaloacetate	m0	C4H2O5	4	2.135	0.0164
cpd00169_c0	3-Phosphoglycerate	c0	C3H5O7P	3	2.12	0.017
ptd1ino-SC-c_c0	Phosphatidyl 1D myo inositol  yeast specific C4140H7644O1300P100	c0		9	-2.113	0.0173
cpd00533_c0	dCDP_c0	c0	C9H13N3O10P2	3	2.051	0.0201
cpd00006_c0	NADP	c0	C21H25N7O17P3	76	2.036	0.0209
cpd00005_c0	NADPH	c0	C21H26N7O17P3	76	2.036	0.0209
cpd00018_m0	AMP	m0	C10H13N5O7P	17	-2.024	0.0215
cpd15221_c0	Ceramide-1 Sphinganine:n-C26:0)_c0	c0	C44H89NO3	6	-2.018	0.0218
cpd15227_c0	Ceramide-3 Phytosphingosine:n-C26:0OH)_c0	c0	C44H89NO5	6	-2.018	0.0218
cpd15226_c0	Ceramide-3 Phytosphingosine:n-C24:0OH)_c0	c0	C42H85NO5	6	-2.018	0.0218
cpd00177_c0	dADP_c0	c0	C10H13N5O9P2	4	2.013	0.022
cpd11468_m0	Dodecanoyl-ACP_m0	m0	C23H44N2O8PRS	3	1.979	0.0239
cpd27551_m0	Myristoyl-ACPs_m0	m0	C25H48N2O8PRS	3	1.979	0.0239
cpd00507_c0	Glycerophosphocholine_c0	c0	C8H20NO6P	3	-1.969	0.0245
cpd15238_c0	Hexadecenoyl-CoA_c0	c0	C37H61N7O17P3S	15	-1.968	0.0245
cpd00073_c0	Urea_c0	c0	CH4N2O	4	-1.967	0.0246
cpd03309_e0		e0		3	-1.964	0.0248
cpd11493_c0	ACP_c0	c0	C11H22N2O7PRS	10	1.941	0.0261
cpd00079_c0	D-glucose-6-phosphate	c0	C6H12O9P	7	1.928	0.0269
cpd00464_c0	alpha-Tolualdehyde_c0	c0	C8H8O	3	1.91	0.0281
cpd01499_c0	2-Methylbutanal_c0	c0	C5H10O	3	1.91	0.0281
cpd00668_m0	ALCTT_m0	m0	C5H7O4	3	1.903	0.0285
cpd15274_c0	Octadecenoyl-CoA_c0	c0	C39H65N7O17P3S	16	-1.895	0.029
cpd00007_c0	O2	c0	O2	42	1.887	0.0296
cpd00125_m0	5-10-Methylenetetrahydrofolate_m0	m0	C20H21N7O6	5	1.847	0.0324
cpd15224_c0	Ceramide-2 Phytosphingosine:n-C24:0)_c0	c0	C42H85NO4	7	-1.819	0.0345
cpd15225_c0	Ceramide-2 Phytosphingosine:n-C26:0)_c0	c0	C44H89NO4	7	-1.819	0.0345
cpd00123_c0	3-Methyl-2-oxobutanoate_c0	c0	C5H7O3	4	1.803	0.0357
cpd00062_c0	UTP	c0	C9H12N2O15P3	10	1.798	0.0361
cpd15220_c0	Ceramide-1 Sphinganine:n-C24:0)_c0	c0	C42H85NO3	7	-1.774	0.038
cpd00863_c0	beta-D-Glucose 6-phosphate	c0	C6H12O9P	3	1.756	0.0395
cpd00171_c0	D-Ribulose5-phosphate	c0	C5H10O8P	5	1.737	0.0412
cpd00705_c0	L-2-Aminoadipate_c0	c0	C6H10NO4	4	-1.714	0.0433
cpd00198_c0	D-Xylulose5-phosphate	c0	C5H10O8P	4	1.71	0.0436
cpd00347_c0	5-10-Methenyltetrahydrofolate_c0	c0	C20H20N7O6	4	-1.705	0.0441
cpd00206_c0	dCMP_c0	c0	C9H12N3O7P	3	-1.701	0.0445
cpd00013_m0	NH3_m0	m0	H4N	5	1.685	0.046
cpd00050_c0	FMN_c0	c0	C17H18N4O9P	5	-1.683	0.0462
cpd00061_c0	Phosphoenolpyruvate	c0	C3H3O6P	6	1.681	0.0464
cpd00009_c0	Phosphate	c0	HO4P	83	-1.67	0.0474
cpd11829_c0	Phosphatidyl-N-methylethanolamine_c0	c0	C8H13NO8PR2	3	-1.669	0.0475
cpd15288_c0	phosphatidyl-1D-myo-4-inositol, yeast specific_c0	c0	C11H16O16P2R2	4	-1.667	0.0478
cpd00009_e0	Phosphate	e0	HO4P	3	1.607	0.0541
cpd00213_m0	Lipoamide	m0	C8H15NOS2	3	1.595	0.0553
cpd00022_x0	Acetyl-CoA_x0	x0	C23H34N7O17P3S	25	1.576	0.0575
cpd00002_m0	ATP	m0	C10H13N5O13P3	30	-1.57	0.0583
cpd00098_c0	Choline_c0	c0	C5H14NO	4	-1.542	0.0615
cpd00032_x0	Oxaloacetate	x0	C4H2O5	3	1.534	0.0625
cpd00047_c0	Formate_c0	c0	CHO2	12	1.522	0.064
cpd00019_c0	S-Adenosyl-homocysteine_c0	c0	C14H20N6O5S	14	-1.522	0.064
cpd00943_c0	Inositol 1,3,4,5,6-pentakisphosphate_c0	c0	C6H12O21P5	3	-1.51	0.0655
cpd00042_m0	GSH_m0	m0	C10H16N3O6S	3	1.472	0.0704
cpd11255_c0		c0		3	1.469	0.0709
cpd00096_c0	CDP_c0	c0	C9H13N3O11P2	5	1.459	0.0722
cpd15244_c0	Inositol phosphorylceramide, ceramide-1 (26C), yeast-specific_c0	c0	C50H99NO11P	3	-1.454	0.073
cpd15248_c0	Inositol phosphorylceramide, ceramide-3 (26C), yeast-specific_c0	c0	C50H99NO13P	3	-1.454	0.073
cpd15245_c0	Inositol phosphorylceramide, ceramide-2 (24C), yeast-specific_c0	c0	C48H95NO12P	3	-1.454	0.073
cpd15246_c0	Inositol phosphorylceramide, ceramide-2 (26C), yeast-specific_c0	c0	C50H99NO12P	3	-1.454	0.073
cpd15247_c0	Inositol phosphorylceramide, ceramide-3 (24C), yeast-specific_c0	c0	C48H95NO13P	3	-1.454	0.073
cpd15243_c0	Inositol phosphorylceramide, ceramide-1 (24C), yeast-specific_c0	c0	C48H95NO11P	3	-1.454	0.073
cpd00299_c0	dUMP_c0	c0	C9H11N2O8P	4	-1.444	0.0743
cpd00032_c0	Oxaloacetate	c0	C4H2O5	4	1.444	0.0743
cpd05235_x0	tetracosanoate_x0	x0	C24H47O2	3	-1.42	0.0779
cpd00201_m0	10-Formyltetrahydrofolate_m0	m0	C20H21N7O7	3	-1.401	0.0806
cpd00046_c0	CMP_c0	c0	C9H12N3O8P	9	-1.372	0.085
cpd00029_m0	Acetate	m0	C2H3O2	3	1.371	0.0852
cpd00644_c0	PAN_c0	c0	C9H16NO5	3	-1.368	0.0856
cpd03223_c0	5,7,22,24(28)-Ergostatetraenol_c0	c0	C28H42O	3	1.348	0.0888
cpd14515_c0	5,7,24(28)-Ergostatrienol_c0	c0	C28H45O	3	1.348	0.0888
cpd00161_c0	L-Threonine_c0	c0	C4H9NO3	5	-1.33	0.0918
cpd00114_c0	IMP_c0	c0	C10H11N4O8P	7	-1.32	0.0934
cpd00356_c0	dCTP_c0	c0	C9H13N3O13P3	3	1.319	0.0936
cpd00358_c0	dUTP_c0	c0	C9H12N2O14P3	3	1.319	0.0936
cpd00982_m0	FADH2	m0	C27H33N9O15P2	4	1.31	0.0951
cpd00793_c0	Thiamine phosphate_c0	c0	C12H16N4O4PS	3	-1.305	0.096
cpd00906_m0	all-trans-Hexaprenyl diphosphate_m0	m0	C30H50O7P2	5	-1.3	0.0967
cpd15212_c0	intermediate-methylzymosterol-I_c0	c0	C29H45O3	3	1.276	0.101
cpd00221_c0	D-Lactate_c0	c0	C3H5O3	3	1.269	0.1022
cpd00020_m0	Pyruvate	m0	C3H3O3	9	1.263	0.1032
cpd00126_c0	GMP_c0	c0	C10H12N5O8P	7	-1.258	0.1041
cpd01695_c0	Myristoyl-CoA_c0	c0	C35H58N7O17P3S	17	-1.249	0.1058
cpd01080_c0	ocdca_c0	c0	C18H35O2	9	-1.23	0.1093
cpd03847_c0	Myristic acid_c0	c0	C14H27O2	10	-1.218	0.1116
cpd15237_c0	hexadecenoate_c0	c0	C16H29O2	10	-1.218	0.1116
cpd00081_c0	Sulfite_c0	c0	HO3S	4	-1.197	0.1157
cpd00954_m0	6-hydroxymethyl dihydropterin_m0	m0	C7H9N5O2	3	-1.197	0.1157
cpd00010_c0	CoA	c0	C21H33N7O16P3S	48	1.182	0.1187
cpd00009_x0	Phosphate_x0	x0	HO4P	7	-1.171	0.1208
cpd00014_c0	UDP	c0	C9H12N2O12P2	13	1.17	0.1209
cpd00056_c0	TPP	c0	C12H17N4O7P2S	3	-1.142	0.1268
cpd00288_c0	D-Glucosamine phosphate_c0	c0	C6H13NO8P	3	1.142	0.1268
cpd00022_c0	Acetyl-CoA	c0	C23H35N7O17P3S	13	1.134	0.1283
cpd01260_c0	Lauroyl-CoA_c0	c0	C33H54N7O17P3S	9	1.128	0.1296
cpd03128_c0	Decanoyl-CoA_c0	c0	C31H50N7O17P3S	9	1.128	0.1296
cpd00084_c0	L-Cysteine_c0	c0	C3H7NO2S	10	-1.127	0.1298
cpd15276_c0	Phosphatidate, yeast-specific_c0	c0	C5H6O8PR2	6	-1.111	0.1332
cpd00089_c0	Glucose-1-phosphate	c0	C6H12O9P	4	1.099	0.1358
cpd02611_c0	N-Acetyl-D-glucosamine1-phosphate_c0	c0	C8H14NO9P	3	1.096	0.1365
cpd00060_c0	L-Methionine_c0	c0	C5H11NO2S	9	-1.095	0.1369
cpd15290_m0	Ubiquinone-6	m0	C39H58O4	9	1.081	0.1399
cpd00022_m0	Acetyl-CoA	m0	C23H35N7O17P3S	11	1.079	0.1404
cpd00015_m0	FAD	m0	C27H31N9O15P2	6	1.049	0.1471
cpd02894_c0	4-Amino-2-methyl-5-diphosphomethylpyrimidine_c0	c0	C6H9N3O7P2	3	-1.049	0.1471
cpd00092_c0	Uracil_c0	c0	C4H4N2O2	4	-1.046	0.1478
cpd00294_c0	dAMP_c0	c0	C10H12N5O6P	3	-1.046	0.1478
cpd00019_m0	S-Adenosyl-homocysteine_m0	m0	C14H20N6O5S	3	1.045	0.148
cpd00130_m0	L-Malate	m0	C4H4O5	6	1.038	0.1495
cpd00087_m0	Tetrahydrofolate_m0	m0	C19H21N7O6	7	1.031	0.1512
cpd00868_c0	p-hydroxyphenylpyruvate_c0	c0	C9H7O4	3	1.014	0.1553
cpd00207_c0	Guanine_c0	c0	C5H5N5O	4	-1.013	0.1556
cpd00201_c0	10-Formyltetrahydrofolate_c0	c0	C20H21N7O7	5	-1.012	0.1557
cpd29685_m0	cdpdag_BS_m0	m0		4	-1.01	0.1563
cpd00218_c0	Niacin_c0	c0	C6H4NO2	3	-0.993	0.1603
cpd00009_m0	Phosphate	m0	HO4P	14	0.985	0.1623
cpd00266_c0	Carnitine_c0	c0	C7H15NO3	3	-0.983	0.1629
cpd19016_c0	Ornithine_c0	c0	C5H13N2O2	5	0.978	0.1641
cpd00239_c0	H2S_c0	c0	HS	5	-0.953	0.1703
cpd00010_m0	CoA	m0	C21H33N7O16P3S	20	0.951	0.1708
cpd11624_c0	Lecithin_c0	c0	C10H18NO8PR2	6	-0.949	0.1713
cpd00869_c0	4-methylthio 2-oxobutyrate_c0	c0	C5H7O3S	3	0.943	0.1729
cpd15291_m0	Ubiquinol-6	m0	C39H60O4	8	0.933	0.1755
cpd00046_m0	CMP_m0	m0	C9H12N3O8P	3	-0.931	0.176
cpd00125_c0	5-10-Methylenetetrahydrofolate_c0	c0	C20H21N7O6	6	-0.929	0.1765
