condition_id	label	stage	O2	method	threshold	status	biomass	n_active	n_H_active	n_H_total	n_L_inactive	n_L_total	objective
01_trehalose	Trehalose	pre-infection	aerobic	eflux	p99	optimal	0.072845	464					
01_trehalose	Trehalose	pre-infection	aerobic	gimme	default	optimal	0.06556	475					0.009
01_trehalose	Trehalose	pre-infection	aerobic	gimme	strict	optimal	0.06556	482					0.0
01_trehalose	Trehalose	pre-infection	aerobic	gimme	narrow	optimal	0.06556	486					0.762
01_trehalose	Trehalose	pre-infection	aerobic	imat	default	optimal	0.02	766	142.0	400.0	85.0	88.0	362.0
01_trehalose	Trehalose	pre-infection	aerobic	imat	strict	optimal	0.07132	676	71.0	198.0	14.0	14.0	162.0
01_trehalose	Trehalose	pre-infection	anaerobic	eflux	p99	optimal	0.014816	465					
01_trehalose	Trehalose	pre-infection	anaerobic	gimme	default	optimal	0.013335	475					0.006
01_trehalose	Trehalose	pre-infection	anaerobic	gimme	strict	optimal	0.013335	478					0.0
01_trehalose	Trehalose	pre-infection	anaerobic	gimme	narrow	optimal	0.013335	495					0.369
01_trehalose	Trehalose	pre-infection	anaerobic	imat	default	optimal	0.009869	783	155.0	400.0	85.0	88.0	362.0
01_trehalose	Trehalose	pre-infection	anaerobic	imat	strict	optimal	0.01312	675	69.0	198.0	14.0	14.0	164.0
02_glycerol	Glycerol	pre-infection	aerobic	eflux	p99	optimal	0.020737	469					
02_glycerol	Glycerol	pre-infection	aerobic	gimme	default	optimal	0.018663	484					0.003
02_glycerol	Glycerol	pre-infection	aerobic	gimme	strict	optimal	0.018663	477					0.0
02_glycerol	Glycerol	pre-infection	aerobic	gimme	narrow	optimal	0.018663	489					0.22
02_glycerol	Glycerol	pre-infection	aerobic	imat	default	optimal	0.002553	746	130.0	400.0	86.0	88.0	357.0
02_glycerol	Glycerol	pre-infection	aerobic	imat	strict	optimal	0.019216	664	73.0	198.0	14.0	14.0	161.0
02_glycerol	Glycerol	pre-infection	anaerobic	eflux	p99	optimal	0.000437	360					
02_glycerol	Glycerol	pre-infection	anaerobic	gimme	default	optimal	0.000393	377					0.0
02_glycerol	Glycerol	pre-infection	anaerobic	gimme	strict	optimal	0.000393	372					0.0
02_glycerol	Glycerol	pre-infection	anaerobic	gimme	narrow	optimal	0.000393	376					0.362
02_glycerol	Glycerol	pre-infection	anaerobic	imat	default	optimal	4.4e-05	521	83.0	400.0	88.0	88.0	283.0
02_glycerol	Glycerol	pre-infection	anaerobic	imat	strict	optimal	4.4e-05	503	58.0	198.0	14.0	14.0	134.0
03_palmitate	Palmitate (C16:0)	pre-infection	aerobic	eflux	p99	optimal	0.11397	482					
