rxn_id	name	subsystem	equation	flux_pFBA	top_candidates	top_candidate_expr
EX_cpd00100_e0	Exchange for Glycerol_e0		Glycerol_e0 --> 	-0.999999999999945	(no candidates in same subsystem)	
EX_cpd00363_e0	Exchange for Ethanol		Ethanol --> 	0.7625753530872477	(no candidates in same subsystem)	
rxn08428_c0	ethanol transport via diffusion (extracellular to periplasm)_c0		Ethanol <=> Ethanol	0.7625753530872477	(no candidates in same subsystem)	
rxn05319_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0		H2O <=> H2O	-0.6904016359590891	(no candidates in same subsystem)	
EX_cpd00001_e0	Exchange for H2O		H2O <=> 	0.6904016359590891	(no candidates in same subsystem)	
H2Otm_c0	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0		H2O <=> H2O	0.5406286741094012	(no candidates in same subsystem)	
rxn09741_c0	indole-3-acetate mitochondrial transport via diffusion_m0		Indoleacetate <=> Indoleacetate_m0	-0.5231991984530608	(no candidates in same subsystem)	
ID3ACALDtm_c0	indole-3-acetaldehyde mitochondrial transport via diffusion_m0		Indoleacetaldehyde <=> Indoleacetaldehyde_m0	0.5231991984530608	(no candidates in same subsystem)	
rxn05654_c0	Transport of succinate, extracellular_c0		Succinate_e0 + H+ <=> Succinate + H+	-0.3265009869334747	(no candidates in same subsystem)	
EX_cpd00036_e0	Exchange for Succinate_e0		Succinate_e0 --> 	0.3265009869334747	(no candidates in same subsystem)	
EX_cpd00067_e0	Exchange for H+		H+ <=> 	0.3261199196091712	(no candidates in same subsystem)	
rxn05582_c0	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0		Glycine_c0 + H+ <=> Glycine_m0 + H+	0.2304051459791853	(no candidates in same subsystem)	
rxn09121_c0	phosphate transport cytosol/mito		Phosphate <=> Phosphate	-0.214770446596769	(no candidates in same subsystem)	
CO2tm_c0	CO2 transporter via diffusion_m0		CO2 <=> CO2	-0.1289217945396231	(no candidates in same subsystem)	
rxn05307_c0	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_m0		L-Serine_c0 + H+ <=> L-Serine_m0 + H+	-0.115201873482673	(no candidates in same subsystem)	
NH4tm_c0	TRANS-RXN-173.ce_m0		NH3 <=> NH3_m0	-0.1152018734826729	(no candidates in same subsystem)	
