group_size	kept	dropped	kept_name	kept_gpr_before	kept_gpr_after	gpr_changed	bounds_changed	kept_bounds	reason
2	rxn09882_c0	rxn09882_m0	RXN-5581.c.metaexp.NADP_c0	gene_12607 or gene_3583 or gene_3513 or gene_5820 or gene_7676 or gene_10727	gene_12607 or gene_3583 or gene_3513 or gene_5820 or gene_7676 or gene_10727	False	False	-1000.0,1000.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	O2tm_c0	O2tm_m0	TRANS-RXNAVI-26568.ce_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	CO2tm_c0	CO2tm_m0	CO2 transporter via diffusion_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn08063_c0	rxn08063_m0	Acetate transport via diffusion (extracellular to periplasm)_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn05217_c0	rxn05217_m0	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn00543_c0	ALCD2ir_c0	ethanol:NAD+ oxidoreductase_c0	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264	False	True	-1000.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn08633_c0	rxn08633_m0	L-glutamate transport via diffusion (extracellular to periplasm)_m0	gene_6768	gene_6768 or gene_10093	True	False	0.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn08643_c0	rxn08643_m0	Glycerol-3-phosphate transport via diffusion (extracellular to periplasm)_m0			False	False	0.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn09730_c0	rxn09730_m0	Mitochondrial 2-oxodicarboxylate carrier 1_m0	gene_1165	gene_1165 or gene_7017	True	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn09771_c0	rxn09771_m0	Transport of glycerone phosphate, mitochondrial_m0			False	False	0.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	CO2tn_c0	CO2tn_g0	CO2 transporter via diffusion_g0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn09525_c0	rxn09525_m0	formate  dehydrogenase, cytosolic/mitochondrial_m0			False	False	0.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn09765_c0	rxn09765_m0	D-erythrose 4-phosphate mtiochondrial transport via diffusion_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
2	rxn13247_c0	rxn13247_m0	D-lactate/pyruvate antiport, mitochondrial_m0			False	False	-999999.0,999999.0	ModelSEED-precedence + lowest-numeric-suffix dedup
