op	rxn_id	detail
drop_compartment	rxn09507_g0	g0/n0/v0 reaction unused in panel
drop_compartment	GLCtv_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn00236_g0	g0/n0/v0 reaction unused in panel
drop_compartment	PSERDv_SC_v0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09820_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn05580_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13411_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn30392_n0	g0/n0/v0 reaction unused in panel
drop_compartment	PIN4Kn_SC_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13345_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn08170_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13229_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn05273_g0	g0/n0/v0 reaction unused in panel
drop_compartment	GLNt7_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09678_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09705_c0	g0/n0/v0 reaction unused in panel
drop_compartment	TREt2v_c0	g0/n0/v0 reaction unused in panel
drop_compartment	LEUt7_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn30431_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09818_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn08375_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn01517_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09508_g0	g0/n0/v0 reaction unused in panel
drop_compartment	CO2tn_c0	g0/n0/v0 reaction unused in panel
drop_compartment	H2Otn_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn00138_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn00119_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09819_c0	g0/n0/v0 reaction unused in panel
drop_compartment	PEtv_SC_c0	g0/n0/v0 reaction unused in panel
drop_compartment	TYRt7_c0	g0/n0/v0 reaction unused in panel
drop_compartment	CO2tg_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn05305_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn08685_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09824_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09361_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09822_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09809_c0	g0/n0/v0 reaction unused in panel
drop_compartment	COAtn_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn05493_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13403_v0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn02460_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09509_g0	g0/n0/v0 reaction unused in panel
drop_compartment	NH4tn_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09506_g0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13321_c0	g0/n0/v0 reaction unused in panel
drop_compartment	ASPt2n_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn09296_n0	g0/n0/v0 reaction unused in panel
drop_compartment	ASPt7_c0	g0/n0/v0 reaction unused in panel
drop_compartment	GLUt7_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn08134_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn05231_n0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn08154_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn00007_v0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13361_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn13314_c0	g0/n0/v0 reaction unused in panel
drop_compartment	rxn04040_n0	g0/n0/v0 reaction unused in panel
