nutrient	exchange_rxn	baseline_uptake	half_uptake	onetenth_uptake
D-Glucose	EX_cpd00027_e0	5	2.5	0.5
D-Fructose	EX_cpd00082_e0	0.00917529	0.00458764	0.000917529
Sucrose	EX_cpd00076_e0	0.0265603	0.0132802	0.00265603
L-Alanine	EX_cpd00035_e0	0.00565912	0.00282956	0.000565912
L-Arginine	EX_cpd00051_e0	0.0125258	0.00626288	0.00125257
L-Asparagine	EX_cpd00132_e0	0.0679374	0.0339687	0.00679375
L-Aspartate	EX_cpd00041_e0	0.0158347	0.00791735	0.00158347
L-Cysteine	EX_cpd00084_e0	0.0033426	0.0016713	0.00033426
L-Glutamate	EX_cpd00023_e0	0.0163471	0.00817353	0.00163471
L-Glutamine	EX_cpd00053_e0	0.0461466	0.0230733	0.00461466
Glycine	EX_cpd00033_e0	0.00539483	0.00269741	0.000539483
L-Histidine	EX_cpd00119_e0	0.00324936	0.00162468	0.000324936
L-Isoleucine	EX_cpd00322_e0	0.00485144	0.00242572	0.000485145
L-Leucine	EX_cpd00107_e0	0.00321329	0.00160665	0.000321329
L-Lysine	EX_cpd00039_e0	0.0050883	0.00254415	0.00050883
L-Methionine	EX_cpd00060_e0	0.00382207	0.00191104	0.000382207
L-Phenylalanine	EX_cpd00066_e0	0.00455308	0.00227654	0.000455308
L-Proline	EX_cpd00129_e0	0.00610209	0.00305104	0.000610209
L-Serine	EX_cpd00054_e0	0.00613453	0.00306726	0.000613453
L-Threonine	EX_cpd00161_e0	0.00457939	0.00228969	0.000457939
L-Tryptophan	EX_cpd00065_e0	0.00198301	0.000991504	0.000198301
L-Tyrosine	EX_cpd00069_e0	0.00278255	0.00139128	0.000278255
L-Valine	EX_cpd00156_e0	0.0186256	0.00931279	0.00186256
Thiamine (B1)	EX_cpd00305_e0	2.72483e-05	1.36242e-05	2.7248e-06
Riboflavin (B2)	EX_cpd00220_e0	7.3884e-06	3.6942e-06	7.388e-07
Niacin (B3)	EX_cpd00218_e0	0.000744052	0.000372026	7.44052e-05
Pantothenate (B5)	EX_cpd00644_e0	0.000118939	5.94695e-05	1.18939e-05
Pyridoxal (B6)	EX_cpd00215_e0	0.000153423	7.67113e-05	1.53423e-05
Folate (B9)	EX_cpd00393_e0	3.0242e-06	1.5121e-06	3.024e-07
(inorganic backbone: H2O,phosphate,CO2,H+,NH3,sulfate,Fe2+,Na+,K+ all at -1000, constant across dilutions)
