rxn_id	flux	name	equation	gpr
rxn01100_c0	-3.7459128335378606	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn01106_c0	-3.7459128335378606	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn00459_c0	3.7459128335378606	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn00781_c0	3.74591283353786	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn35242_c0	-3.7375712617294092	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
EX_cpd00011_e0	3.5449299207958096	Exchange for CO2	CO2 <=> 	
rxn05467_c0	-3.5449299207958096	CO2 transporter via diffusion_c0	CO2 <=> CO2	
rxn00168_c0	3.4527242899385144		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn00543_c0	-3.1769165890972104	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
EX_cpd00363_e0	3.1769165890972104	Exchange for Ethanol	Ethanol --> 	
rxn08428_c0	3.1769165890972104	ethanol transport via diffusion (extracellular to periplasm)_c0	Ethanol <=> Ethanol	
rxn00747_c0	-1.848693814309648	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn00786_c0	1.7982084140975532	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0	D-fructose-1,6-bisphosphate <=> Glycerone-phosphate + Glyceraldehyde3-phosphate	gene_12807 or gene_6755
rxn00545_c0	1.798208414097553		ATP + D-fructose-6-phosphate --> ADP + H+ + D-fructose-1,6-bisphosphate	gene_4384 or gene_7620 or gene_3381 or gene_1776
rxn09502_c0	1.7791365139712076	Glucokinase_c0	ATP + D-Glucose --> ADP + H+ + beta-D-Glucose 6-phosphate	gene_9152
rxn02380_c0	1.7791365139712074	beta-D-Glucose 6-phosphate ketol-isomerase_c0	beta-D-Glucose 6-phosphate <=> D-fructose-6-phosphate	gene_83 or gene_8161
rxn09121_c0	-1.2944099986257942	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn09121_m0	-1.1974918982669063	Inorganic phosphate transporter	Phosphate <=> Phosphate	
PIt2r_c0	-1.1677289329936995	Inorganic phosphate transporter_c0	Phosphate + H+ <=> Phosphate + H+	
EX_cpd00794_e0	-1.0	Exchange for TRHL_e0	TRHL_e0 <=> 	
rxn09655_c0	1.0	TRANS-RXNAVI-26524.ce.brachyexp.TREHALOSE_TREHALOSE_c0	H+ + TRHL_e0 --> H+ + TRHL_c0	
rxn00007_c0	0.9996532987916203	alpha,alpha-trehalose glucohydrolase_c0	H2O + TRHL_c0 --> 2 D-Glucose	gene_2694
rxn00102_c0	-0.6328280854648103	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00001_c0	0.6172368284099409	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn00097_c0	0.5170674411635825	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
rxn01726_x0	0.44962553676643924	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
tx_atp_xc	0.44962553676643924	ATP/AMP antiport (Ant1-like) peroxisomal	ATP + AMP_x0 <=> ATP_x0 + AMP	
tx_ppi_xc	0.44962553676643924	PPi peroxisomal export	PPi_x0 <=> PPi	
rxn00175_x0	0.44962553676643924	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
ACtp_c0	0.4496255367664392	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
CRNCARtp_c0	0.4496255367664392	Transport of L-carnitine and O-acyl-L-carnitine_x0	Carnitine_c0 + O-Acetylcarnitine_x0 --> Carnitine_x0 + O-Acetylcarnitine_c0	
