rxn_id	flux	name	equation	gpr
H2Otm_c0	-3.648569944719736	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn08173_m0	2.942281613075085	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
rxn09780_c0	2.938882793908868	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
rxn09121_c0	2.774869965166782	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
EX_cpd00001_e0	2.178658453348336	Exchange for H2O	H2O <=> 	
rxn05319_c0	-2.178658453348336	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
frxn35348_m0	1.5351765649648401	ubiquinol-cytochrome c oxidoreductase Complex III	2 H+ + 2 Cytochrome c3+ + Ubiquinol-6 --> 4 H+ + 2 Cytochrome c2+ + Ubiquinone-6	gene_5298 or gene_9484 or gene_10373 or gene_8583 or gene_4339 or gene_12242
rxn05581_c0	-1.0	RXN0-1683.ce.maizeexp.GLYCEROL_GLYCEROL_c0	Glycerol_c0 <=> Glycerol_e0	gene_4522
EX_cpd00100_e0	-1.0	Exchange for Glycerol_e0	Glycerol_e0 <=> 	
rxn00744_c0	0.9999999999997594	ATP:glycerone phosphotransferase_c0	ATP + Glycerone_c0 --> ADP + H+ + Glycerone-phosphate	gene_699 or gene_2665
rxn00764_c0	0.9999999999997593	glycerol:NADP+ 2-oxidoreductase (glycerone-forming)_c0	NADP + Glycerol_c0 --> NADPH + H+ + Glycerone_c0	gene_2865 or gene_6709 or gene_1922
frxn13726_m0	0.8501467170288984	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
EX_cpd00007_e0	-0.8147165703269845	Exchange for O2	O2 <=> 	
rxn05468_c0	0.8147165703269843	TRANS-RXNAVI-26568.ce_c0	O2 <=> O2	
EX_cpd00011_e0	0.8052412444774101	Exchange for CO2	CO2 <=> 	
rxn05467_c0	-0.80524124447741	CO2 transporter via diffusion_c0	CO2 <=> CO2	
rxn00747_c0	-0.8039385253973639	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
O2tm_c0	0.7676048722037919	TRANS-RXNAVI-26568.ce_m0	O2 <=> O2	
rxn35347_m0	0.7675882824824202	cytochrome c oxidase Complex IV	O2 + 8 H+ + 4 Cytochrome c2+ --> 2 H2O + 4 H+ + 4 Cytochrome c3+	gene_8032 or gene_8058
rxn00001_c0	0.6992870320635032	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn00781_c0	0.683648529445737	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
