rxn_id	flux	name	equation	gpr
rxn00744_c0	1.0000000000000002	ATP:glycerone phosphotransferase_c0	ATP + Glycerone_c0 --> ADP + H+ + Glycerone-phosphate	gene_699 or gene_2665
rxn00764_c0	1.0	glycerol:NADP+ 2-oxidoreductase (glycerone-forming)_c0	NADP + Glycerol_c0 --> NADPH + H+ + Glycerone_c0	gene_2865 or gene_6709 or gene_1922
EX_cpd00100_e0	-1.0	Exchange for Glycerol_e0	Glycerol_e0 <=> 	
rxn05581_c0	-1.0	RXN0-1683.ce.maizeexp.GLYCEROL_GLYCEROL_c0	Glycerol_c0 <=> Glycerol_e0	gene_4522
rxn00747_c0	-0.9955356808963375	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn00459_c0	0.9925031076154833	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn01106_c0	-0.9925031076154833	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn00781_c0	0.9925031076154833	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn01100_c0	-0.9925031076154833	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn35242_c0	-0.9922569878801324	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
rxn00543_c0	-0.7625748038626928	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
rxn08428_c0	0.7625748038626928	ethanol transport via diffusion (extracellular to periplasm)_c0	Ethanol <=> Ethanol	
EX_cpd00363_e0	0.7625748038626928	Exchange for Ethanol	Ethanol --> 	
rxn05319_c0	-0.6904045581291753	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00001_e0	0.6904045581291746	Exchange for H2O	H2O <=> 	
EX_cpd00067_e0	0.6574946642741404	Exchange for H+	H+ <=> 	
rxn00102_c0	-0.569037407895408	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00250_c0	0.5572877588333767		ATP + Pyruvate + H2CO3 --> ADP + Phosphate + Oxaloacetate + H+	gene_10796 or gene_12451 or gene_10336 or gene_2859 or gene_10986 or gene_9951
rxn09121_c0	-0.5461457156822029	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
H2Otm_c0	0.5406279363518185	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn00168_c0	0.5331581777938077		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn09741_c0	-0.5231973492633429	indole-3-acetate mitochondrial transport via diffusion_m0	Indoleacetate <=> Indoleacetate_m0	
rxn01937_m0	0.5231973492633429	Indole-3-acetaldehyde:NAD+ oxidoreductase_m0	H2O + NAD + Indoleacetaldehyde_m0 --> NADH + 2 H+ + Indoleacetate_m0	gene_12607 or gene_3583 or gene_7676
ID3ACALDtm_c0	0.5231973492633429	indole-3-acetaldehyde mitochondrial transport via diffusion_m0	Indoleacetaldehyde <=> Indoleacetaldehyde_m0	
rxn09882_c0	-0.5231973492633427	RXN-5581.c.metaexp.NADP_c0	H2O + NADP + Indoleacetaldehyde <=> NADPH + 2 H+ + Indoleacetate	gene_12607 or gene_3583 or gene_3513 or gene_5820 or gene_7676 or gene_10727
rxn09121_m0	-0.33137557178554616	Inorganic phosphate transporter	Phosphate <=> Phosphate	
PIt2r_c0	-0.33049740957531004	Inorganic phosphate transporter_c0	Phosphate + H+ <=> Phosphate + H+	
EX_cpd00036_e0	0.32650041414426706	Exchange for Succinate_e0	Succinate_e0 --> 	
rxn05654_c0	-0.32650041414426695	Transport of succinate, extracellular_c0	Succinate_e0 + H+ <=> Succinate + H+	
rxn09753_c0	0.32645346341677733	CustomReaction_c0	Fumarate + FADH2 --> FAD + Succinate	gene_364 or gene_1870 or gene_8693 or gene_2716
frxn13726_m0	0.3264532885537327	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
rxn09522_m0	-0.32645328855373207	sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase; (succinate dehydrogenase (ubiquinone-6), mitochondrial)	FADH2 + Ubiquinone-6 <=> FAD + Ubiquinol-6	gene_10255 or gene_9266 or gene_7897
rxn09739_c0	-0.32551156799832737	Mitochondrial dicarboxylate transporter_m0	Phosphate + L-Malate <=> Phosphate + L-Malate	gene_1614
rxn09733_c0	0.325494431419952	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
rxn00248_m0	-0.32532656289708295	(S)-malate:NAD+ oxidoreductase	NAD + L-Malate <=> NADH + Oxaloacetate + H+	gene_10386 or gene_2140 or gene_1284 or gene_4455
rxn30674_c0	0.3253265628970829	(S)-malate hydro-lyase (fumarate-forming)_c0	L-Malate <=> H2O + Fumarate	gene_9437 or gene_4086
rxn00184_c0	-0.2333160457352138	L-Glutamate:NADP+ oxidoreductase (deaminating)_c0	H2O + NADP + L-Glutamate <-- NADPH + NH3 + 2-Oxoglutarate + H+	gene_6359 or gene_5380
rxn00260_c0	-0.23179332741342465	L-Aspartate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_8831
rxn05582_c0	0.2304052973517825	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0	Glycine_c0 + H+ <=> Glycine_m0 + H+	
rxn01301_c0	0.23011053727477523	L-Homoserine:NAD+ oxidoreductase_c0	NADH + H+ + L-Aspartate4-semialdehyde_c0 --> NAD + L-Homoserine_c0	gene_6703
rxn01643_c0	-0.23011053727477523	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0	NADP + Phosphate + L-Aspartate4-semialdehyde_c0 <-- NADPH + H+ + 4-Phospho-L-aspartate_c0	gene_4716
rxn00337_c0	0.23011053727477523	ATP:L-aspartate 4-phosphotransferase_c0	ATP + L-Aspartate --> ADP + 4-Phospho-L-aspartate_c0	gene_1548 or gene_8697
rxn01069_c0	0.2295814782042335	O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_c0	H2O + O-Phospho-L-homoserine_c0 --> Phosphate + L-Threonine_c0	gene_10801
rxn01300_c0	0.2295814782042335	ATP:L-homoserine O-phosphotransferase_c0	ATP + L-Homoserine_c0 --> ADP + H+ + O-Phospho-L-homoserine_c0	gene_5498
rxn00541_c0	0.22941662606888602	L-threonine acetaldehyde-lyase (glycine-forming)_c0	L-Threonine_c0 --> Glycine_c0 + Acetaldehyde	gene_7813 or gene_5507
CO2tm_c0	-0.1293943038722795	CO2 transporter via diffusion_m0	CO2 <=> CO2	
rxn00692_m0	0.11520194922371264	 5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	H2O + Glycine_m0 + 5-10-Methylenetetrahydrofolate_m0 <=> L-Serine_m0 + Tetrahydrofolate_m0	gene_5492
rxn05307_c0	-0.11520194922371263	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_m0	L-Serine_c0 + H+ <=> L-Serine_m0 + H+	
