rxn_id	flux	name	equation	gpr
H2Otm_c0	-33.338579330403086	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn09121_c0	31.746439459866906	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn08173_m0	28.291978897619714	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
rxn09780_c0	28.230712943346	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
tx_h_xc	-12.769758977520738	H+ peroxisomal equilibration	H+ <=> H+_x0	
H2Otp_c0	12.769758977520663	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_x0	H2O <=> H2O_x0	
frxn35348_m0	12.684362082916255	ubiquinol-cytochrome c oxidoreductase Complex III	2 H+ + 2 Cytochrome c3+ + Ubiquinol-6 --> 4 H+ + 2 Cytochrome c2+ + Ubiquinone-6	gene_5298 or gene_9484 or gene_10373 or gene_8583 or gene_4339 or gene_12242
rxn05468_c0	11.31511594627314	TRANS-RXNAVI-26568.ce_c0	O2 <=> O2	
EX_cpd00007_e0	-11.31511594627314	Exchange for O2	O2 <=> 	
rxn00248_m0	10.82574543798625	(S)-malate:NAD+ oxidoreductase	NAD + L-Malate <=> NADH + Oxaloacetate + H+	gene_10386 or gene_2140 or gene_1284 or gene_4455
rxn00006_x0	9.02850848422147	hydrogen-peroxide:hydrogen-peroxide oxidoreductase_x0	2 H2O2_x0 --> 2 H2O_x0 + O2_x0	gene_12385 or gene_11200
tx_nad_xc	9.02850848422147	NAD peroxisomal equilibration	NAD <=> NAD_x0	
tx_nadh_xc	-9.028508484221469	NADH peroxisomal equilibration	NADH <=> NADH_x0	
rxn09296_x0	-9.028508484221433	hydrogen peroxide reductase (thioredoxin)_x0	H2O2_x0 + trdrd_x0 <=> 2 H2O_x0 + trdox_x0	gene_47 or gene_9939
rxn13406_c0	9.028508484221433	oxidized thioredoxin peroxisomal transport via diffusion_x0	trdox <=> trdox_x0	
rxn13407_c0	-9.028508484221433	reduced thioredoxin peroxisomal transport via diffusion_x0	trdrd <=> trdrd_x0	
rxn09296_c0	9.009199301862102	hydrogen peroxide reductase (thioredoxin)_c0	H2O2 + trdrd --> 2 H2O + trdox	gene_47
frxn13726_m0	8.917958133920342	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
rxn05319_c0	-7.9004997917415	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00001_e0	7.9004997917415	Exchange for H2O	H2O <=> 	
rxn09779_c0	-6.349505491550259	Tricarboxylate transport protein_c0	L-Malate + Citrate <=> L-Malate + Citrate	gene_4406
O2tm_c0	6.342345901072721	TRANS-RXNAVI-26568.ce_m0	O2 <=> O2	
rxn35347_m0	6.3421810414581286	cytochrome c oxidase Complex IV	O2 + 8 H+ + 4 Cytochrome c2+ --> 2 H2O + 4 H+ + 4 Cytochrome c3+	gene_8032 or gene_8058
CRNtp_c0	6.034899135884054	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
ACRNtp_c0	6.034899135884054	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
rxn01726_x0	6.034899135884053	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
rxn09733_c0	-4.450377594396605	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
EX_cpd00011_e0	4.189682969824793	Exchange for CO2	CO2 <=> 	
rxn05467_c0	-4.189682969824793	CO2 transporter via diffusion_c0	CO2 <=> CO2	
