rxn_id	flux	name	equation	gpr
H2Otm_c0	-6.46854570053271	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn09780_c0	4.758256805585639	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
rxn08173_m0	4.542250643911448	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
rxn09121_c0	4.461685381072578	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
EX_cpd00001_e0	2.8012898289227635	Exchange for H2O	H2O <=> 	
rxn05319_c0	-2.8012898289227635	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
frxn35348_m0	2.40246661207444	ubiquinol-cytochrome c oxidoreductase Complex III	2 H+ + 2 Cytochrome c3+ + Ubiquinol-6 --> 4 H+ + 2 Cytochrome c2+ + Ubiquinone-6	gene_5298 or gene_9484 or gene_10373 or gene_8583 or gene_4339 or gene_12242
EX_cpd00011_e0	2.1454801449711174	Exchange for CO2	CO2 <=> 	
rxn05467_c0	-2.1454801449711174	CO2 transporter via diffusion_c0	CO2 <=> CO2	
rxn01100_c0	-1.443455961649884	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn00781_c0	1.443455961649884	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn01106_c0	-1.3762680243327061	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn00459_c0	1.376268024332706	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn35242_c0	-1.355763910854273	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
rxn05468_c0	1.284001820241038	TRANS-RXNAVI-26568.ce_c0	O2 <=> O2	
EX_cpd00007_e0	-1.284001820241038	Exchange for O2	O2 <=> 	
rxn00001_c0	1.2281148179369845	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn09524_c0	1.2184723002963025	NADH dehydrogenase, cytosolic/mitochondrial_m0	NADH + H+ + Ubiquinone-6 --> NAD + Ubiquinol-6	gene_2864 or gene_10074 or gene_10177 or gene_9661
O2tm_c0	1.2012624415448274	TRANS-RXNAVI-26568.ce_m0	O2 <=> O2	
rxn35347_m0	1.2012333060372204	cytochrome c oxidase Complex IV	O2 + 8 H+ + 4 Cytochrome c2+ --> 2 H2O + 4 H+ + 4 Cytochrome c3+	gene_8032 or gene_8058
rxn08617_c0	1.0000000000002809	glucose transport via diffusion (extracellular to periplasm)_c0	D-Glucose --> D-Glucose	gene_13019 or gene_331 or gene_6660
EX_cpd00027_e0	-1.0	Exchange for D-Glucose	D-Glucose <=> 	
rxn00097_c0	0.9810398863280901	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
frxn13726_m0	0.9575663790328036	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
ACtp_c0	0.9394161717727827	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
tx_ppi_xc	0.9394161717727827	PPi peroxisomal export	PPi_x0 <=> PPi	
rxn00175_x0	0.9394161717727827	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
tx_h_xc	0.9394161717727826	H+ peroxisomal equilibration	H+ <=> H+_x0	
rxn09864_c0	0.9394161717727826	AMP/ATP transporter, peroxisomal_x0	ATP + AMP_x0 + H+_x0 --> ATP_x0 + AMP + H+	gene_12199
ACRNtp_c0	0.9394161717727824	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
rxn01726_x0	0.9394161717727824	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
CRNtp_c0	0.9394161717727824	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
rxn01726_c0	-0.9394161717727821	Acetyl-CoA:carnitine O-acetyltransferase_c0	Acetyl-CoA + Carnitine_c0 <=> CoA + O-Acetylcarnitine_c0	gene_12234 or gene_8338
rxn00507_c0	0.9369797149491722		H2O + NADP + Acetaldehyde --> NADPH + Acetate + 2 H+	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727
rxn00168_c0	0.936979714949148		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn00102_c0	-0.9275070330384416	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00533_c0	0.8448241043882	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	ATP + Acetyl-CoA + H2CO3 <=> ADP + Phosphate + H+ + Malonyl-CoA_c0	gene_10589
CO2tm_c0	-0.7816725274562392	CO2 transporter via diffusion_m0	CO2 <=> CO2	
rxn01343_c0	0.6569136161943447	ATP:Sedoheptulose 7-phosphate 1-phosphotransferase_c0	ATP + Sedoheptulose7-phosphate --> ADP + H+ + Sedoheptulose 1,7-bisphosphate	gene_7620 or gene_3381 or gene_1656 or gene_493 or gene_6941 or gene_11482 or gene_12317 or gene_12883 or gene_776 or gene_1973 or gene_12617 or gene_3832 or gene_7552 or gene_10960 or gene_9798 or gene_8056 or gene_8841 or gene_2576 or gene_8267 or gene_4001 or gene_3400 or gene_5312 or gene_6348 or gene_11109 or gene_10106 or gene_9816 or gene_2817 or gene_2763 or gene_2337 or gene_6010 or gene_3780 or gene_4705 or gene_8146 or gene_8778 or gene_12961 or gene_5836 or gene_117 or gene_12243 or gene_6914 or gene_3801 or gene_8193 or gene_12624 or gene_2914 or gene_3033 or gene_340 or gene_8339
rxn01334_c0	0.6569136161943447	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0	Sedoheptulose 1,7-bisphosphate <=> Glycerone-phosphate + D-Erythrose4-phosphate	gene_6755 or gene_12807
rxn00747_c0	-0.6547138853698182	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn00216_c0	0.5457626865560513		ATP + D-Glucose --> ADP + H+ + D-glucose-6-phosphate	gene_3062 or gene_9203 or gene_3281 or gene_4527 or gene_9152 or gene_7207
rxn01333_c0	-0.5158674098893841	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0	Glyceraldehyde3-phosphate + Sedoheptulose7-phosphate <=> D-fructose-6-phosphate + D-Erythrose4-phosphate	gene_2227 or gene_90 or gene_5138 or gene_11682 or gene_1776
rxn09502_c0	0.4542373134442296	Glucokinase_c0	ATP + D-Glucose --> ADP + H+ + beta-D-Glucose 6-phosphate	gene_9152
rxn02380_c0	0.4542373134442295	beta-D-Glucose 6-phosphate ketol-isomerase_c0	beta-D-Glucose 6-phosphate <=> D-fructose-6-phosphate	gene_83 or gene_8161
rxn01115_c0	0.425199956078246		NADP + 6-Phospho-D-gluconate --> NADPH + CO2 + D-Ribulose5-phosphate	gene_12740 or gene_342 or gene_4358
rxn01476_c0	0.42519995607824596	6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0	H2O + 6-phospho-D-glucono-1-5-lactone --> H+ + 6-Phospho-D-gluconate	gene_4365 or gene_4017 or gene_12627
rxn09648_c0	-0.42519995607824596	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0	6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	
rxn08570_c0	0.4251999560782459	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0	D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	
rxn00604_r0	0.4251999560782459	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_r0	NADP_r0 + D-glucose-6-phosphate_r0 --> NADPH_r0 + H+_r0 + 6-phospho-D-glucono-1-5-lactone_r0	
rxn08350_m0	0.3306128660095495	D-Lactate-proton symporter	H+ + D-Lactate_c0 <=> H+ + D-Lactate	
rxn13247_c0	-0.3306128660093885	D-lactate/pyruvate antiport, mitochondrial_m0	Pyruvate + D-Lactate_c0 <=> Pyruvate + D-Lactate	
rxn09121_m0	-0.29026504389169655	Inorganic phosphate transporter	Phosphate <=> Phosphate	
rxn00154_m0	0.28271044956517494		NAD + CoA + Pyruvate --> NADH + CO2 + Acetyl-CoA	gene_7709 or gene_2933 or gene_1362 or gene_5732 or gene_1088 or gene_3311
rxn01116_c0	0.2718476397476067	D-Ribulose-5-phosphate 3-epimerase_c0	D-Ribulose5-phosphate <=> D-Xylulose5-phosphate	gene_1379 or gene_377
rxn00187_c0	0.26253641710880415		ATP + NH3 + L-Glutamate --> ADP + Phosphate + L-Glutamine + H+	gene_9169 or gene_3137 or gene_4403
rxn19316_m0	0.26018141830805486	CustomReaction_m0	H2O + Acetyl-CoA + Oxaloacetate --> CoA + H+ + Citrate	gene_4823 or gene_954 or gene_8677 or gene_2727
rxn00973_m0	0.26018141830805486	citrate hydroxymutase_m0	Citrate <=> Isocitrate	gene_11562 or gene_1061 or gene_2525 or gene_8740 or gene_2402 or gene_937 or gene_1325 or gene_8029 or gene_3048 or gene_2729 or gene_10853 or gene_3224
rxn05466_c0	0.2571995205028652	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
EX_cpd00013_e0	-0.2571995205028652	Exchange for NH3_e0	NH3_e0 <=> 	
rxn00505_m0	0.23825112173225454	Isocitrate:NAD+ oxidoreductase (decarboxylating)	NAD + Isocitrate <=> NADH + CO2 + 2-Oxoglutarate	gene_11629 or gene_11776 or gene_8372
rxn00248_m0	0.23752637598076273	(S)-malate:NAD+ oxidoreductase	NAD + L-Malate <=> NADH + Oxaloacetate + H+	gene_10386 or gene_2140 or gene_1284 or gene_4455
rxn00069_c0	0.2270216901111208	L-glutamate:NAD+ oxidoreductase (transaminating)_c0	NADH + 2-Oxoglutarate + L-Glutamine + H+ --> NAD + 2 L-Glutamate	gene_2680
rxn30674_m0	0.2223853810648619	Fumarase_m0	H2O + Fumarate <=> L-Malate	gene_4086 or gene_9437
rxn09417_m0	0.2223853810648619	Succinic dehydrogenase_m0	Succinate + Ubiquinone-6 <=> Fumarate + Ubiquinol-6	gene_10255
rxn30341_m0	0.22197529879529035	CustomReaction_m0	CoA + S-Succinyldihydrolipoamide --> Succinyl-CoA + Dihydrolipoamide	
rxn01243_m0	0.22197529879529035	 succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating)_m0	2-Oxoglutarate + H+ + Lipoamide <=> CO2 + S-Succinyldihydrolipoamide	gene_7657 or gene_1343 or gene_42 or gene_12238
rxn01241_m0	0.22197529879529035	Dihydrolipoamide:NAD+ oxidoreductase	NAD + Dihydrolipoamide <=> NADH + H+ + Lipoamide	gene_7657 or gene_2255 or gene_1343 or gene_8838 or gene_12238 or gene_9051 or gene_42
rxn00285_m0	-0.22185875676486236	Succinate:CoA ligase (ADP-forming)_m0	ATP + CoA + Succinate <=> ADP + Phosphate + Succinyl-CoA	gene_11823 or gene_11965 or gene_12874
PIt2r_c0	-0.21710578429051267	Inorganic phosphate transporter_c0	Phosphate + H+ <=> Phosphate + H+	
EX_cpd00067_e0	0.21710578429050797	Exchange for H+	H+ <=> 	
TRP_coa_c0r0	-0.2082678922518058	CoA c0↔r0 transport (diffusion)	CoA <=> CoA_r0	
