rxn_id	flux	name	equation	gpr
rxn00781_c0	1.87298944280358	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn01100_c0	-1.8729894428035798	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn00459_c0	1.8729894428035798	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn01106_c0	-1.8729894428035798	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn35242_c0	-1.8688197411297884	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
rxn05467_c0	-1.7725241100222149	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00011_e0	1.7725241100222149	Exchange for CO2	CO2 <=> 	
rxn00168_c0	1.726433279402905		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn00543_c0	-1.5885652782331094	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
EX_cpd00363_e0	1.5885652782331092	Exchange for Ethanol	Ethanol --> 	
rxn08428_c0	1.588565278233109	ethanol transport via diffusion (extracellular to periplasm)_c0	Ethanol <=> Ethanol	
EX_cpd00027_e0	-1.0	Exchange for D-Glucose	D-Glucose <=> 	
rxn08617_c0	1.0	glucose transport via diffusion (extracellular to periplasm)_c0	D-Glucose --> D-Glucose	gene_13019 or gene_331 or gene_6660
rxn01334_c0	0.9248139094726654	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0	Sedoheptulose 1,7-bisphosphate <=> Glycerone-phosphate + D-Erythrose4-phosphate	gene_6755 or gene_12807
rxn01343_c0	0.9248139094726654	ATP:Sedoheptulose 7-phosphate 1-phosphotransferase_c0	ATP + Sedoheptulose7-phosphate --> ADP + H+ + Sedoheptulose 1,7-bisphosphate	gene_7620 or gene_3381 or gene_1656 or gene_493 or gene_6941 or gene_11482 or gene_12317 or gene_12883 or gene_776 or gene_1973 or gene_12617 or gene_3832 or gene_7552 or gene_10960 or gene_9798 or gene_8056 or gene_8841 or gene_2576 or gene_8267 or gene_4001 or gene_3400 or gene_5312 or gene_6348 or gene_11109 or gene_10106 or gene_9816 or gene_2817 or gene_2763 or gene_2337 or gene_6010 or gene_3780 or gene_4705 or gene_8146 or gene_8778 or gene_12961 or gene_5836 or gene_117 or gene_12243 or gene_6914 or gene_3801 or gene_8193 or gene_12624 or gene_2914 or gene_3033 or gene_340 or gene_8339
rxn00747_c0	-0.9243665738046462	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn01333_c0	-0.899130435748105	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase_c0	Glyceraldehyde3-phosphate + Sedoheptulose7-phosphate <=> D-fructose-6-phosphate + D-Erythrose4-phosphate	gene_2227 or gene_90 or gene_5138 or gene_11682 or gene_1776
rxn09502_c0	0.8895969646343254	Glucokinase_c0	ATP + D-Glucose --> ADP + H+ + beta-D-Glucose 6-phosphate	gene_9152
rxn02380_c0	0.8895969646343254	beta-D-Glucose 6-phosphate ketol-isomerase_c0	beta-D-Glucose 6-phosphate <=> D-fructose-6-phosphate	gene_83 or gene_8161
EX_cpd00001_e0	0.4681057815486687	Exchange for H2O	H2O <=> 	
rxn05319_c0	-0.4681057815486687	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
rxn00102_c0	-0.3163317882733658	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00001_c0	0.3087114918250032	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn00097_c0	0.258466512593622	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
tx_ppi_xc	0.22475432643680038	PPi peroxisomal export	PPi_x0 <=> PPi	
rxn01726_x0	0.22475432643680038	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
ACtp_c0	0.22475432643680038	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
tx_h_xc	0.22475432643680038	H+ peroxisomal equilibration	H+ <=> H+_x0	
rxn00175_x0	0.22475432643680038	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
ACRNtp_c0	0.22475432643680035	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
rxn09864_c0	0.22475432643680035	AMP/ATP transporter, peroxisomal_x0	ATP + AMP_x0 + H+_x0 --> ATP_x0 + AMP + H+	gene_12199
CRNtp_c0	0.22475432643680035	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
rxn01726_c0	-0.22475432643680035	Acetyl-CoA:carnitine O-acetyltransferase_c0	Acetyl-CoA + Carnitine_c0 <=> CoA + O-Acetylcarnitine_c0	gene_12234 or gene_8338
rxn00507_c0	0.21579113423762994		H2O + NADP + Acetaldehyde --> NADPH + Acetate + 2 H+	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727
rxn00533_c0	0.19705043598654362	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	ATP + Acetyl-CoA + H2CO3 <=> ADP + Phosphate + H+ + Malonyl-CoA_c0	gene_10589
rxn00187_c0	0.16804016244807893		ATP + NH3 + L-Glutamate --> ADP + Phosphate + L-Glutamine + H+	gene_9169 or gene_3137 or gene_4403
rxn09121_c0	-0.1651494038176557	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn00069_c0	0.1439861681441907	L-glutamate:NAD+ oxidoreductase (transaminating)_c0	NADH + 2-Oxoglutarate + L-Glutamine + H+ --> NAD + 2 L-Glutamate	gene_2680
EX_cpd00067_e0	0.126369215611509	Exchange for H+	H+ <=> 	
rxn00250_c0	0.11727204489055293		ATP + Pyruvate + H2CO3 --> ADP + Phosphate + Oxaloacetate + H+	gene_10796 or gene_12451 or gene_10336 or gene_2859 or gene_10986 or gene_9951
rxn09121_m0	-0.1167029509710642	Inorganic phosphate transporter	Phosphate <=> Phosphate	
EX_cpd00013_e0	-0.11121649750262336	Exchange for NH3_e0	NH3_e0 <=> 	
rxn05466_c0	0.11121649750262334	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
rxn00216_c0	0.11040303536567452		ATP + D-Glucose --> ADP + H+ + D-glucose-6-phosphate	gene_3062 or gene_9203 or gene_3281 or gene_4527 or gene_9152 or gene_7207
PIt2r_c0	-0.10182533690763881	Inorganic phosphate transporter_c0	Phosphate + H+ <=> Phosphate + H+	
rxn05582_c0	0.09467296540951842	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0	Glycine_c0 + H+ <=> Glycine_m0 + H+	
rxn00337_c0	0.08967921070428132	ATP:L-aspartate 4-phosphotransferase_c0	ATP + L-Aspartate --> ADP + 4-Phospho-L-aspartate_c0	gene_1548 or gene_8697
rxn01301_c0	0.08967921070428131	L-Homoserine:NAD+ oxidoreductase_c0	NADH + H+ + L-Aspartate4-semialdehyde_c0 --> NAD + L-Homoserine_c0	gene_6703
rxn01643_c0	-0.08967921070428131	L-Aspartate-4-semialdehyde:NADP+ oxidoreductase (phosphorylating)_c0	NADP + Phosphate + L-Aspartate4-semialdehyde_c0 <-- NADPH + H+ + 4-Phospho-L-aspartate_c0	gene_4716
rxn01115_c0	0.08588548577256827		NADP + 6-Phospho-D-gluconate --> NADPH + CO2 + D-Ribulose5-phosphate	gene_12740 or gene_342 or gene_4358
rxn09648_c0	-0.08588548577256827	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0	6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	
rxn00604_r0	0.08588548577256826	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_r0	NADP_r0 + D-glucose-6-phosphate_r0 --> NADPH_r0 + H+_r0 + 6-phospho-D-glucono-1-5-lactone_r0	
rxn08570_c0	0.08588548577256826	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0	D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	
rxn01476_c0	0.08588548577256826	6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0	H2O + 6-phospho-D-glucono-1-5-lactone --> H+ + 6-Phospho-D-gluconate	gene_4365 or gene_4017 or gene_12627
rxn01069_c0	0.08071601850511088	O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_c0	H2O + O-Phospho-L-homoserine_c0 --> Phosphate + L-Threonine_c0	gene_10801
rxn01300_c0	0.08071601850511087	ATP:L-homoserine O-phosphotransferase_c0	ATP + L-Homoserine_c0 --> ADP + H+ + O-Phospho-L-homoserine_c0	gene_5498
