rxn_id	flux	name	equation	gpr
rxn05654_c0	-2.27540902350059	Transport of succinate, extracellular_c0	Succinate_e0 + H+ <=> Succinate + H+	
EX_cpd00036_e0	2.27540902350059	Exchange for Succinate_e0	Succinate_e0 --> 	
GLUt2r_c0	2.0	TRANS-RXNBWI-115637.ce.maizeexp.GLT_GLT_c0	L-Glutamate_e0 + H+ <=> L-Glutamate + H+	gene_6605 or gene_5741 or gene_8848 or gene_12204
EX_cpd00023_e0	-2.0	Exchange for L-Glutamate_e0	L-Glutamate_e0 <=> 	
rxn08633_c0	1.9998443801717725	L-glutamate transport via diffusion (extracellular to periplasm)_m0	L-Glutamate --> L-Glutamate	gene_6768 or gene_10093
rxn05217_c0	-1.9997082955422583	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0	L-Aspartate + H+ <=> L-Aspartate + H+	
rxn00260_m0	-1.999708295542258	L-Aspartate:2-oxoglutarate aminotransferase	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_10110 or gene_378 or gene_11255 or gene_8831
rxn09739_c0	-1.8581510786370183	Mitochondrial dicarboxylate transporter_m0	Phosphate + L-Malate <=> Phosphate + L-Malate	gene_1614
rxn09733_c0	1.8581341375432847	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
EX_cpd00013_e0	1.6647023108924184	Exchange for NH3_e0	NH3_e0 <=> 	
rxn05466_c0	-1.6647023108924184	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
rxn00260_c0	1.5818951261843843	L-Aspartate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_8831
rxn00191_c0	-1.5757100638906913	L-Alanine:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Alanine <=> Pyruvate + L-Glutamate	gene_3840
rxn05319_c0	1.5145329619290302	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00001_e0	-1.5145329619290302	Exchange for H2O	H2O <=> 	
H2Otm_c0	1.3779986628460934	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn05582_c0	1.2445666486123441	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0	Glycine_c0 + H+ <=> Glycine_m0 + H+	
rxn00336_c0	1.243962992442799	isocitrate glyoxylate-lyase (succinate-forming)_c0	Isocitrate --> Succinate + Glyoxalate	gene_7509 or gene_8576 or gene_10190 or gene_3638 or gene_180 or gene_5089 or gene_11213
rxn00272_c0	1.243962992442799	L-Alanine:glyoxylate aminotransferase_c0	L-Alanine + Glyoxalate_c0 --> Pyruvate + Glycine_c0	gene_10565
rxn09777_c0	1.243962992442799	Tricarboxylate transport protein_c0	Citrate + Isocitrate <=> Citrate + Isocitrate	gene_4406
rxn09779_c0	-1.243962992442799	Tricarboxylate transport protein_c0	L-Malate + Citrate <=> L-Malate + Citrate	gene_4406
rxn00505_m0	-1.243962992442799	Isocitrate:NAD+ oxidoreductase (decarboxylating)	NAD + Isocitrate <=> NADH + CO2 + 2-Oxoglutarate	gene_11629 or gene_11776 or gene_8372
GLXtp_c0	-1.243962992442799	glyoxylate transport, peroxisomal_x0	Glyoxalate_c0 <=> Glyoxalate	
rxn09121_c0	-1.1029634286964898	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
EX_cpd00067_e0	0.8855095586279953	Exchange for H+	H+ <=> 	
