rxn_id	flux	name	equation	gpr
EX_cpd00013_e0	3.664822652893211	Exchange for NH3_e0	NH3_e0 <=> 	
rxn05466_c0	-3.6648226528932106	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
EX_cpd00001_e0	-3.5144988137500124	Exchange for H2O	H2O <=> 	
rxn05319_c0	3.5144988137500124	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00036_e0	2.275403365628379	Exchange for Succinate_e0	Succinate_e0 --> 	
rxn05654_c0	-2.275403365628379	Transport of succinate, extracellular_c0	Succinate_e0 + H+ <=> Succinate + H+	
rxn08633_c0	2.0007679424200293	L-glutamate transport via diffusion (extracellular to periplasm)_m0	L-Glutamate --> L-Glutamate	gene_6768 or gene_10093
rxn00260_m0	-2.0006301399693407	L-Aspartate:2-oxoglutarate aminotransferase	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_10110 or gene_378 or gene_11255 or gene_8831
rxn05217_c0	-2.0006301399693407	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0	L-Aspartate + H+ <=> L-Aspartate + H+	
EX_cpd00053_e0	-2.0	Exchange for L-Glutamine_e0	L-Glutamine_e0 <=> 	
GLNt2r_c0	2.0	TRANS-RXNBWI-115637.ce.maizeexp.GLN_GLN_c0	L-Glutamine_e0 + H+ <=> L-Glutamine + H+	gene_5741 or gene_12204
rxn00189_c0	1.9991294375075437	L-Glutamine amidohydrolase_c0	H2O + L-Glutamine --> NH3 + L-Glutamate	
rxn09739_c0	-1.8581016723461903	Mitochondrial dicarboxylate transporter_m0	Phosphate + L-Malate <=> Phosphate + L-Malate	gene_1614
rxn09733_c0	1.8580845174019294	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
rxn00260_c0	1.5818407404358616	L-Aspartate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_8831
rxn00191_c0	-1.575577602969298	L-Alanine:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Alanine <=> Pyruvate + L-Glutamate	gene_3840
H2Otm_c0	1.377982142216333	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn09779_c0	-1.2449211130658837	Tricarboxylate transport protein_c0	L-Malate + Citrate <=> L-Malate + Citrate	gene_4406
rxn00505_m0	-1.2449211130658835	Isocitrate:NAD+ oxidoreductase (decarboxylating)	NAD + Isocitrate <=> NADH + CO2 + 2-Oxoglutarate	gene_11629 or gene_11776 or gene_8372
rxn09777_c0	1.2449211130658835	Tricarboxylate transport protein_c0	Citrate + Isocitrate <=> Citrate + Isocitrate	gene_4406
rxn05582_c0	1.2446069162410722	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0	Glycine_c0 + H+ <=> Glycine_m0 + H+	
rxn00336_c0	1.2439956400092662	isocitrate glyoxylate-lyase (succinate-forming)_c0	Isocitrate --> Succinate + Glyoxalate	gene_7509 or gene_8576 or gene_10190 or gene_3638 or gene_180 or gene_5089 or gene_11213
rxn00272_c0	1.2439956400092662	L-Alanine:glyoxylate aminotransferase_c0	L-Alanine + Glyoxalate_c0 --> Pyruvate + Glycine_c0	gene_10565
GLXtp_c0	-1.243995640009266	glyoxylate transport, peroxisomal_x0	Glyoxalate_c0 <=> Glyoxalate	
rxn09121_c0	-1.102957337959489	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn09273_c0	-1.0313779725126633	TRANS-RXN-106.cp	Succinate + Fumarate <=> Succinate + Fumarate	gene_1024
EX_cpd00067_e0	0.8853702489935571	Exchange for H+	H+ <=> 	
rxn01241_m0	0.7557270395949302	Dihydrolipoamide:NAD+ oxidoreductase	NAD + Dihydrolipoamide <=> NADH + H+ + Lipoamide	gene_7657 or gene_2255 or gene_1343 or gene_8838 or gene_12238 or gene_9051 or gene_42
rxn01243_m0	0.75572703959493	 succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating)_m0	2-Oxoglutarate + H+ + Lipoamide <=> CO2 + S-Succinyldihydrolipoamide	gene_7657 or gene_1343 or gene_42 or gene_12238
rxn30341_m0	0.75572703959493	CustomReaction_m0	CoA + S-Succinyldihydrolipoamide --> Succinyl-CoA + Dihydrolipoamide	
rxn30674_m0	0.7557261818477179	Fumarase_m0	H2O + Fumarate <=> L-Malate	gene_4086 or gene_9437
rxn00285_m0	-0.7557261818477171	Succinate:CoA ligase (ADP-forming)_m0	ATP + CoA + Succinate <=> ADP + Phosphate + Succinyl-CoA	gene_11823 or gene_11965 or gene_12874
