rxn_id	flux	name	equation	gpr
H2Otm_c0	-12.813452681724394	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn09121_c0	12.654766393258022	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn08173_m0	10.771088078594245	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
rxn09780_c0	10.754795526058695	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
frxn35348_m0	4.933821085221119	ubiquinol-cytochrome c oxidoreductase Complex III	2 H+ + 2 Cytochrome c3+ + Ubiquinol-6 --> 4 H+ + 2 Cytochrome c2+ + Ubiquinone-6	gene_5298 or gene_9484 or gene_10373 or gene_8583 or gene_4339 or gene_12242
frxn13726_m0	2.9284761760202223	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
EX_cpd00011_e0	2.7524177285244282	Exchange for CO2	CO2 <=> 	
rxn05467_c0	-2.752417728524425	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00007_e0	-2.5795924340284486	Exchange for O2	O2 <=> 	
rxn05468_c0	2.579592434028448	TRANS-RXNAVI-26568.ce_c0	O2 <=> O2	
O2tm_c0	2.4669502079849623	TRANS-RXNAVI-26568.ce_m0	O2 <=> O2	
rxn35347_m0	2.46691054261056	cytochrome c oxidase Complex IV	O2 + 8 H+ + 4 Cytochrome c2+ --> 2 H2O + 4 H+ + 4 Cytochrome c3+	gene_8032 or gene_8058
rxn01204_c0	2.000000000000258	4-aminobutanoate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + GABA --> L-Glutamate + 4-Oxobutanoate	gene_2273
rxn00509_c0	2.0000000000002576		H2O + NADP + 4-Oxobutanoate --> NADPH + Succinate + 2 H+	gene_4885 or gene_9629 or gene_9044 or gene_1298 or gene_2577 or gene_5648 or gene_9774 or gene_6685 or gene_9702 or gene_10841 or gene_427
rxn09713_c0	2.000000000000252	Mitochondrial dicarboxylate transporter_m0	Phosphate + Succinate --> Phosphate + Succinate	gene_1614
rxn05564_c0	2.0	Proline-specific permease_c0	H+ + GABA_e0 <=> H+ + GABA	gene_3268
EX_cpd00281_e0	-2.0	Exchange for GABA_e0	GABA_e0 <=> 	
rxn30674_m0	1.999841338502646	Fumarase_m0	H2O + Fumarate <=> L-Malate	gene_4086 or gene_9437
rxn09417_m0	1.9998413385026454	Succinic dehydrogenase_m0	Succinate + Ubiquinone-6 <=> Fumarate + Ubiquinol-6	gene_10255
rxn00248_m0	1.7417999452761552	(S)-malate:NAD+ oxidoreductase	NAD + L-Malate <=> NADH + Oxaloacetate + H+	gene_10386 or gene_2140 or gene_1284 or gene_4455
EX_cpd00067_e0	-1.7079850011055862	Exchange for H+	H+ <=> 	
rxn09733_c0	-1.6904927834873937	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
rxn00001_c0	1.6723149923713403	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn05466_c0	-1.6498459743927512	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
EX_cpd00013_e0	1.6498459743927512	Exchange for NH3_e0	NH3_e0 <=> 	
rxn05319_c0	-1.6452436576664355	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00001_e0	1.6452436576664278	Exchange for H2O	H2O <=> 	
rxn00182_c0	1.5959999453186275	L-glutamate:NAD+ oxidoreductase (deaminating)_c0	H2O + NAD + L-Glutamate --> NADH + NH3 + 2-Oxoglutarate + H+	gene_5322
rxn00097_c0	1.3359446843689857	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
tx_ppi_xc	1.2792678225205298	PPi peroxisomal export	PPi_x0 <=> PPi	
ACtp_c0	1.2792678225205292	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
rxn00175_x0	1.2792678225205292	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
rxn09864_c0	1.2792678225205292	AMP/ATP transporter, peroxisomal_x0	ATP + AMP_x0 + H+_x0 --> ATP_x0 + AMP + H+	gene_12199
tx_h_xc	1.279267822520528	H+ peroxisomal equilibration	H+ <=> H+_x0	
ACRNtp_c0	1.2792678225205252	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
CRNtp_c0	1.279267822520525	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
rxn01726_c0	-1.279267822520525	Acetyl-CoA:carnitine O-acetyltransferase_c0	Acetyl-CoA + Carnitine_c0 <=> CoA + O-Acetylcarnitine_c0	gene_12234 or gene_8338
rxn01726_x0	1.279267822520525	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
CO2tm_c0	-1.2252309746625134	CO2 transporter via diffusion_m0	CO2 <=> CO2	
rxn00102_c0	-1.163603590764798	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
