rxn_id	flux	name	equation	gpr
rxn05467_c0	-10.026688791492711	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00011_e0	10.026688791492711	Exchange for CO2	CO2 <=> 	
rxn00168_c0	9.175297397034658		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn07491_c0	-5.000000000000001	D-galacturonate reductase (NADPH; GAR1, fungal)_c0	NADP + L-Galactonate_c0 <-- NADPH + H+ + cpd00280_c0	
rxn05673_c0	5.0	D-galacturonate transport via proton symport_c0	H+ + D-Galacturonate_e0 --> H+ + cpd00280_c0	gene_5858
EX_cpd00280_e0	-5.0	Exchange for D-Galacturonate_e0	D-Galacturonate_e0 <=> 	
rxn21750_c0	5.0	2-keto-3-deoxy-L-galactonate aldolase (LGA1)_c0	2-keto-3-deoxy-L-galactonate_c0 --> Pyruvate + L-Glyceraldehyde_c0	
rxn21749_c0	5.0	L-galactonate dehydratase (LGD1)_c0	L-Galactonate_c0 --> H2O + 2-keto-3-deoxy-L-galactonate_c0	
rxn00744_c0	4.999999999999999	ATP:glycerone phosphotransferase_c0	ATP + Glycerone_c0 --> ADP + H+ + Glycerone-phosphate	gene_699 or gene_2665
rxn00764_c0	4.999999999999998	glycerol:NADP+ 2-oxidoreductase (glycerone-forming)_c0	NADP + Glycerol_c0 --> NADPH + H+ + Glycerone_c0	gene_2865 or gene_6709 or gene_1922
rxn09954_c0	4.999999999999998	L-glyceraldehyde reductase (GLD1)_c0	NADPH + H+ + L-Glyceraldehyde_c0 --> NADP + Glycerol_c0	gene_11942
rxn00507_c0	4.6670121641407505		H2O + NADP + Acetaldehyde --> NADPH + Acetate + 2 H+	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727
rxn00747_c0	-4.5928917184158555	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn00543_c0	-4.508285232893906	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
rxn08428_c0	4.508285232893906	ethanol transport via diffusion (extracellular to periplasm)_c0	Ethanol <=> Ethanol	
EX_cpd00363_e0	4.508285232893906	Exchange for Ethanol	Ethanol --> 	
rxn00781_c0	4.451052991415567	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn01100_c0	-4.451052991415567	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn01106_c0	-4.366525225387458	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn00459_c0	4.366525225387458	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn35242_c0	-4.35501377728094	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
