rxn_id	flux	name	equation	gpr
H2Otm_c0	-35.4521978886154	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn09780_c0	26.01174594955075	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
rxn09121_c0	24.874888822246227	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn08173_m0	24.829361647708645	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
frxn35348_m0	13.209455346285608	ubiquinol-cytochrome c oxidoreductase Complex III	2 H+ + 2 Cytochrome c3+ + Ubiquinol-6 --> 4 H+ + 2 Cytochrome c2+ + Ubiquinone-6	gene_5298 or gene_9484 or gene_10373 or gene_8583 or gene_4339 or gene_12242
rxn05319_c0	-12.738277677535295	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
EX_cpd00001_e0	12.738277677535288	Exchange for H2O	H2O <=> 	
rxn05467_c0	-10.224340555722625	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00011_e0	10.224340555722621	Exchange for CO2	CO2 <=> 	
rxn00078_c0	8.348131864637473	NADH kinase	ATP + NADH <=> NADPH + ADP + H+	gene_3929 or gene_10811 or gene_12936 or gene_2929 or gene_3559
rxn00088_c0	8.348103943109123	NADP+ 2'-phosphohydrolase_c0	H2O + NADP --> NAD + Phosphate	
rxn05468_c0	6.9220069775908835	TRANS-RXNAVI-26568.ce_c0	O2 <=> O2	
EX_cpd00007_e0	-6.922006977590881	Exchange for O2	O2 <=> 	
rxn09524_c0	6.89904895633378	NADH dehydrogenase, cytosolic/mitochondrial_m0	NADH + H+ + Ubiquinone-6 --> NAD + Ubiquinol-6	gene_2864 or gene_10074 or gene_10177 or gene_9661
O2tm_c0	6.604839359255301	TRANS-RXNAVI-26568.ce_m0	O2 <=> O2	
rxn35347_m0	6.604727673142805	cytochrome c oxidase Complex IV	O2 + 8 H+ + 4 Cytochrome c2+ --> 2 H2O + 4 H+ + 4 Cytochrome c3+	gene_8032 or gene_8058
rxn01100_c0	-5.88760853507697	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn00781_c0	5.88760853507697	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn00459_c0	5.630054775361187	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn01106_c0	-5.630054775361187	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn35242_c0	-5.5514556736936935	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
frxn13726_m0	5.088071965675692	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
rxn01391_c0	5.000000000000587	L-arabitol:NAD+ 4-oxidoreductase (L-xylulose-forming)_c0	NAD + L-Lyxitol_c0 <=> NADH + H+ + L-Lyxulose_c0	gene_8784
rxn33066_c0	-5.000000000000584	L-xylulose reductase_c0	NADP + Xylitol_c0 <=> NADPH + H+ + L-Lyxulose_c0	
rxn01199_c0	5.0000000000002185	ATP:D-xylulose 5-phosphotransferase_c0	ATP + D-Lyxulose_c0 --> ADP + H+ + D-Xylulose5-phosphate	gene_7642
rxn01385_c0	5.0000000000002185	Xylitol:NAD+ 2-oxidoreductase (D-xylulose-forming)_c0	NAD + Xylitol_c0 --> NADH + H+ + D-Lyxulose_c0	gene_8783
rxn08142_c0	5.000000000000001	L-arabinose transport via diffusion (extracellular to periplasm)_c0	L-Arabinose_e0 <=> L-Arabinose_c0	
rxn01291_c0	5.000000000000001	L-Arabitol:NADP+ 1-oxidoreductase_c0	NADPH + H+ + L-Arabinose_c0 --> NADP + L-Lyxitol_c0	gene_11124
EX_cpd00224_e0	-5.0	Exchange for L-Arabinose_e0	L-Arabinose_e0 <=> 	
rxn00001_c0	4.707773468758431	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
CO2tm_c0	-4.0594934015062405	CO2 transporter via diffusion_m0	CO2 <=> CO2	
rxn00097_c0	3.7606528975907385	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
CRNtp_c0	3.6010953251294473	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
rxn01726_x0	3.6010953251294473	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
tx_h_xc	3.6010953251294473	H+ peroxisomal equilibration	H+ <=> H+_x0	
tx_ppi_xc	3.6010953251294473	PPi peroxisomal export	PPi_x0 <=> PPi	
ACtp_c0	3.6010953251294473	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
rxn00175_x0	3.6010953251294473	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
ACRNtp_c0	3.601095325129447	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
rxn09864_c0	3.601095325129447	AMP/ATP transporter, peroxisomal_x0	ATP + AMP_x0 + H+_x0 --> ATP_x0 + AMP + H+	gene_12199
rxn01726_c0	-3.6010953251294464	Acetyl-CoA:carnitine O-acetyltransferase_c0	Acetyl-CoA + Carnitine_c0 <=> CoA + O-Acetylcarnitine_c0	gene_12234 or gene_8338
rxn00507_c0	3.591755573972206		H2O + NADP + Acetaldehyde --> NADPH + Acetate + 2 H+	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727
rxn00168_c0	3.591755573971411		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn00102_c0	-3.555443626647618	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00533_c0	3.2384924001550837	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	ATP + Acetyl-CoA + H2CO3 <=> ADP + Phosphate + H+ + Malonyl-CoA_c0	gene_10589
rxn00558_c0	-3.02900825220809	D-glucose-6-phosphate aldose-ketose-isomerase_c0	D-glucose-6-phosphate <=> D-fructose-6-phosphate	gene_83 or gene_8161
rxn01115_c0	2.566851118709353		NADP + 6-Phospho-D-gluconate --> NADPH + CO2 + D-Ribulose5-phosphate	gene_12740 or gene_342 or gene_4358
rxn01476_c0	2.566851118709353	6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0	H2O + 6-phospho-D-glucono-1-5-lactone --> H+ + 6-Phospho-D-gluconate	gene_4365 or gene_4017 or gene_12627
