rxn_id	flux	name	equation	gpr
rxn00191_c0	-2.6057067244406653	L-Alanine:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Alanine <=> Pyruvate + L-Glutamate	gene_3840
EX_cpd00035_e0	2.3042800546772924	Exchange for L-Alanine_e0	L-Alanine_e0 <=> 	
rxn05496_c0	-2.3042800546772924	TRANS-RXNBWI-115637.ce.maizeexp.L-ALPHA-ALANINE_L-ALPHA-ALANINE_c0	L-Alanine_e0 + H+ <=> L-Alanine + H+	gene_5741 or gene_12204 or gene_3268
EX_cpd00013_e0	2.2452555794679925	Exchange for NH3_e0	NH3_e0 <=> 	
rxn09733_c0	1.9063624833995887	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
rxn00260_c0	1.9063624833995887	L-Aspartate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_8831
rxn05467_c0	-1.8001899524725828	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00011_e0	1.8001899524725828	Exchange for CO2	CO2 <=> 	
rxn05466_c0	-1.7464227953992937	TRANS-RXN-173.ce_c0	NH3_e0 <=> NH3	gene_9895 or gene_11345
rxn05654_c0	-1.5749841889305098	Transport of succinate, extracellular_c0	Succinate_e0 + H+ <=> Succinate + H+	
EX_cpd00036_e0	1.5749841889305096	Exchange for Succinate_e0	Succinate_e0 --> 	
CO2tm_c0	-1.5446791545697527	CO2 transporter via diffusion_m0	CO2 <=> CO2	
rxn09739_c0	-1.4918780129251432	Mitochondrial dicarboxylate transporter_m0	Phosphate + L-Malate <=> Phosphate + L-Malate	gene_1614
rxn05582_c0	1.2921697407413273	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_m0	Glycine_c0 + H+ <=> Glycine_m0 + H+	
rxn09753_c0	1.2906873024303147	CustomReaction_c0	Fumarate + FADH2 --> FAD + Succinate	gene_364 or gene_1870 or gene_8693 or gene_2716
rxn30674_c0	1.2636153529062901	(S)-malate hydro-lyase (fumarate-forming)_c0	L-Malate <=> H2O + Fumarate	gene_9437 or gene_4086
rxn09780_c0	1.1992288914778624	ADP/ATP transporter, mitochondrial_c0	ATP + ADP + H+ <=> ATP + ADP + H+	gene_12891
rxn00165_c0	1.1005279849678862	L-serine ammonia-lyase_c0	L-Serine_c0 --> NH3 + Pyruvate	gene_11775 or gene_10382
EX_cpd00001_e0	-1.0008979826097475	Exchange for H2O	H2O <=> 	
ASPt2r_c0	0.9988327840686916	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_c0	L-Aspartate_e0 + H+ <=> L-Aspartate + H+	gene_6605 or gene_5741 or gene_12204
rxn00248_m0	-0.9658008027538602	(S)-malate:NAD+ oxidoreductase	NAD + L-Malate <=> NADH + Oxaloacetate + H+	gene_10386 or gene_2140 or gene_1284 or gene_4455
rxn09722_c0	-0.9405616806457286	phosphate transport via hydroxide ion symport, mitochondrial_m0	Phosphate + hydroxide ion_m0 <=> Phosphate + hydroxide ion_c0	gene_2195
rxn05217_c0	-0.9405616806457286	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0	L-Aspartate + H+ <=> L-Aspartate + H+	
rxn09750_c0	0.9405616806457285	Transport of glutamate, mitochondrial_m0	L-Glutamate + hydroxide ion_m0 --> L-Glutamate + hydroxide ion_c0	
rxn00260_m0	-0.9405616806457285	L-Aspartate:2-oxoglutarate aminotransferase	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_10110 or gene_378 or gene_11255 or gene_8831
H2Otm_c0	0.8711303673514431	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_m0	H2O <=> H2O	
rxn00459_c0	0.8084793192723576	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn01106_c0	-0.8084793192723576	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn01100_c0	-0.8084793192723576	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn00781_c0	0.8084793192723575	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn35242_c0	-0.8081120536892538	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
rxn01241_m0	0.7121153878353241	Dihydrolipoamide:NAD+ oxidoreductase	NAD + Dihydrolipoamide <=> NADH + H+ + Lipoamide	gene_7657 or gene_2255 or gene_1343 or gene_8838 or gene_12238 or gene_9051 or gene_42
rxn01243_m0	0.7121153878353239	 succinyltransferase]-lipoyllysine 2-oxidoreductase (decarboxylating)_m0	2-Oxoglutarate + H+ + Lipoamide <=> CO2 + S-Succinyldihydrolipoamide	gene_7657 or gene_1343 or gene_42 or gene_12238
rxn30341_m0	0.7121153878353239	CustomReaction_m0	CoA + S-Succinyldihydrolipoamide --> Succinyl-CoA + Dihydrolipoamide	
rxn00285_m0	-0.7120786612770137	Succinate:CoA ligase (ADP-forming)_m0	ATP + CoA + Succinate <=> ADP + Phosphate + Succinyl-CoA	gene_11823 or gene_11965 or gene_12874
rxn00288_m0	0.7120786612770137	[Succinate:(acceptor) oxidoreductase_m0	FAD + Succinate <=> Fumarate + FADH2	gene_10255 or gene_364 or gene_2716 or gene_8693 or gene_1870
rxn30674_m0	0.7120786612770137	Fumarase_m0	H2O + Fumarate <=> L-Malate	gene_4086 or gene_9437
rxn09121_c0	0.6477151539475297	phosphate transport cytosol/mito	Phosphate <=> Phosphate	
rxn00692_m0	0.6460665070915086	 5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	H2O + Glycine_m0 + 5-10-Methylenetetrahydrofolate_m0 <=> L-Serine_m0 + Tetrahydrofolate_m0	gene_5492
rxn00908_m0	0.6460665070915085	CustomReaction_m0	NAD + Glycine_m0 + Tetrahydrofolate_m0 --> NADH + CO2 + NH3_m0 + 5-10-Methylenetetrahydrofolate_m0	gene_2255 or gene_8838 or gene_9051 or gene_3442 or gene_885
rxn05307_c0	-0.6460665070915085	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_m0	L-Serine_c0 + H+ <=> L-Serine_m0 + H+	
NH4tm_c0	-0.6460665070915084	TRANS-RXN-173.ce_m0	NH3 <=> NH3_m0	
rxn09522_m0	-0.5786040503335123	sn-Glycerol-3-phosphate:(acceptor) 2-oxidoreductase; (succinate dehydrogenase (ubiquinone-6), mitochondrial)	FADH2 + Ubiquinone-6 <=> FAD + Ubiquinol-6	gene_10255 or gene_9266 or gene_7897
frxn13726_m0	0.5786040503335123	NADH dehydrogenase-Complex-I (ubiquinone-6)	NADH + 5 H+ + Ubiquinone-6 --> NAD + 4 H+ + Ubiquinol-6	gene_2528 or gene_1095 or gene_7993 or gene_11913 or gene_910 or gene_10116 or gene_12112 or gene_10187 or gene_9415 or gene_5161 or gene_7271 or gene_8921 or gene_1739 or gene_658 or gene_2602 or gene_1389 or gene_8874 or gene_8546 or gene_9714 or gene_3875 or gene_5629 or gene_6133 or gene_5834
rxn05319_c0	0.5020651985410489	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_c0	H2O <=> H2O	
SERt2r_c0	0.5000000000008341	TRANS-RXNBWI-115637.ce.maizeexp.SER_SER_c0	L-Serine_e0 + H+ <=> L-Serine_c0 + H+	gene_6605 or gene_5741 or gene_12204
GLUt2r_c0	0.5000000000004621	TRANS-RXNBWI-115637.ce.maizeexp.GLT_GLT_c0	L-Glutamate_e0 + H+ <=> L-Glutamate + H+	gene_6605 or gene_5741 or gene_8848 or gene_12204
THRt2r_c0	0.5000000000000798	TRANS-RXNBWI-115637.ce.maizeexp.THR_THR_c0	H+ + L-Threonine_e0 <=> H+ + L-Threonine_c0	gene_12204
rxn00216_c0	0.5000000000000075		ATP + D-Glucose --> ADP + H+ + D-glucose-6-phosphate	gene_3062 or gene_9203 or gene_3281 or gene_4527 or gene_9152 or gene_7207
rxn08617_c0	0.5000000000000075	glucose transport via diffusion (extracellular to periplasm)_c0	D-Glucose --> D-Glucose	gene_13019 or gene_331 or gene_6660
GLYt2r_c0	0.5	TRANS-RXNBWI-115637.ce.maizeexp.GLY_GLY_c0	Glycine_e0 + H+ <=> Glycine_c0 + H+	gene_5741 or gene_12204 or gene_3268
EX_cpd00023_e0	-0.5	Exchange for L-Glutamate_e0	L-Glutamate_e0 <=> 	
EX_cpd00041_e0	-0.5	Exchange for L-Aspartate_e0	L-Aspartate_e0 <=> 	
EX_cpd00033_e0	-0.5	Exchange for Glycine_e0	Glycine_e0 <=> 	
EX_cpd00132_e0	-0.5	Exchange for L-Asparagine_e0	L-Asparagine_e0 <=> 	
EX_cpd00054_e0	-0.5	Exchange for L-Serine_e0	L-Serine_e0 <=> 	
EX_cpd00053_e0	-0.5	Exchange for L-Glutamine_e0	L-Glutamine_e0 <=> 	
EX_cpd00161_e0	-0.5	Exchange for L-Threonine_e0	L-Threonine_e0 <=> 	
EX_cpd00027_e0	-0.5	Exchange for D-Glucose	D-Glucose <=> 	
GLNt2r_c0	0.5	TRANS-RXNBWI-115637.ce.maizeexp.GLN_GLN_c0	L-Glutamine_e0 + H+ <=> L-Glutamine + H+	gene_5741 or gene_12204
rxn00342_e0	0.4988327840686986	L-Asparagine amidohydrolase_e0	H2O + L-Asparagine_e0 --> NH3_e0 + L-Aspartate_e0	gene_9918 or gene_8769
rxn00541_c0	0.4978032927311418	L-threonine acetaldehyde-lyase (glycine-forming)_c0	L-Threonine_c0 --> Glycine_c0 + Acetaldehyde	gene_7813 or gene_5507
rxn08173_m0	0.4871548210206373	F(1)-ATPase	ADP + Phosphate + 4 H+ --> H2O + ATP + 3 H+	gene_7697 or gene_10240 or gene_10935 or gene_9272 or gene_5353 or gene_8123 or gene_2000 or gene_7687 or gene_11334 or gene_6907 or gene_12165 or gene_1565 or gene_3187 or gene_7693 or gene_9147 or gene_1242 or gene_4039 or gene_7471 or gene_9647 or gene_7078 or gene_1773 or gene_3458 or gene_13011 or gene_7453 or gene_443 or gene_4385 or gene_10617 or gene_1262 or gene_3899 or gene_808 or gene_6532
rxn00069_c0	0.46682547373072625	L-glutamate:NAD+ oxidoreductase (transaminating)_c0	NADH + 2-Oxoglutarate + L-Glutamine + H+ --> NAD + 2 L-Glutamate	gene_2680
rxn00001_c0	0.44256518482861645	diphosphate phosphohydrolase_c0	H2O + PPi --> 2 Phosphate + H+	gene_4271 or gene_12967
rxn00161_m0	0.41426411112458333		NADP + L-Malate --> NADPH + CO2 + Pyruvate	gene_6725 or gene_4455 or gene_2140 or gene_8151
rxn00077_m0	0.4142606680097417	ATP:NAD+ 2'-phosphotransferase_m0	ATP + NAD --> NADP + ADP + H+	gene_12936 or gene_3559 or gene_3929
rxn00078_m0	-0.41426066800974165	NADH kinase mitochondrial	ATP + NADH <=> NADPH + ADP + H+	gene_12936 or gene_9151 or gene_10811 or gene_3929 or gene_3559 or gene_7857
rxn05469_m0	-0.41385323275348623	Pyruvate transport via proton symport_m0	Pyruvate + H+ <=> Pyruvate + H+	
rxn00747_c0	-0.38447374157240366	D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0	Glyceraldehyde3-phosphate <=> Glycerone-phosphate	gene_6374 or gene_5786
rxn00097_c0	0.3647053402926327	ATP:AMP phosphotransferase_c0	ATP + AMP <=> 2 ADP	gene_2414 or gene_10931 or gene_7383 or gene_2710 or gene_3711 or gene_8746 or gene_1190
rxn00786_c0	0.34605058842384734	D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)_c0	D-fructose-1,6-bisphosphate <=> Glycerone-phosphate + Glyceraldehyde3-phosphate	gene_12807 or gene_6755
rxn00545_c0	0.3460505884238473		ATP + D-fructose-6-phosphate --> ADP + H+ + D-fructose-1,6-bisphosphate	gene_4384 or gene_7620 or gene_3381 or gene_1776
ACtp_c0	0.33440306042421825	Acetate transport via diffusion (extracellular to periplasm)_x0	Acetate <=> Acetate_x0	
rxn00175_x0	0.33440306042421825	Acetate:CoA ligase (AMP-forming)_x0	ATP_x0 + CoA_x0 + Acetate_x0 --> PPi_x0 + AMP_x0 + Acetyl-CoA_x0	gene_9278
rxn01726_x0	0.3344030604242182	Acetyl-CoA:carnitine O-acetyltransferase_x0	Acetyl-CoA_x0 + Carnitine_x0 <=> CoA_x0 + O-Acetylcarnitine_x0	gene_8338
ACRNtp_c0	0.3344030604242182	Transport of O-acetylcarnitine, mitochondrial_x0	O-Acetylcarnitine_x0 --> O-Acetylcarnitine_c0	
rxn01726_c0	-0.33440306042421813	Acetyl-CoA:carnitine O-acetyltransferase_c0	Acetyl-CoA + Carnitine_c0 <=> CoA + O-Acetylcarnitine_c0	gene_12234 or gene_8338
CRNtp_c0	0.33440306042421813	L-carnitine transport via diffusion (extracellular to periplasm)_x0	Carnitine_c0 --> Carnitine_x0	
tx_ppi_xc	0.33440306042421797	PPi peroxisomal export	PPi_x0 <=> PPi	
tx_h_xc	0.3344030604242179	H+ peroxisomal equilibration	H+ <=> H+_x0	
rxn09864_c0	0.3344030604242179	AMP/ATP transporter, peroxisomal_x0	ATP + AMP_x0 + H+_x0 --> ATP_x0 + AMP + H+	gene_12199
rxn00507_c0	0.3344007650143239		H2O + NADP + Acetaldehyde --> NADPH + Acetate + 2 H+	gene_7676 or gene_3513 or gene_3583 or gene_12607 or gene_5820 or gene_11813 or gene_10727
rxn00558_c0	0.3289139189309857	D-glucose-6-phosphate aldose-ketose-isomerase_c0	D-glucose-6-phosphate <=> D-fructose-6-phosphate	gene_83 or gene_8161
rxn00102_c0	-0.30662860070200876	carbonate hydro-lyase (carbon-dioxide-forming)[c0]	H+ + H2CO3 <=> H2O + CO2	gene_10957 or gene_1132 or gene_9399 or gene_935
rxn00533_c0	0.30535923903040696	Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0	ATP + Acetyl-CoA + H2CO3 <=> ADP + Phosphate + H+ + Malonyl-CoA_c0	gene_10589
rxn00272_c0	0.28302752482859317	L-Alanine:glyoxylate aminotransferase_c0	L-Alanine + Glyoxalate_c0 --> Pyruvate + Glycine_c0	gene_10565
rxn00336_c0	0.28302752482859317	isocitrate glyoxylate-lyase (succinate-forming)_c0	Isocitrate --> Succinate + Glyoxalate	gene_7509 or gene_8576 or gene_10190 or gene_3638 or gene_180 or gene_5089 or gene_11213
GLXtp_c0	-0.28302752482859317	glyoxylate transport, peroxisomal_x0	Glyoxalate_c0 <=> Glyoxalate	
rxn05581_c0	0.2538735498437584	RXN0-1683.ce.maizeexp.GLYCEROL_GLYCEROL_c0	Glycerol_c0 <=> Glycerol_e0	gene_4522
rxn12529_c0	0.2538735498437584	TRANS-RXNAVI-26524.ce.brachyexp.GLYCEROL_GLYCEROL_c0	H+ + Glycerol_e0 --> H+ + Glycerol_c0	gene_9947
rxn00505_m0	-0.22844629281040466	Isocitrate:NAD+ oxidoreductase (decarboxylating)	NAD + Isocitrate <=> NADH + CO2 + 2-Oxoglutarate	gene_11629 or gene_11776 or gene_8372
rxn09777_c0	0.22844629281040466	Tricarboxylate transport protein_c0	Citrate + Isocitrate <=> Citrate + Isocitrate	gene_4406
rxn09779_c0	-0.2282626600188529	Tricarboxylate transport protein_c0	L-Malate + Citrate <=> L-Malate + Citrate	gene_4406
EX_cpd00065_e0	-0.17826118808726388	Exchange for L-Tryptophan_e0	L-Tryptophan_e0 <=> 	
TRPt2r_c0	0.17826118808726388	TRANS-RXNBWI-115637.ce.maizeexp.TRP_TRP_c0	L-Tryptophan_e0 + H+ <=> L-Tryptophan_c0 + H+	gene_12204
rxn00483_c0	0.17793523988225943	L-Tryptophan:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Tryptophan_c0 <=> L-Glutamate + Indolepyruvate_c0	gene_12910
rxn01450_c0	0.17793523988225943	3-(indol-3-yl)pyruvate carboxy-lyase [(2-indol-3-yl)acetaldehyde-forming]_c0	H+ + Indolepyruvate_c0 <=> CO2 + Indoleacetaldehyde	gene_7361
EX_cpd00704_e0	0.17793523988225943	Exchange for Tryptophol_e0	Tryptophol_e0 --> 	
rxn13324_c0	0.17793523988225943	Tryptophol transport (extracellular_c0	Tryptophol_c0 <=> Tryptophol_e0	
rxn01938_c0	0.1779352398822594	indole-3-ethanol:NAD+ oxidoreductase_c0	NADH + H+ + Indoleacetaldehyde --> NAD + Tryptophol_c0	gene_12477 or gene_11790
EX_cpd00363_e0	0.1634025277168179	Exchange for Ethanol	Ethanol --> 	
rxn08428_c0	0.1634025277168179	ethanol transport via diffusion (extracellular to periplasm)_c0	Ethanol <=> Ethanol	
rxn00543_c0	-0.1634025277168179	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
rxn09648_c0	-0.1330924564969548	6-phospho-D-glucono-1,5-lactone endoplasmic reticular transport via diffusion_g0	6-phospho-D-glucono-1-5-lactone <=> 6-phospho-D-glucono-1-5-lactone_r0	
rxn01476_c0	0.1330924564969548	6-Phospho-D-glucono-1,5-lactone lactonohydrolase_c0	H2O + 6-phospho-D-glucono-1-5-lactone --> H+ + 6-Phospho-D-gluconate	gene_4365 or gene_4017 or gene_12627
rxn01115_c0	0.1330924564969548		NADP + 6-Phospho-D-gluconate --> NADPH + CO2 + D-Ribulose5-phosphate	gene_12740 or gene_342 or gene_4358
rxn08570_c0	0.13309245649695478	glucose 6-phosphate transport via diffusion (extracellular to periplasm)_g0	D-glucose-6-phosphate <=> D-glucose-6-phosphate_r0	
rxn00604_r0	0.13309245649695478	D-glucose-6-phosphate:NADP+ 1-oxidoreductase_r0	NADP_r0 + D-glucose-6-phosphate_r0 --> NADPH_r0 + H+_r0 + 6-phospho-D-glucono-1-5-lactone_r0	
EX_cpd00067_e0	-0.09556856147521034	Exchange for H+	H+ <=> 	
rxn01116_c0	0.07804910108177703	D-Ribulose-5-phosphate 3-epimerase_c0	D-Ribulose5-phosphate <=> D-Xylulose5-phosphate	gene_1379 or gene_377
TRP_coa_c0r0	-0.06653589890395235	CoA c0↔r0 transport (diffusion)	CoA <=> CoA_r0	
rxn15114_c0	-0.05494235737982424	D-ribose-5-phosphate aldose-ketose-isomerase_c0	alpha-D-Ribose 5-phosphate <=> D-Ribulose5-phosphate	gene_12409
rxn00198_c0	-0.054581232018188514	Isocitrate:NADP+ oxidoreductase (decarboxylating)	NADP + Isocitrate <=> NADPH + CO2 + 2-Oxoglutarate	gene_11358
H2Oter_c0	-0.053067581348575366	TRANS-RXNBWI-115401.ce.maizeexp.OH_OH_g0	H2O <=> H2O_r0	
TRP_co2_c0r0	-0.05304807036447298	CO2 c0↔r0 transport (diffusion)	CO2 <=> CO2_r0	
TRP_malcoa_c0r0	0.05304807036447298	Malonyl-CoA transport c0→r0	Malonyl-CoA_c0 <=> Malonyl-CoA_r0	
rxn00409_c0	0.04043249758486438	ATP:CDP phosphotransferase_c0	ATP + CDP_c0 <=> ADP + CTP_c0	gene_12313
rxn00364_c0	0.04043249758486437	ATP:CMP phosphotransferase_c0	ATP + CMP_c0 <=> ADP + CDP_c0	gene_10931
rxn01334_c0	0.039116366936664225	Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0	Sedoheptulose 1,7-bisphosphate <=> Glycerone-phosphate + D-Erythrose4-phosphate	gene_6755 or gene_12807
rxn01343_c0	0.039116366936664225	ATP:Sedoheptulose 7-phosphate 1-phosphotransferase_c0	ATP + Sedoheptulose7-phosphate --> ADP + H+ + Sedoheptulose 1,7-bisphosphate	gene_7620 or gene_3381 or gene_1656 or gene_493 or gene_6941 or gene_11482 or gene_12317 or gene_12883 or gene_776 or gene_1973 or gene_12617 or gene_3832 or gene_7552 or gene_10960 or gene_9798 or gene_8056 or gene_8841 or gene_2576 or gene_8267 or gene_4001 or gene_3400 or gene_5312 or gene_6348 or gene_11109 or gene_10106 or gene_9816 or gene_2817 or gene_2763 or gene_2337 or gene_6010 or gene_3780 or gene_4705 or gene_8146 or gene_8778 or gene_12961 or gene_5836 or gene_117 or gene_12243 or gene_6914 or gene_3801 or gene_8193 or gene_12624 or gene_2914 or gene_3033 or gene_340 or gene_8339
rxn34273_c0	0.03911636693666422	Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase_c0	D-Xylulose5-phosphate + alpha-D-Ribose 5-phosphate <=> Glyceraldehyde3-phosphate + Sedoheptulose7-phosphate	gene_9804 or gene_6121 or gene_4126
rxn00785_c0	-0.03893273414511281	D-Fructose 6-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase_c0	D-fructose-6-phosphate + Glyceraldehyde3-phosphate <=> D-Xylulose5-phosphate + D-Erythrose4-phosphate	gene_1838 or gene_5123 or gene_4126 or gene_9804 or gene_6121 or gene_4882 or gene_9836 or gene_10506
rxn00237_c0	0.03290888995924497	ATP:GDP phosphotransferase_c0	ATP + GDP <=> ADP + GTP	gene_11925 or gene_12313
rxn00692_c0	-0.029220453185184795	 5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase	H2O + Glycine_c0 + 5-10-Methylenetetrahydrofolate_c0 <=> L-Serine_c0 + Tetrahydrofolate_c0	gene_6981
rxn01211_c0	0.029092598854066818	5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_c0	H2O + 5-10-Methenyltetrahydrofolate_c0 <=> H+ + 10-Formyltetrahydrofolate_c0	gene_5937
rxn00907_c0	0.029092598854066818	5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_c0	NADP + 5-10-Methylenetetrahydrofolate_c0 <=> NADPH + 5-10-Methenyltetrahydrofolate_c0	gene_5937
rxn09421_c0	0.02846767351031747	fatty acyl-CoA synthase (n-C8:0CoA), lumped reaction_c0	6 NADPH + Acetyl-CoA + 9 H+ + 3 Malonyl-CoA_c0 --> 3 H2O + 6 NADP + 3 CoA + 3 CO2 + Octanoyl-CoA_c0	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063
rxn09441_c0	0.02846767351031747	fatty acyl-CoA synthase (n-C10:0CoA)_c0	2 NADPH + 3 H+ + Malonyl-CoA_c0 + Octanoyl-CoA_c0 --> H2O + 2 NADP + CoA + CO2 + Decanoyl-CoA_c0	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063
rxn09438_c0	0.0284378331816903	fatty-acyl-CoA synthase (n-C12:0CoA)_c0	2 NADPH + 3 H+ + Malonyl-CoA_c0 + Decanoyl-CoA_c0 --> H2O + 2 NADP + CoA + CO2 + Lauroyl-CoA_c0	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063
rxn09435_c0	0.0283483121958088	fatty-acyl-CoA synthase (n-C14:0CoA)_c0	2 NADPH + 3 H+ + Malonyl-CoA_c0 + Lauroyl-CoA_c0 --> H2O + 2 NADP + CoA + CO2 + Myristoyl-CoA_c0	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063
rxn09431_c0	0.027945467759342296	fatty-acyl-CoA synthase (n-C16:0CoA)_c0	2 NADPH + 3 H+ + Malonyl-CoA_c0 + Myristoyl-CoA_c0 --> H2O + 2 NADP + CoA + CO2 + Palmitoyl-CoA_c0	gene_10612 or gene_12865 or gene_313 or gene_10589 or gene_12063
TRP_nadp_c0r0	0.026975657078959228	NADP c0↔r0 transport (diffusion)	NADP <=> NADP_r0	
TRP_nadph_c0r0	-0.026975657078959228	NADPH c0↔r0 transport (diffusion)	NADPH <=> NADPH_r0	
EX_cpd00009_e0	-0.023055096979330766	Exchange for Phosphate	Phosphate <=> 	
PIt2r_c0	0.023055096979330766	Inorganic phosphate transporter_c0	Phosphate + H+ <=> Phosphate + H+	
rxn30365_c0	0.020759687084930787	CDP-Diacylglycerol synthetase, yeast-specific, mitochondrial_c0	CTP_c0 + H+ + 0.01 Phosphatidate, yeast-specific_c0 <=> PPi + 0.01 cdpdag_BS_c0	gene_12742
rxn00609_c0	-0.02041537560077116	myo-Inositol-1-phosphate synthase_c0	Inositol 1-phosphate <-- D-glucose-6-phosphate	gene_8547 or gene_9231
PINOS_SC_c0	0.02041537560077116	Phosphatidylinositol synthase  yeast specific	L-Inositol_c0 + 0.01 cdpdag_BS_c0 --> CMP_c0 + H+ + 0.01 Phosphatidyl 1D myo inositol  yeast specific C4140H7644O1300P100	gene_10850
rxn00881_c0	0.02041537560077116	1D-myo-Inositol 1-phosphate phosphohydrolase_c0	H2O + Inositol 1-phosphate --> Phosphate + L-Inositol_c0	gene_2458 or gene_1753 or gene_5750
PIN4K_SC_c0	0.020415375600769982	Phosphatidylinositol 4 kinase  yeast specific	ATP + 0.01 Phosphatidyl 1D myo inositol  yeast specific C4140H7644O1300P100 --> ADP + H+ + 0.01 phosphatidyl-1D-myo-4-inositol, yeast specific_c0	gene_1982 or gene_1865
rxn09537_c0	-0.020415375600769982	phosphatidylinositol 4-kinase, yeast-specific	ATP + 0.01 1-Phosphatidyl-myo-inositol_c0 <=> ADP + 0.01 phosphatidyl-1D-myo-4-inositol, yeast specific_c0	gene_1982 or gene_5035 or gene_1865
rxn00751_c0	0.020185834611331412	ATP:choline phosphotransferase_c0	ATP + Choline_c0 --> ADP + H+ + Phosphocholine_c0	gene_9170
rxn01380_c0	0.020185834611331412	CTP:choline-phosphate cytidylyltransferase_c0	CTP_c0 + H+ + Phosphocholine_c0 --> PPi + CDPcholine_c0	gene_9244
rxn13384_c0	0.020185834611331412	phospholipase D, yeast-specific_c0	H2O + 0.01 Lecithin_c0 --> H+ + Choline_c0 + 0.01 Phosphatidate, yeast-specific_c0	gene_6154 or gene_6132 or gene_6873
