rxn_id	flux	name	equation	gpr
rxn00191_c0	-1.400984383627803	L-Alanine:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Alanine <=> Pyruvate + L-Glutamate	gene_3840
rxn05467_c0	-1.3847424415447354	CO2 transporter via diffusion_c0	CO2 <=> CO2	
EX_cpd00011_e0	1.3847424415447354	Exchange for CO2	CO2 <=> 	
rxn01106_c0	-1.2392715185915715	2-Phospho-D-glycerate 2,3-phosphomutase_c0	2-Phospho-D-glycerate <=> 3-Phosphoglycerate	gene_12325 or gene_10855
rxn00781_c0	1.2392715185915715	D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0	NAD + Phosphate + Glyceraldehyde3-phosphate <=> NADH + H+ + 1,3-Bisphospho-D-glycerate	gene_11328
rxn00459_c0	1.2392715185915715	2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0	2-Phospho-D-glycerate <=> H2O + Phosphoenolpyruvate	gene_5039 or gene_7580
rxn01100_c0	-1.2392715185915715	ATP:3-phospho-D-glycerate 1-phosphotransferase_c0	ATP + 3-Phosphoglycerate <=> ADP + 1,3-Bisphospho-D-glycerate	gene_8456 or gene_9532
rxn35242_c0	-1.2339948720454288	ATP:pyruvate 2-O-phosphotransferase_c0	ATP + Pyruvate <-- ADP + Phosphoenolpyruvate + H+	gene_11925
EX_cpd00036_e0	1.230730768856519	Exchange for Succinate_e0	Succinate_e0 --> 	
rxn05654_c0	-1.230730768856519	Transport of succinate, extracellular_c0	Succinate_e0 + H+ <=> Succinate + H+	
rxn00168_c0	1.0302754827279248		Pyruvate + H+ --> CO2 + Acetaldehyde	gene_8168 or gene_11837 or gene_12109 or gene_7361
rxn09750_c0	1.0268496489214158	Transport of glutamate, mitochondrial_m0	L-Glutamate + hydroxide ion_m0 --> L-Glutamate + hydroxide ion_c0	
rxn09722_c0	-1.0268496489214158	phosphate transport via hydroxide ion symport, mitochondrial_m0	Phosphate + hydroxide ion_m0 <=> Phosphate + hydroxide ion_c0	gene_2195
rxn05217_c0	-1.023837367926869	TRANS-RXNBWI-115637.ce.maizeexp.L-ASPARTATE_L-ASPARTATE_m0	L-Aspartate + H+ <=> L-Aspartate + H+	
rxn00260_m0	-1.0238373679268689	L-Aspartate:2-oxoglutarate aminotransferase	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_10110 or gene_378 or gene_11255 or gene_8831
rxn00260_c0	0.9789819827494565	L-Aspartate:2-oxoglutarate aminotransferase_c0	2-Oxoglutarate + L-Aspartate <=> L-Glutamate + Oxaloacetate	gene_8831
rxn09733_c0	0.9789819827494564	Mitochondrial oxaloacetate transport protein_c0	Oxaloacetate + H+ <=> Oxaloacetate + H+	gene_11652 or gene_7618 or gene_11408 or gene_4152 or gene_2219 or gene_1181 or gene_1637 or gene_12376 or gene_1228 or gene_11087
rxn00543_c0	-0.7571975428069352	ethanol:NAD+ oxidoreductase_c0	NAD + Ethanol <=> NADH + H+ + Acetaldehyde	gene_12293 or gene_10982 or gene_4949 or gene_7652 or gene_11353 or gene_11790 or gene_3527 or gene_12544 or gene_12913 or gene_12777 or gene_8037 or gene_10551 or gene_1509 or gene_8488 or gene_2673 or gene_12477 or gene_4125 or gene_3264
