gene	ko	ko_source	ec
S1_only_classu|MSTRG.10017.1.p1	K21752	kofam	
S1_only_classu|MSTRG.10022.1.p1	K03350	kofam	
S1_only_classu|MSTRG.10059.1.p1	K02155	kofam	
S1_only_classu|MSTRG.10061.1.p1	K19833	kofam	2.7.11.1
S1_only_classu|MSTRG.10079.1.p1	K17974	kofam	
S1_only_classu|MSTRG.10098.1.p1	K24983	kofam	
S1_only_classu|MSTRG.10108.1.p1	K09413	kofam	
S1_only_classu|MSTRG.10108.1.p5	K19730	kofam	
S1_only_classu|MSTRG.10108.2.p1	K19730	kofam	
S1_only_classu|MSTRG.10116.1.p2	K28035	kofam	2.7.11.1
S1_only_classu|MSTRG.10124.1.p1	K03020	kofam	
S1_only_classu|MSTRG.10133.1.p1	K03265	kofam	
S1_only_classu|MSTRG.10140.1.p1	K04640	kofam	
S1_only_classu|MSTRG.10163.1.p1	K13525	kofam	
S1_only_classu|MSTRG.10171.1.p2	K15456	kofam	
S1_only_classu|MSTRG.10182.1.p1	K01803	kofam	5.3.1.1
S1_only_classu|MSTRG.10185.1.p1	K14815	kofam	
S1_only_classu|MSTRG.10194.1.p1	K04728	kofam	2.7.11.1
S1_only_classu|MSTRG.10214.1.p2	K03469	kofam	3.1.26.4
S1_only_classu|MSTRG.10219.1.p1	K03426	kofam	3.6.1.22
S1_only_classu|MSTRG.10219.1.p2	K12863	kofam	
S1_only_classu|MSTRG.10219.1.p5	K03678	kofam	
S1_only_classu|MSTRG.10219.1.p6	K07952	kofam	
S1_only_classu|MSTRG.10229.1.p1	K03781	kofam	1.11.1.6
S1_only_classu|MSTRG.10229.1.p2	K03781	kofam	1.11.1.6
S1_only_classu|MSTRG.1024.1.p1	K20352	kofam	
S1_only_classu|MSTRG.1026.1.p1	K09051	kofam	
S1_only_classu|MSTRG.10272.1.p1	K17944	kofam	
S1_only_classu|MSTRG.10294.1.p1	K03448	kofam	
S1_only_classu|MSTRG.10340.1.p1	K03260	kofam	
S1_only_classu|MSTRG.10355.1.p1	K28026	kofam	
S1_only_classu|MSTRG.10413.1.p1	K16794	kofam	
S1_only_classu|MSTRG.10414.1.p1	K24394	kofam	
S1_only_classu|MSTRG.10442.1.p1	K23516	kofam	1.14.11.48
