gene	uniprot_chig_id	annot_rank	ko_id	kegg_hit	pfam_hits	chig_description	identified_in_proteomics	unique_onetenth	in_model	detected_in_mplex	ko_all	ec_ko_source	ec_number	ec_source
gene_10090	tr|A0A1B7XZW6|A0A1B7XZW6_COLHI	E				Norsolorinic acid reductase	YES	True	False	True				
gene_10160	tr|A0A1B7XXS6|A0A1B7XXS6_COLHI	E				Chromo domain-containing protein	YES	True	False	False				
gene_10187	tr|H1VC07|H1VC07_COLHI	C	K03950	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex subunit 6		NADH-ubiquinone oxidoreductase 14.8 kDa subunit	YES	True	True	True	K03950	kofam+xlsx		
gene_10232	tr|H1UYA4|H1UYA4_COLHI	C	K13348	protein Mpv17	Mpv17 / PMP22 family [PF04117.15]	Sym-1	YES	True	False	True	K13348	kofam+xlsx		
gene_10309	tr|H1V168|H1V168_COLHI	C	K18289	itaconate CoA-transferase [EC:2.8.3.- 2.8.3.22]	CoA-transferase family III [PF02515.20]	CoA-transferase family III	YES	True	False	False	K18289	kofam+xlsx	2.8.3.-;2.8.3.22	kofam/xlsx->KEGG
gene_10328	tr|H1W5G6|H1W5G6_COLHI	C	K11319	inhibitor of growth protein 3	Inhibitor of growth proteins N-terminal histone-binding [PF12998.10]; PHD-finger [PF00628.32]	Chromatin modification-related protein	YES	True	False	False	K11319;K11396	kofam+xlsx		
gene_10335	tr|A0A1B7YTZ6|A0A1B7YTZ6_COLHI	D			CAP-Gly domain [PF01302.28]	CAP-Gly domain-containing protein	YES	True	False	False				
gene_10503	tr|H1VG93|H1VG93_COLHI	C	K18187	protein PET100, fungi type	Pet100 [PF09803.12]	Mitochondrial cytochrome c oxidase assembly factor	YES	True	False	False	K18187	kofam+xlsx		
gene_10541	tr|A0A1B7Y280|A0A1B7Y280_COLHI	C	K23496	neugrin	Neugrin [PF06413.14]; Mitochondrial ribosomal protein subunit L20 [PF12824.10]	Required for respiratory growth protein 9, mitochondrial	YES	True	False	False	K23496	xlsx		
gene_10550	tr|A0A1B7Y3T9|A0A1B7Y3T9_COLHI	D			alpha/beta hydrolase fold [PF07859.16]; BD-FAE [PF20434.1]; Carboxylesterase family [PF00135.31]; Steryl acetyl hydrolase [PF10340.12]	Lipase esterase family	YES	True	False	True				
gene_10646	tr|H1VWW5|H1VWW5_COLHI	D			SnoaL-like polyketide cyclase [PF07366.15]	Carboxymethylenebutenolidase	YES	True	False	True				
