gene_id	length	func
S1_only_classu|MSTRG.10012.1.p1	389	
S1_only_classu|MSTRG.10015.1.p1	434	
S1_only_classu|MSTRG.10017.1.p1	336	
S1_only_classu|MSTRG.1002.1.p1	416	
S1_only_classu|MSTRG.10022.1.p1	838	
S1_only_classu|MSTRG.10058.1.p1	476	
S1_only_classu|MSTRG.10058.1.p2	117	
S1_only_classu|MSTRG.10059.1.p1	207	
S1_only_classu|MSTRG.10060.1.p1	309	
S1_only_classu|MSTRG.10061.1.p1	855	
S1_only_classu|MSTRG.10076.1.p1	643	
S1_only_classu|MSTRG.10076.1.p4	243	
S1_only_classu|MSTRG.10079.1.p1	1167	
S1_only_classu|MSTRG.10079.1.p4	123	
S1_only_classu|MSTRG.1009.1.p1	299	
S1_only_classu|MSTRG.1009.1.p2	271	
S1_only_classu|MSTRG.1009.1.p3	196	
S1_only_classu|MSTRG.10098.1.p1	523	
S1_only_classu|MSTRG.10108.1.p1	738	
S1_only_classu|MSTRG.10108.1.p5	200	
S1_only_classu|MSTRG.10108.2.p1	356	
S1_only_classu|MSTRG.10110.1.p1	100	
S1_only_classu|MSTRG.10116.1.p2	485	
S1_only_classu|MSTRG.10124.1.p1	143	
S1_only_classu|MSTRG.10132.1.p1	171	
S1_only_classu|MSTRG.10133.1.p1	437	
S1_only_classu|MSTRG.10140.1.p1	354	
S1_only_classu|MSTRG.10163.1.p1	961	
S1_only_classu|MSTRG.10167.1.p1	733	
S1_only_classu|MSTRG.10171.1.p1	1143	
S1_only_classu|MSTRG.10171.1.p2	405	
S1_only_classu|MSTRG.10177.1.p1	346	
S1_only_classu|MSTRG.10177.1.p2	335	
S1_only_classu|MSTRG.10182.1.p1	248	
S1_only_classu|MSTRG.10185.1.p1	235	
S1_only_classu|MSTRG.10186.1.p1	543	
S1_only_classu|MSTRG.10186.1.p2	313	
S1_only_classu|MSTRG.10186.1.p5	100	
S1_only_classu|MSTRG.10194.1.p1	2960	
S1_only_classu|MSTRG.10206.1.p1	114	
S1_only_classu|MSTRG.10214.1.p1	1592	
S1_only_classu|MSTRG.10214.1.p2	352	
S1_only_classu|MSTRG.10219.1.p1	408	
S1_only_classu|MSTRG.10219.1.p2	238	
S1_only_classu|MSTRG.10219.1.p5	214	
S1_only_classu|MSTRG.10219.1.p6	213	
S1_only_classu|MSTRG.10229.1.p1	319	
S1_only_classu|MSTRG.10229.1.p2	187	
S1_only_classu|MSTRG.1024.1.p1	326	
S1_only_classu|MSTRG.10246.1.p1	598	
S1_only_classu|MSTRG.10252.1.p3	187	
S1_only_classu|MSTRG.10252.1.p4	145	
S1_only_classu|MSTRG.10252.1.p7	125	
S1_only_classu|MSTRG.1026.1.p1	529	
S1_only_classu|MSTRG.10270.1.p2	123	
S1_only_classu|MSTRG.10272.1.p1	840	
S1_only_classu|MSTRG.10272.1.p10	115	
S1_only_classu|MSTRG.10272.1.p3	407	
S1_only_classu|MSTRG.10294.1.p1	500	
S1_only_classu|MSTRG.10315.1.p1	296	
S1_only_classu|MSTRG.10315.1.p3	124	
S1_only_classu|MSTRG.10316.1.p1	289	
S1_only_classu|MSTRG.10340.1.p1	1441	
S1_only_classu|MSTRG.10355.1.p1	537	
S1_only_classu|MSTRG.10371.1.p1	363	
S1_only_classu|MSTRG.10371.1.p2	117	
S1_only_classu|MSTRG.10393.1.p2	128	
S1_only_classu|MSTRG.10393.2.p1	297	
S1_only_classu|MSTRG.10406.1.p1	625	
S1_only_classu|MSTRG.10406.1.p7	117	
S1_only_classu|MSTRG.10409.3.p1	198	
S1_only_classu|MSTRG.10409.3.p3	129	
S1_only_classu|MSTRG.10413.1.p1	461	
S1_only_classu|MSTRG.10413.1.p3	151	
S1_only_classu|MSTRG.10414.1.p1	890	
S1_only_classu|MSTRG.10419.1.p1	354	
